strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
AC,2025-01-02 07:36:00+00:00,SELL,2633.94,2635.58,2630.66,2635.58,2025-01-02T07:59:00.000000000,SL,-1.64,AC_FVG
AC,2025-01-02 08:29:00+00:00,SELL,2633.4,2634.51,2631.18,2631.18,2025-01-02T08:32:00.000000000,TP,2.22,AC_FVG
AC,2025-01-02 09:31:00+00:00,SELL,2638.38,2640.3,2634.52,2634.52,2025-01-02T10:02:00.000000000,TP,3.86,AC_FVG
AC,2025-01-02 09:34:00+00:00,SELL,2638.1,2640.3,2633.7,2633.7,2025-01-02T10:04:00.000000000,TP,4.4,AC_FVG
AC,2025-01-02 11:24:00+00:00,SELL,2642.29,2643.77,2639.33,2643.77,2025-01-02T12:32:00.000000000,SL,-1.48,AC_FVG
AC,2025-01-02 11:47:00+00:00,SELL,2641.9,2642.96,2639.78,2642.96,2025-01-02T12:29:00.000000000,SL,-1.06,AC_FVG
AC,2025-01-02 11:50:00+00:00,SELL,2641.68,2642.96,2639.11,2642.96,2025-01-02T12:29:00.000000000,SL,-1.28,AC_FVG
AC,2025-01-02 13:07:00+00:00,BUY,2642.43,2641.25,2644.79,2641.25,2025-01-02T13:12:00.000000000,SL,-1.18,AC_FVG
AC,2025-01-02 13:32:00+00:00,BUY,2640.54,2637.1,2647.43,2647.43,2025-01-02T14:15:00.000000000,TP,6.89,AC_FVG
AC,2025-01-02 14:34:00+00:00,BUY,2648.73,2645.94,2654.3,2645.94,2025-01-02T15:03:00.000000000,SL,-2.79,AC_FVG
AC,2025-01-02 14:37:00+00:00,BUY,2647.92,2645.94,2651.87,2645.94,2025-01-02T15:03:00.000000000,SL,-1.98,AC_FVG
AC,2025-01-02 14:40:00+00:00,SELL,2648.08,2649.89,2644.47,2649.89,2025-01-02T14:45:00.000000000,SL,-1.81,AC_FVG
AC,2025-01-02 15:18:00+00:00,SELL,2648.11,2650.07,2644.19,2650.07,2025-01-02T15:32:00.000000000,SL,-1.96,AC_FVG
AC,2025-01-03 08:11:00+00:00,SELL,2654.22,2655.85,2650.95,2650.95,2025-01-03T08:49:00.000000000,TP,3.27,AC_FVG
AC,2025-01-03 08:55:00+00:00,BUY,2652.9,2650.8,2657.09,2657.09,2025-01-03T10:15:00.000000000,TP,4.19,AC_FVG
AC,2025-01-03 08:58:00+00:00,BUY,2652.7,2650.8,2656.49,2656.49,2025-01-03T10:07:00.000000000,TP,3.79,AC_FVG
AC,2025-01-03 13:56:00+00:00,BUY,2649.53,2647.6,2653.4,2647.6,2025-01-03T14:08:00.000000000,SL,-1.93,AC_FVG
AC,2025-01-03 15:09:00+00:00,BUY,2645.95,2643.22,2651.41,2643.22,2025-01-03T15:19:00.000000000,SL,-2.73,AC_FVG
AC,2025-01-03 15:13:00+00:00,BUY,2646.43,2643.22,2652.85,2643.22,2025-01-03T15:19:00.000000000,SL,-3.21,AC_FVG
AC,2025-01-06 09:31:00+00:00,SELL,2633.66,2635.0,2630.97,2635.0,2025-01-06T10:57:00.000000000,SL,-1.34,AC_FVG
AC,2025-01-06 09:37:00+00:00,SELL,2633.58,2635.0,2630.75,2635.0,2025-01-06T10:57:00.000000000,SL,-1.42,AC_FVG
AC,2025-01-06 10:32:00+00:00,SELL,2632.46,2633.76,2629.85,2633.76,2025-01-06T10:49:00.000000000,SL,-1.3,AC_FVG
AC,2025-01-06 11:00:00+00:00,BUY,2633.38,2632.01,2636.1,2636.1,2025-01-06T11:14:00.000000000,TP,2.72,AC_FVG
AC,2025-01-06 11:03:00+00:00,BUY,2633.3,2632.01,2635.89,2635.89,2025-01-06T11:14:00.000000000,TP,2.59,AC_FVG
AC,2025-01-06 12:28:00+00:00,BUY,2643.37,2642.29,2645.53,2642.29,2025-01-06T12:30:00.000000000,SL,-1.08,AC_FVG
AC,2025-01-06 12:33:00+00:00,BUY,2643.47,2642.29,2645.83,2645.83,2025-01-06T12:38:00.000000000,TP,2.36,AC_FVG
AC,2025-01-06 12:55:00+00:00,SELL,2643.53,2646.05,2638.49,2646.05,2025-01-06T13:00:00.000000000,SL,-2.52,AC_FVG
AC,2025-01-06 12:58:00+00:00,SELL,2645.18,2647.11,2641.32,2647.11,2025-01-06T13:02:00.000000000,SL,-1.93,AC_FVG
AC,2025-01-06 13:05:00+00:00,BUY,2644.79,2643.7,2646.97,2646.97,2025-01-06T13:07:00.000000000,TP,2.18,AC_FVG
AC,2025-01-06 13:13:00+00:00,SELL,2646.28,2648.83,2641.18,2641.18,2025-01-06T13:30:00.000000000,TP,5.1,AC_FVG
AC,2025-01-06 14:19:00+00:00,SELL,2618.91,2629.05,2598.62,2629.05,2025-01-06T14:48:00.000000000,SL,-10.14,AC_FVG
AC,2025-01-06 14:22:00+00:00,SELL,2621.36,2629.05,2605.99,2629.05,2025-01-06T14:48:00.000000000,SL,-7.69,AC_FVG
AC,2025-01-06 15:48:00+00:00,SELL,2634.37,2636.12,2630.87,2636.12,2025-01-06T15:52:00.000000000,SL,-1.75,AC_FVG
AC,2025-01-06 15:54:00+00:00,BUY,2634.52,2632.34,2638.89,2638.89,2025-01-06T16:28:00.000000000,TP,4.37,AC_FVG
AC,2025-01-06 15:57:00+00:00,BUY,2634.88,2632.34,2639.94,2639.94,2025-01-06T16:31:00.000000000,TP,5.06,AC_FVG
AC,2025-01-07 09:35:00+00:00,BUY,2642.02,2641.0,2644.07,2641.0,2025-01-07T09:47:00.000000000,SL,-1.02,AC_FVG
AC,2025-01-07 10:33:00+00:00,BUY,2643.59,2642.15,2646.48,2646.48,2025-01-07T11:06:00.000000000,TP,2.89,AC_FVG
AC,2025-01-07 10:36:00+00:00,BUY,2643.75,2642.15,2646.96,2646.96,2025-01-07T11:09:00.000000000,TP,3.21,AC_FVG
