strategy,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_pts,reason
SWEEPREV,2025-01-06 20:00:00,SELL,101849.1,103177.51,97483.92,97483.92,2025-01-07 12:00:00,TP,4335.18,SWEEPREV_S
SWEEPREV,2025-01-09 16:00:00,BUY,94233.0,90802.15,97387.0,90802.15,2025-01-13 08:00:00,SL,-3460.85,SWEEPREV_L
SWEEPREV,2025-01-13 16:00:00,BUY,92078.4,88104.53,93805.22,93805.22,2025-01-13 20:00:00,TP,1696.82,SWEEPREV_L
SWEEPREV,2025-01-15 04:00:00,SELL,97315.9,98471.38,94590.7,98471.38,2025-01-15 12:00:00,SL,-1185.48,SWEEPREV_S
SWEEPREV,2025-01-16 04:00:00,SELL,99469.9,101720.15,95887.92,101720.15,2025-01-17 00:00:00,SL,-2280.25,SWEEPREV_S
SWEEPREV,2025-01-27 04:00:00,BUY,101343.4,99568.63,104178.94,99568.63,2025-01-27 04:00:00,SL,-1804.77,SWEEPREV_L
SWEEPREV,2025-01-30 08:00:00,SELL,105151.2,106355.18,102176.55,106355.18,2025-01-30 12:00:00,SL,-1233.98,SWEEPREV_S
SWEEPREV,2025-02-09 20:00:00,BUY,94965.2,94862.59,97556.01,94862.59,2025-02-09 20:00:00,SL,-132.61,SWEEPREV_L
SWEEPREV,2025-02-11 20:00:00,BUY,95020.8,94219.87,97135.09,94219.87,2025-02-12 12:00:00,SL,-830.93,SWEEPREV_L
SWEEPREV,2025-02-14 20:00:00,SELL,97999.0,99588.77,96503.93,96503.93,2025-02-16 20:00:00,TP,1465.07,SWEEPREV_S
SWEEPREV,2025-02-18 12:00:00,BUY,95637.8,94551.65,96331.3,96331.3,2025-02-18 12:00:00,TP,663.5,SWEEPREV_L
SWEEPREV,2025-02-20 16:00:00,SELL,96939.8,98686.47,96010.86,98686.47,2025-02-20 20:00:00,SL,-1776.67,SWEEPREV_S
SWEEPREV,2025-02-21 12:00:00,SELL,98673.6,99454.95,96640.78,99454.95,2025-02-21 12:00:00,SL,-811.35,SWEEPREV_S
