strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
AC,2026-04-13 07:07:00+00:00,BUY,4732.94,4725.37,4748.08,4725.37,2026-04-13 07:12:00,SL,-7.57,AC_FVG
BB,2026-04-13 07:09:00+00:00,BUY,4726.67,4719.22,4741.57,4719.22,2026-04-13 09:09:00,SL,-7.45,BB_BULL
BB,2026-04-13 07:16:00+00:00,BUY,4727.72,4719.22,4744.7,4719.22,2026-04-13 09:09:00,SL,-8.5,BB_BULL
BB,2026-04-13 07:26:00+00:00,BUY,4727.5,4719.22,4744.06,4719.22,2026-04-13 09:09:00,SL,-8.28,BB_BULL
BB,2026-04-13 07:45:00+00:00,BUY,4734.55,4725.37,4752.9,4725.37,2026-04-13 08:42:00,SL,-9.18,BB_BULL
BB,2026-04-13 07:50:00+00:00,BUY,4738.5,4725.37,4764.76,4725.37,2026-04-13 08:42:00,SL,-13.13,BB_BULL
BB,2026-04-13 07:55:00+00:00,BUY,4731.64,4725.37,4744.17,4725.37,2026-04-13 08:42:00,SL,-6.27,BB_BULL
INDUCEMENT,2026-04-13 07:56:00+00:00,SELL,4731.68,4733.09,4728.85,4733.09,2026-04-13 07:58:00,SL,-1.41,INDU_KEY_BSL
FVG_MID,2026-04-13 07:59:00+00:00,BUY,4733.92,4732.47,4736.82,4736.82,2026-04-13 08:00:00,TP,2.9,FVG_MID_BULL
BB,2026-04-13 08:00:00+00:00,BUY,4738.41,4725.37,4764.49,4725.37,2026-04-13 08:42:00,SL,-13.04,BB_BULL
BB,2026-04-13 08:05:00+00:00,BUY,4734.48,4725.37,4752.69,4725.37,2026-04-13 08:42:00,SL,-9.11,BB_BULL
FVG_MID,2026-04-13 08:08:00+00:00,BUY,4733.52,4732.47,4735.62,4735.62,2026-04-13 08:14:00,TP,2.1,FVG_MID_BULL
BB,2026-04-13 08:10:00+00:00,BUY,4734.52,4725.37,4752.83,4725.37,2026-04-13 08:42:00,SL,-9.15,BB_BULL
FVG_MID,2026-04-13 08:11:00+00:00,BUY,4733.56,4732.47,4735.74,4735.74,2026-04-13 08:14:00,TP,2.18,FVG_MID_BULL
BB,2026-04-13 08:15:00+00:00,BUY,4732.24,4725.37,4745.98,4725.37,2026-04-13 08:42:00,SL,-6.87,BB_BULL
FVG_MID,2026-04-13 08:19:00+00:00,BUY,4733.14,4732.47,4734.47,4732.47,2026-04-13 08:20:00,SL,-0.67,FVG_MID_BULL
BB,2026-04-13 08:20:00+00:00,BUY,4731.27,4725.37,4743.06,4725.37,2026-04-13 08:42:00,SL,-5.9,BB_BULL
AC,2026-04-13 08:22:00+00:00,SELL,4732.66,4736.35,4725.29,4736.35,2026-04-13 08:31:00,SL,-3.69,AC_FVG
FVG_MID,2026-04-13 08:24:00+00:00,BUY,4733.31,4732.47,4735.0,4732.47,2026-04-13 08:27:00,SL,-0.84,FVG_MID_BULL
BB,2026-04-13 08:25:00+00:00,BUY,4733.04,4725.37,4748.38,4725.37,2026-04-13 08:42:00,SL,-7.67,BB_BULL
BB,2026-04-13 08:30:00+00:00,BUY,4731.72,4725.37,4744.42,4725.37,2026-04-13 08:42:00,SL,-6.35,BB_BULL
