strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
OB_MIT,2025-11-11 07:00:00+00:00,BUY,4130.69,4126.59,4138.88,4126.59,2025-11-11 07:04:00,SL,-4.1,OB_BULL
BB,2025-11-11 07:00:00+00:00,SELL,4130.69,4131.71,4128.64,4128.64,2025-11-11 07:02:00,TP,2.05,BB_BEAR
OB_MIT,2025-11-11 07:06:00+00:00,BUY,4128.61,4126.59,4132.66,4132.66,2025-11-11 07:21:00,TP,4.05,OB_BULL
AC,2025-11-11 07:07:00+00:00,SELL,4129.33,4131.6,4124.79,4131.6,2025-11-11 07:18:00,SL,-2.27,AC_FVG
BB,2025-11-11 07:07:00+00:00,SELL,4129.33,4131.71,4124.57,4131.71,2025-11-11 07:19:00,SL,-2.38,BB_BEAR
OB_MIT,2025-11-11 07:11:00+00:00,BUY,4129.43,4126.59,4135.11,4126.59,2025-11-11 07:51:00,SL,-2.84,OB_BULL
BB,2025-11-11 07:12:00+00:00,SELL,4129.86,4131.71,4126.16,4131.71,2025-11-11 07:19:00,SL,-1.85,BB_BEAR
AC,2025-11-11 07:15:00+00:00,BUY,4128.76,4126.79,4132.69,4132.69,2025-11-11 07:21:00,TP,3.93,AC_FVG
OB_MIT,2025-11-11 07:16:00+00:00,BUY,4129.53,4126.59,4135.41,4126.59,2025-11-11 07:51:00,SL,-2.94,OB_BULL
BB,2025-11-11 07:17:00+00:00,SELL,4130.28,4131.71,4127.42,4131.71,2025-11-11 07:19:00,SL,-1.43,BB_BEAR
FVG_MID,2025-11-11 07:21:00+00:00,SELL,4132.7,4135.88,4126.35,4126.35,2025-11-11 07:51:00,TP,6.35,FVG_MID_BEAR
OB_MIT,2025-11-11 07:22:00+00:00,BUY,4130.72,4126.59,4138.98,4126.59,2025-11-11 07:51:00,SL,-4.13,OB_BULL
BB,2025-11-11 07:22:00+00:00,SELL,4130.72,4131.71,4128.74,4128.74,2025-11-11 07:24:00,TP,1.98,BB_BEAR
AC,2025-11-11 07:26:00+00:00,SELL,4130.33,4133.12,4124.75,4133.12,2025-11-11 08:02:00,SL,-2.79,AC_FVG
OB_MIT,2025-11-11 07:27:00+00:00,BUY,4130.93,4126.59,4139.61,4126.59,2025-11-11 07:51:00,SL,-4.34,OB_BULL
BB,2025-11-11 07:27:00+00:00,SELL,4130.93,4131.71,4129.37,4131.71,2025-11-11 07:28:00,SL,-0.78,BB_BEAR
AC,2025-11-11 07:29:00+00:00,SELL,4131.33,4133.34,4127.31,4127.31,2025-11-11 07:40:00,TP,4.02,AC_FVG
FVG_MID,2025-11-11 07:29:00+00:00,BUY,4131.33,4130.69,4132.61,4130.69,2025-11-11 07:30:00,SL,-0.64,FVG_MID_BULL
OB_MIT,2025-11-11 07:32:00+00:00,BUY,4129.25,4126.59,4134.57,4126.59,2025-11-11 07:51:00,SL,-2.66,OB_BULL
BB,2025-11-11 07:32:00+00:00,SELL,4129.25,4131.71,4124.33,4131.71,2025-11-11 07:44:00,SL,-2.46,BB_BEAR
M90_FADE,2025-11-11 07:33:00+00:00,BUY,4128.87,4128.16,4131.28,4128.16,2025-11-11 07:34:00,SL,-0.71,M90_FADE_DN
EQ_HL,2025-11-11 07:34:00+00:00,BUY,4129.36,4127.81,4131.36,4127.81,2025-11-11 07:37:00,SL,-1.55,EQ_SWEEP
OB_MIT,2025-11-11 07:37:00+00:00,BUY,4127.53,4126.59,4129.42,4129.42,2025-11-11 07:43:00,TP,1.89,OB_BULL
M90_FADE,2025-11-11 07:38:00+00:00,BUY,4128.14,4127.21,4131.28,4127.21,2025-11-11 07:40:00,SL,-0.93,M90_FADE_DN
OB_MIT,2025-11-11 07:42:00+00:00,BUY,4128.74,4126.59,4133.05,4126.59,2025-11-11 07:51:00,SL,-2.15,OB_BULL
BB,2025-11-11 07:43:00+00:00,SELL,4130.12,4131.71,4126.94,4131.71,2025-11-11 07:44:00,SL,-1.59,BB_BEAR
M90_FADE,2025-11-11 07:43:00+00:00,BUY,4130.12,4126.82,4131.28,4131.28,2025-11-11 07:44:00,TP,1.16,M90_FADE_DN
M90_BIAS,2025-11-11 07:46:00+00:00,SELL,4132.02,4133.15,4131.28,4131.28,2025-11-11 07:47:00,TP,0.74,M90_BIAS_SELL
OB_MIT,2025-11-11 07:47:00+00:00,BUY,4131.34,4126.59,4140.82,4126.59,2025-11-11 07:51:00,SL,-4.75,OB_BULL
FVG_MID,2025-11-11 07:47:00+00:00,BUY,4131.34,4130.69,4132.63,4130.69,2025-11-11 07:48:00,SL,-0.65,FVG_MID_BULL
BB,2025-11-11 07:48:00+00:00,SELL,4130.35,4131.71,4127.63,4127.63,2025-11-11 07:51:00,TP,2.72,BB_BEAR
M90_FADE,2025-11-11 07:48:00+00:00,BUY,4130.35,4126.82,4131.28,4126.82,2025-11-11 07:51:00,SL,-3.53,M90_FADE_DN
OB_MIT,2025-11-11 07:52:00+00:00,BUY,4127.77,4126.59,4130.12,4130.12,2025-11-11 07:54:00,TP,2.35,OB_BULL
BB,2025-11-11 07:53:00+00:00,SELL,4129.18,4131.71,4124.11,4131.71,2025-11-11 07:56:00,SL,-2.53,BB_BEAR
M90_FADE,2025-11-11 07:53:00+00:00,BUY,4129.18,4124.68,4131.28,4131.28,2025-11-11 07:55:00,TP,2.1,M90_FADE_DN
AC,2025-11-11 07:54:00+00:00,SELL,4129.92,4131.82,4126.12,4131.82,2025-11-11 07:56:00,SL,-1.9,AC_FVG
FVG_MID,2025-11-11 07:55:00+00:00,BUY,4131.39,4130.69,4132.79,4130.69,2025-11-11 07:58:00,SL,-0.7,FVG_MID_BULL
M90_BIAS,2025-11-11 07:56:00+00:00,SELL,4131.73,4133.15,4131.28,4131.28,2025-11-11 07:57:00,TP,0.45,M90_BIAS_SELL
OB_MIT,2025-11-11 07:57:00+00:00,BUY,4131.33,4126.59,4140.81,4140.81,2025-11-11 09:04:00,TP,9.48,OB_BULL
BB,2025-11-11 07:58:00+00:00,SELL,4130.45,4131.71,4127.94,4131.71,2025-11-11 08:02:00,SL,-1.26,BB_BEAR
M90_FADE,2025-11-11 07:58:00+00:00,BUY,4130.45,4124.68,4131.28,4131.28,2025-11-11 08:02:00,TP,0.83,M90_FADE_DN
AC,2025-11-11 07:59:00+00:00,BUY,4129.78,4127.27,4134.8,4134.8,2025-11-11 08:04:00,TP,5.02,AC_FVG
OB_MIT_BIAS,2025-11-11 08:00:00+00:00,BUY,4129.6,4129.1,4130.61,4129.1,2025-11-11 08:01:00,SL,-0.5,OB_BIAS_BUY
FVG_MID,2025-11-11 08:01:00+00:00,BUY,4131.24,4130.69,4132.34,4132.34,2025-11-11 08:02:00,TP,1.1,FVG_MID_BULL
BB,2025-11-11 08:03:00+00:00,BUY,4133.05,4131.89,4135.35,4135.35,2025-11-11 08:05:00,TP,2.3,BB_BULL
FVG_MID,2025-11-11 08:04:00+00:00,SELL,4135.08,4136.49,4132.26,4136.49,2025-11-11 08:11:00,SL,-1.41,FVG_MID_BEAR
OB_MIT,2025-11-11 08:05:00+00:00,SELL,4135.61,4137.81,4131.21,4137.81,2025-11-11 08:15:00,SL,-2.2,OB_BEAR
FVG_MID,2025-11-11 08:07:00+00:00,SELL,4133.33,4136.49,4127.01,4136.49,2025-11-11 08:11:00,SL,-3.16,FVG_MID_BEAR
BB,2025-11-11 08:08:00+00:00,BUY,4134.04,4131.89,4138.34,4131.89,2025-11-11 08:22:00,SL,-2.15,BB_BULL
FVG_MID,2025-11-11 08:10:00+00:00,SELL,4134.43,4136.49,4130.31,4136.49,2025-11-11 08:11:00,SL,-2.06,FVG_MID_BEAR
OB_MIT,2025-11-11 08:11:00+00:00,SELL,4137.18,4138.22,4135.09,4135.09,2025-11-11 08:18:00,TP,2.09,OB_BEAR
BB,2025-11-11 08:13:00+00:00,BUY,4136.52,4135.28,4139.0,4135.28,2025-11-11 08:18:00,SL,-1.24,BB_BULL
OB_MIT,2025-11-11 08:16:00+00:00,SELL,4135.84,4137.81,4131.88,4131.88,2025-11-11 08:22:00,TP,3.96,OB_BEAR
FVG_MID,2025-11-11 08:16:00+00:00,BUY,4135.84,4135.3,4136.9,4136.9,2025-11-11 08:17:00,TP,1.06,FVG_MID_BULL
BB,2025-11-11 08:18:00+00:00,SELL,4135.27,4137.34,4131.12,4131.12,2025-11-11 08:34:00,TP,4.15,BB_BEAR
FVG_MID,2025-11-11 08:19:00+00:00,BUY,4135.74,4135.3,4136.62,4135.3,2025-11-11 08:20:00,SL,-0.44,FVG_MID_BULL
INDUCEMENT,2025-11-11 08:19:00+00:00,SELL,4135.74,4138.22,4130.78,4130.78,2025-11-11 08:35:00,TP,4.96,INDU_KEY_BSL
FVG_MID,2025-11-11 08:22:00+00:00,BUY,4132.68,4132.06,4133.9,4133.9,2025-11-11 08:24:00,TP,1.22,FVG_MID_BULL
BB,2025-11-11 08:23:00+00:00,BUY,4133.09,4131.89,4135.47,4135.47,2025-11-11 08:27:00,TP,2.38,BB_BULL
FVG_MID,2025-11-11 08:25:00+00:00,SELL,4134.43,4136.49,4130.31,4130.31,2025-11-11 08:35:00,TP,4.12,FVG_MID_BEAR
OB_MIT,2025-11-11 08:27:00+00:00,SELL,4135.9,4137.81,4132.08,4132.08,2025-11-11 08:34:00,TP,3.82,OB_BEAR
INDUCEMENT,2025-11-11 08:27:00+00:00,SELL,4135.9,4138.22,4131.26,4131.26,2025-11-11 08:34:00,TP,4.64,INDU_KEY_BSL
BB,2025-11-11 08:28:00+00:00,SELL,4134.9,4137.34,4130.03,4130.03,2025-11-11 08:35:00,TP,4.87,BB_BEAR
FVG_MID,2025-11-11 08:28:00+00:00,SELL,4134.9,4136.49,4131.73,4131.73,2025-11-11 08:34:00,TP,3.17,FVG_MID_BEAR
FVG_MID,2025-11-11 08:31:00+00:00,SELL,4134.26,4136.49,4129.79,4129.79,2025-11-11 08:35:00,TP,4.47,FVG_MID_BEAR
OB_MIT,2025-11-11 08:32:00+00:00,BUY,4132.28,4129.1,4138.65,4138.65,2025-11-11 09:02:00,TP,6.37,OB_BULL
BB,2025-11-11 08:33:00+00:00,SELL,4132.33,4132.66,4131.67,4131.67,2025-11-11 08:34:00,TP,0.66,BB_BEAR
INDUCEMENT,2025-11-11 08:34:00+00:00,SELL,4131.98,4133.34,4129.26,4129.26,2025-11-11 08:38:00,TP,2.72,INDU_KEY_BSL
OB_MIT,2025-11-11 08:37:00+00:00,BUY,4129.44,4129.1,4130.13,4130.13,2025-11-11 08:38:00,TP,0.69,OB_BULL
BB,2025-11-11 08:38:00+00:00,SELL,4130.85,4131.71,4129.13,4131.71,2025-11-11 08:39:00,SL,-0.86,BB_BEAR
