day,leg,side,outcome,pnl
2026-03-26,CV2_SE1,SELL,TP,39.82
2026-03-27,CV2_SE1,SELL,TP,19.87
2026-03-27,CV2_SE2,SELL,TP,19.87
2026-03-27,CV2_SE1,SELL,SL,-24.19
2026-03-27,CV2_SE2,SELL,SL,-24.19
2026-03-27,CV2_SE2,SELL,SL,-26.37
2026-03-27,CV2_SE1,SELL,SL,-27.15
2026-03-27,CV2_SE2,SELL,SL,-27.15
2026-03-27,CV2_SE1,SELL,SL,-26.04
2026-03-27,CV2_SE1,SELL,SL,-28.88
2026-03-27,CV2_SE1,SELL,SL,-30.68
2026-03-27,CV2_SE2,SELL,SL,-30.68
2026-03-27,CV2_SE1,SELL,SL,-31.51
2026-03-27,CV2_SE2,SELL,SL,-31.51
2026-03-27,CV2_SE1,SELL,TP,38.4
2026-03-27,CV2_SE1,SELL,TP,39.81
2026-03-27,CV2_SE2,SELL,TP,23.53
2026-03-27,CV2_S07,SELL,TP,19.67
2026-03-30,CV2_SE1,SELL,SL,-12.32
2026-03-30,CV2_S07,SELL,SL,-16.61
2026-03-30,CV2_SE2,SELL,SL,-12.06
2026-03-30,CV2_SE1,SELL,SL,-12.66
2026-03-30,CV2_SE2,SELL,SL,-12.66
2026-03-30,CV2_SE2,SELL,SL,-13.38
2026-03-30,CV2_SE1,SELL,TP,20.92
2026-03-30,CV2_SE2,SELL,TP,20.92
2026-03-30,CV2_SE1,SELL,TP,21.95
2026-03-30,CV2_SE2,SELL,TP,21.95
2026-03-30,CV2_SE2,SELL,TP,23.26
2026-03-30,CV2_S07,SELL,TP,17.96
2026-03-30,CV2_SE1,SELL,TP,24.68
2026-03-30,CV2_SE2,SELL,TP,24.68
2026-03-30,CV2_SE1,SELL,TP,24.18
2026-03-30,CV2_SE2,SELL,TP,24.18
2026-03-30,CV2_S07,SELL,TP,23.21
2026-03-30,CV2_S07,SELL,TP,19.51
2026-03-31,CV2_SE1,SELL,TP,17.49
2026-03-31,CV2_SE1,SELL,SL,-19.37
2026-03-31,CV2_SE1,SELL,SL,-20.35
2026-03-31,CV2_SE2,SELL,SL,-20.35
2026-03-31,CV2_SE1,SELL,SL,-24.01
2026-03-31,CV2_SE2,SELL,SL,-24.01
2026-03-31,CV2_SE1,SELL,SL,-19.93
2026-03-31,CV2_SE2,SELL,SL,-19.93
2026-03-31,CV2_SE2,SELL,SL,-20.51
2026-03-31,CV2_SE1,SELL,SL,-22.58
2026-03-31,CV2_SE2,SELL,SL,-22.58
2026-03-31,CV2_S06,SELL,SL,-19.71
2026-03-31,CV2_S07,SELL,SL,-29.56
2026-03-31,CV2_S06,SELL,SL,-18.59
2026-03-31,CV2_S07,SELL,SL,-27.89
2026-03-31,CV2_S06,SELL,SL,-18.22
2026-03-31,CV2_S07,SELL,SL,-27.33
2026-03-31,CV2_SE1,SELL,SL,-16.72
2026-03-31,CV2_SE2,SELL,SL,-16.72
2026-03-31,CV2_SE1,SELL,SL,-18.46
2026-03-31,CV2_SE2,SELL,SL,-18.46
2026-03-31,CV2_SE2,SELL,SL,-19.82
2026-03-31,CV2_SE1,SELL,SL,-23.72
2026-03-31,CV2_S07,SELL,SL,-28.3
2026-03-31,CV2_SE1,SELL,SL,-18.55
2026-03-31,CV2_SE1,SELL,TP,18.2
2026-03-31,CV2_SE2,SELL,TP,18.2
2026-03-31,CV2_SE1,SELL,TP,17.21
2026-04-01,CV2_SE1,SELL,TP,23.65
2026-04-01,CV2_SE1,SELL,SL,-12.49
2026-04-01,CV2_SE2,SELL,SL,-12.49
2026-04-01,CV2_SE1,SELL,SL,-11.77
2026-04-01,CV2_SE2,SELL,SL,-11.77
2026-04-01,CV2_S07,SELL,SL,-20.32
2026-04-01,CV2_SE1,SELL,SL,-12.16
2026-04-01,CV2_SE1,SELL,SL,-12.67
2026-04-01,CV2_SE1,SELL,SL,-13.26
2026-04-01,CV2_SE1,SELL,TP,16.97
2026-04-01,CV2_SE2,SELL,TP,16.97
2026-04-01,CV2_SE1,SELL,TP,17.26
2026-04-01,CV2_SE2,SELL,TP,17.26
2026-04-01,CV2_SE2,SELL,SL,-24.65
2026-04-01,CV2_SE1,SELL,SL,-23.97
2026-04-01,CV2_SE2,SELL,SL,-23.97
2026-04-01,CV2_SE1,SELL,SL,-23.73
2026-04-01,CV2_SE2,SELL,SL,-23.73
2026-04-01,CV2_SE1,SELL,TP,29.25
2026-04-01,CV2_SE2,SELL,TP,29.25
2026-04-01,CV2_SE1,SELL,TP,25.41
2026-04-01,CV2_SE1,SELL,TP,24.07
2026-04-01,CV2_SE1,SELL,TP,24.31
2026-04-01,CV2_SE2,SELL,TP,18.52
2026-04-02,CV2_SE1,SELL,TP,29.26
2026-04-02,CV2_SE1,SELL,TP,29.17
2026-04-02,CV2_SE1,SELL,TP,28.81
2026-04-02,CV2_SE1,SELL,SL,-33.05
2026-04-02,CV2_SE1,SELL,SL,-35.34
2026-04-02,CV2_SE1,SELL,SL,-33.77
2026-04-02,CV2_SE1,SELL,TP,42.22
2026-04-02,CV2_SE1,SELL,TP,44.51
2026-04-02,CV2_S07,SELL,TIME,-19.53
2026-04-02,CV2_S07,SELL,TIME,-10.57
2026-04-02,CV2_S07,SELL,SL,-26.88
2026-04-02,CV2_SE1,SELL,SL,-12.72
2026-04-02,CV2_SE2,SELL,SL,-12.72
2026-04-02,CV2_SE1,SELL,TP,15.09
2026-04-02,CV2_SE2,SELL,TP,15.09
2026-04-02,CV2_SE1,SELL,TP,15.53
2026-04-02,CV2_SE2,SELL,TP,15.53
2026-04-06,CV2_SE1,SELL,SL,-13.79
2026-04-06,CV2_SE2,SELL,SL,-13.79
2026-04-06,CV2_SE1,SELL,SL,-15.07
2026-04-06,CV2_SE2,SELL,SL,-15.07
2026-04-06,CV2_SE2,SELL,SL,-15.8
2026-04-06,CV2_SE1,SELL,TP,20.15
2026-04-06,CV2_SE2,SELL,TP,20.15
2026-04-06,CV2_SE1,SELL,TP,20.68
2026-04-06,CV2_SE1,SELL,TP,17.94
2026-04-06,CV2_SE1,SELL,TP,29.2
2026-04-06,CV2_SE2,SELL,TP,29.2
2026-04-07,CV2_S07,SELL,TP,14.48
2026-04-07,CV2_S06,SELL,SL,-12.93
2026-04-07,CV2_SE1,SELL,SL,-15.33
2026-04-07,CV2_SE2,SELL,SL,-15.33
