strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
C08_VWAP_MR,2025-01-02 13:55:00+00:00,SELL,2643.0,2652.07,2639.52,2652.07,2025-01-02T15:34:00.000000000,SL,-9.07,VWAP_MR_HI
C08_VWAP_MR,2025-01-08 13:30:00+00:00,SELL,2653.46,2662.19,2652.4,2662.19,2025-01-08T14:01:00.000000000,SL,-8.73,VWAP_MR_HI
C08_VWAP_MR,2025-01-14 14:50:00+00:00,BUY,2665.0,2656.23,2667.44,2667.44,2025-01-14T15:02:00.000000000,TP,2.44,VWAP_MR_LO
C08_VWAP_MR,2025-01-20 14:40:00+00:00,SELL,2709.28,2714.41,2707.65,2707.65,2025-01-20T14:44:00.000000000,TP,1.63,VWAP_MR_HI
C08_VWAP_MR,2025-02-25 13:35:00+00:00,BUY,2933.61,2925.82,2936.67,2936.67,2025-02-25T13:48:00.000000000,TP,3.06,VWAP_MR_LO
C08_VWAP_MR,2025-02-27 13:45:00+00:00,BUY,2886.46,2873.63,2887.99,2887.99,2025-02-27T13:46:00.000000000,TP,1.53,VWAP_MR_LO
C08_VWAP_MR,2025-03-06 14:20:00+00:00,SELL,2907.01,2917.51,2903.48,2917.51,2025-03-06T15:00:00.000000000,SL,-10.5,VWAP_MR_HI
C08_VWAP_MR,2025-03-07 14:20:00+00:00,BUY,2917.65,2907.76,2919.27,2919.27,2025-03-07T14:32:00.000000000,TP,1.62,VWAP_MR_LO
C08_VWAP_MR,2025-03-07 15:30:00+00:00,SELL,2923.05,2932.04,2920.17,2920.17,2025-03-07T15:38:00.000000000,TP,2.88,VWAP_MR_HI
C08_VWAP_MR,2025-03-28 14:40:00+00:00,BUY,3074.1,3059.41,3075.2,3075.2,2025-03-28T15:09:00.000000000,TP,1.1,VWAP_MR_LO
C08_VWAP_MR,2025-03-28 15:00:00+00:00,BUY,3072.2,3059.7,3075.05,3075.05,2025-03-28T15:09:00.000000000,TP,2.85,VWAP_MR_LO
C08_VWAP_MR,2025-04-01 13:15:00+00:00,SELL,3133.69,3140.09,3132.61,3132.61,2025-04-01T13:20:00.000000000,TP,1.08,VWAP_MR_HI
C08_VWAP_MR,2025-04-08 13:30:00+00:00,SELL,3012.35,3028.85,3008.55,3008.55,2025-04-08T13:37:00.000000000,TP,3.8,VWAP_MR_HI
C08_VWAP_MR,2025-04-15 14:05:00+00:00,BUY,3220.81,3210.89,3222.96,3222.96,2025-04-15T14:18:00.000000000,TP,2.15,VWAP_MR_LO
C08_VWAP_MR,2025-04-24 13:20:00+00:00,BUY,3330.99,3316.38,3334.1,3316.38,2025-04-24T13:44:00.000000000,SL,-14.61,VWAP_MR_LO
C08_VWAP_MR,2025-05-02 13:25:00+00:00,BUY,3257.52,3244.75,3259.16,3259.16,2025-05-02T13:27:00.000000000,TP,1.64,VWAP_MR_LO
C08_VWAP_MR,2025-05-02 14:15:00+00:00,BUY,3254.73,3240.49,3258.57,3258.57,2025-05-02T14:32:00.000000000,TP,3.84,VWAP_MR_LO
C08_VWAP_MR,2025-05-07 14:20:00+00:00,BUY,3384.7,3366.57,3385.92,3385.92,2025-05-07T14:34:00.000000000,TP,1.22,VWAP_MR_LO
C08_VWAP_MR,2025-05-21 13:10:00+00:00,BUY,3305.82,3293.24,3309.98,3309.98,2025-05-21T15:07:00.000000000,TP,4.16,VWAP_MR_LO
C08_VWAP_MR,2025-05-26 13:40:00+00:00,SELL,3335.12,3341.46,3333.04,3341.46,2025-05-26T14:05:00.000000000,SL,-6.34,VWAP_MR_HI
C08_VWAP_MR,2025-05-28 13:15:00+00:00,BUY,3310.33,3298.12,3315.39,3298.12,2025-05-28T13:43:00.000000000,SL,-12.21,VWAP_MR_LO
C08_VWAP_MR,2025-06-05 14:05:00+00:00,BUY,3376.44,3358.47,3385.44,3358.47,2025-06-05T15:32:00.000000000,SL,-17.97,VWAP_MR_LO
C08_VWAP_MR,2025-08-08 18:10:00+00:00,SELL,3397.26,3423.66,3393.47,3393.47,2025-08-08T18:19:00.000000000,TP,3.79,VWAP_MR_HI
C08_VWAP_MR,2025-08-12 15:55:00+00:00,SELL,3349.81,3357.13,3345.52,3345.52,2025-08-13T00:17:00.000000000,TP,4.29,VWAP_MR_HI
C08_VWAP_MR,2025-08-19 13:35:00+00:00,BUY,3335.98,3329.8,3338.96,3338.96,2025-08-19T13:46:00.000000000,TP,2.98,VWAP_MR_LO
C08_VWAP_MR,2025-08-19 14:00:00+00:00,BUY,3336.01,3327.28,3338.77,3327.28,2025-08-19T14:40:00.000000000,SL,-8.73,VWAP_MR_LO
C08_VWAP_MR,2025-09-02 13:30:00+00:00,SELL,3482.98,3496.91,3481.42,3481.42,2025-09-02T13:32:00.000000000,TP,1.56,VWAP_MR_HI
C08_VWAP_MR,2025-09-09 15:45:00+00:00,BUY,3644.78,3636.42,3651.03,3636.42,2025-09-09T19:14:00.000000000,SL,-8.36,VWAP_MR_LO
C08_VWAP_MR,2025-10-10 14:15:00+00:00,BUY,3984.55,3964.71,3990.14,3990.14,2025-10-10T14:58:00.000000000,TP,5.59,VWAP_MR_LO
C08_VWAP_MR,2025-10-15 15:35:00+00:00,BUY,4192.5,4174.5,4196.29,4196.29,2025-10-15T15:41:00.000000000,TP,3.79,VWAP_MR_LO
C08_VWAP_MR,2025-10-15 15:50:00+00:00,BUY,4190.48,4164.54,4195.68,4195.68,2025-10-15T16:08:00.000000000,TP,5.2,VWAP_MR_LO
C08_VWAP_MR,2025-10-29 14:45:00+00:00,BUY,4014.5,3999.72,4018.77,3999.72,2025-10-29T15:46:00.000000000,SL,-14.78,VWAP_MR_LO
C08_VWAP_MR,2025-11-07 17:00:00+00:00,SELL,4004.77,4021.1,4000.07,4000.07,2025-11-07T17:06:00.000000000,TP,4.7,VWAP_MR_HI
C08_VWAP_MR,2025-11-17 13:05:00+00:00,SELL,4081.61,4103.27,4078.99,4078.99,2025-11-17T13:24:00.000000000,TP,2.62,VWAP_MR_HI
C08_VWAP_MR,2025-11-25 14:55:00+00:00,BUY,4125.4,4103.19,4132.33,4132.33,2025-11-25T15:17:00.000000000,TP,6.93,VWAP_MR_LO
C08_VWAP_MR,2025-12-01 14:05:00+00:00,BUY,4247.87,4227.15,4251.08,4227.15,2025-12-01T14:37:00.000000000,SL,-20.72,VWAP_MR_LO
C08_VWAP_MR,2025-12-04 14:55:00+00:00,SELL,4201.31,4221.17,4196.74,4196.74,2025-12-04T15:02:00.000000000,TP,4.57,VWAP_MR_HI
C08_VWAP_MR,2025-12-11 13:25:00+00:00,BUY,4213.25,4203.11,4215.5,4215.5,2025-12-11T13:30:00.000000000,TP,2.25,VWAP_MR_LO
C08_VWAP_MR,2025-12-11 14:00:00+00:00,SELL,4218.79,4228.91,4216.01,4228.91,2025-12-11T14:11:00.000000000,SL,-10.12,VWAP_MR_HI
C08_VWAP_MR,2025-12-15 13:35:00+00:00,BUY,4340.9,4328.71,4342.71,4342.71,2025-12-15T13:48:00.000000000,TP,1.81,VWAP_MR_LO
C08_VWAP_MR,2025-12-17 15:40:00+00:00,SELL,4332.25,4354.16,4325.2,4325.2,2025-12-17T15:53:00.000000000,TP,7.05,VWAP_MR_HI
C08_VWAP_MR,2025-12-18 15:10:00+00:00,SELL,4330.83,4347.36,4326.51,4326.51,2025-12-18T15:21:00.000000000,TP,4.32,VWAP_MR_HI
C08_VWAP_MR,2025-12-19 13:55:00+00:00,SELL,4328.37,4335.91,4327.32,4327.32,2025-12-19T14:00:00.000000000,TP,1.05,VWAP_MR_HI
C08_VWAP_MR,2025-12-22 14:35:00+00:00,SELL,4417.14,4433.38,4413.95,4413.95,2025-12-22T15:13:00.000000000,TP,3.19,VWAP_MR_HI
C08_VWAP_MR,2025-12-31 15:05:00+00:00,SELL,4332.19,4351.24,4322.04,4322.04,2025-12-31T16:14:00.000000000,TP,10.15,VWAP_MR_HI
C08_VWAP_MR,2026-01-08 14:35:00+00:00,SELL,4429.55,4447.16,4427.25,4427.25,2026-01-08T14:42:00.000000000,TP,2.3,VWAP_MR_HI
C08_VWAP_MR,2026-01-09 13:00:00+00:00,BUY,4469.61,4457.48,4471.66,4471.66,2026-01-09T13:05:00.000000000,TP,2.05,VWAP_MR_LO
C08_VWAP_MR,2026-01-12 14:05:00+00:00,SELL,4598.65,4617.62,4592.13,4592.13,2026-01-12T14:15:00.000000000,TP,6.52,VWAP_MR_HI
C08_VWAP_MR,2026-01-13 15:20:00+00:00,SELL,4604.21,4628.54,4596.98,4596.98,2026-01-13T16:27:00.000000000,TP,7.23,VWAP_MR_HI
C08_VWAP_MR,2026-01-14 13:00:00+00:00,SELL,4635.3,4648.83,4633.38,4633.38,2026-01-14T13:04:00.000000000,TP,1.92,VWAP_MR_HI
C08_VWAP_MR,2026-01-16 13:45:00+00:00,BUY,4601.94,4583.12,4604.95,4604.95,2026-01-16T14:05:00.000000000,TP,3.01,VWAP_MR_LO
C08_VWAP_MR,2026-01-20 13:30:00+00:00,BUY,4723.88,4704.33,4725.86,4725.86,2026-01-20T13:34:00.000000000,TP,1.98,VWAP_MR_LO
C08_VWAP_MR,2026-01-21 15:50:00+00:00,BUY,4851.37,4821.44,4861.14,4821.44,2026-01-21T16:52:00.000000000,SL,-29.93,VWAP_MR_LO
C08_VWAP_MR,2026-01-26 18:50:00+00:00,BUY,5080.12,5057.71,5084.15,5057.71,2026-01-26T19:02:00.000000000,SL,-22.41,VWAP_MR_LO
C08_VWAP_MR,2026-01-27 15:20:00+00:00,BUY,5075.87,5045.51,5080.59,5080.59,2026-01-27T15:35:00.000000000,TP,4.72,VWAP_MR_LO
C08_VWAP_MR,2026-01-28 14:30:00+00:00,BUY,5263.1,5236.53,5273.66,5273.66,2026-01-28T14:35:00.000000000,TP,10.56,VWAP_MR_LO
C08_VWAP_MR,2026-02-02 15:30:00+00:00,BUY,4684.18,4595.1,4723.75,4723.75,2026-02-02T23:08:00.000000000,TP,39.57,VWAP_MR_LO
C08_VWAP_MR,2026-02-03 15:15:00+00:00,SELL,4927.78,4969.39,4917.9,4917.9,2026-02-03T15:21:00.000000000,TP,9.88,VWAP_MR_HI
C08_VWAP_MR,2026-02-10 13:35:00+00:00,SELL,5049.18,5072.55,5042.99,5072.55,2026-02-10T14:17:00.000000000,SL,-23.37,VWAP_MR_HI
C08_VWAP_MR,2026-02-11 13:35:00+00:00,BUY,5064.36,5001.2,5073.33,5073.33,2026-02-11T14:04:00.000000000,TP,8.97,VWAP_MR_LO
C08_VWAP_MR,2026-02-13 15:50:00+00:00,SELL,4986.67,5018.83,4975.58,4975.58,2026-02-13T15:59:00.000000000,TP,11.09,VWAP_MR_HI
C08_VWAP_MR,2026-02-20 15:10:00+00:00,BUY,5022.42,4970.85,5031.24,5031.24,2026-02-20T15:15:00.000000000,TP,8.82,VWAP_MR_LO
C08_VWAP_MR,2026-02-20 15:25:00+00:00,BUY,5025.87,4976.94,5031.38,5031.38,2026-02-20T15:37:00.000000000,TP,5.51,VWAP_MR_LO
C08_VWAP_MR,2026-02-26 14:40:00+00:00,BUY,5172.54,5137.77,5175.87,5175.87,2026-02-26T14:46:00.000000000,TP,3.33,VWAP_MR_LO
C08_VWAP_MR,2026-02-26 17:10:00+00:00,SELL,5179.8,5201.22,5173.0,5173.0,2026-02-26T17:32:00.000000000,TP,6.8,VWAP_MR_HI
C08_VWAP_MR,2026-03-02 13:30:00+00:00,SELL,5401.1,5440.3,5396.64,5396.64,2026-03-02T13:39:00.000000000,TP,4.46,VWAP_MR_HI
C08_VWAP_MR,2026-03-17 16:20:00+00:00,BUY,5002.16,4988.61,5008.39,5008.39,2026-03-17T17:24:00.000000000,TP,6.23,VWAP_MR_LO
C08_VWAP_MR,2026-03-25 14:05:00+00:00,BUY,4551.25,4520.31,4559.25,4559.25,2026-03-25T14:16:00.000000000,TP,8.0,VWAP_MR_LO
C08_VWAP_MR,2026-03-26 14:50:00+00:00,SELL,4449.67,4494.15,4439.01,4439.01,2026-03-26T15:33:00.000000000,TP,10.66,VWAP_MR_HI
C08_VWAP_MR,2026-03-30 13:30:00+00:00,SELL,4557.95,4588.21,4541.93,4541.93,2026-03-30T13:45:00.000000000,TP,16.02,VWAP_MR_HI
C08_VWAP_MR,2026-04-01 14:20:00+00:00,SELL,4739.92,4774.9,4733.16,4733.16,2026-04-01T14:26:00.000000000,TP,6.76,VWAP_MR_HI
C08_VWAP_MR,2026-04-14 15:05:00+00:00,SELL,4792.88,4807.61,4783.09,4807.61,2026-04-14T15:30:00.000000000,SL,-14.73,VWAP_MR_HI
C08_VWAP_MR,2026-04-21 13:45:00+00:00,SELL,4788.9,4808.4,4784.58,4784.58,2026-04-21T13:57:00.000000000,TP,4.32,VWAP_MR_HI
C08_VWAP_MR,2026-04-21 14:00:00+00:00,BUY,4780.64,4760.32,4784.58,4760.32,2026-04-21T14:40:00.000000000,SL,-20.32,VWAP_MR_LO
C08_VWAP_MR,2026-04-22 13:25:00+00:00,BUY,4750.21,4734.5,4756.08,4756.08,2026-04-22T13:44:00.000000000,TP,5.87,VWAP_MR_LO
C08_VWAP_MR,2026-05-08 13:00:00+00:00,SELL,4723.25,4743.4,4718.13,4718.13,2026-05-08T13:11:00.000000000,TP,5.12,VWAP_MR_HI
C17_ORB_MOMENTUM,2025-11-28 14:00:00+00:00,BUY,4187.21,4175.6,4197.73,4197.73,2025-11-28T14:22:00.000000000,TP,10.52,ORB_LONG
C18_ABSORPTION_REVERSAL,2025-11-28 09:25:00+00:00,SELL,4163.85,4168.36,4154.9,4168.36,2025-11-28T09:53:00.000000000,SL,-4.51,ABSORB_REJ_HI
C18_ABSORPTION_REVERSAL,2025-11-28 10:15:00+00:00,SELL,4175.27,4180.38,4168.84,4168.84,2025-11-28T10:25:00.000000000,TP,6.43,ABSORB_REJ_HI
C18_ABSORPTION_REVERSAL,2025-11-28 13:35:00+00:00,BUY,4175.33,4172.01,4180.07,4172.01,2025-11-28T13:46:00.000000000,SL,-3.32,ABSORB_REJ_LO
