strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
ICT_S4_BREAKER,2025-01-06 15:15:00+00:00,BUY,2632.0,2629.41,2636.58,2636.28,2025-01-06 15:30:00+00:00,TP,4.29,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-08 15:00:00+00:00,BUY,2661.77,2659.19,2666.48,2666.18,2025-01-08 15:30:00+00:00,TP,4.42,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-09 11:45:00+00:00,BUY,2669.46,2666.29,2675.17,2674.87,2025-01-09 12:45:00+00:00,TP,5.41,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-14 21:00:00+00:00,SELL,2676.21,2677.8,2673.63,2678.1,2025-01-14 21:15:00+00:00,SL,-1.9,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-17 02:30:00+00:00,BUY,2715.41,2713.57,2718.6,2713.27,2025-01-17 05:30:00+00:00,SL,-2.15,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-17 17:30:00+00:00,BUY,2711.75,2709.86,2714.97,2709.56,2025-01-17 18:15:00+00:00,SL,-2.19,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-20 01:30:00+00:00,SELL,2693.04,2695.87,2687.96,2696.17,2025-01-20 02:00:00+00:00,SL,-3.13,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-20 04:30:00+00:00,BUY,2703.22,2702.08,2704.95,2704.65,2025-01-20 04:45:00+00:00,TP,1.43,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-22 11:30:00+00:00,BUY,2758.28,2754.36,2765.49,2754.06,2025-01-22 12:00:00+00:00,SL,-4.21,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-23 10:45:00+00:00,SELL,2748.74,2752.8,2741.3,2753.1,2025-01-23 11:00:00+00:00,SL,-4.35,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-23 17:00:00+00:00,BUY,2754.28,2751.82,2758.57,2758.27,2025-01-23 17:30:00+00:00,TP,3.99,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-27 13:45:00+00:00,BUY,2753.28,2751.24,2756.77,2756.47,2025-01-27 14:00:00+00:00,TP,3.19,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-28 15:45:00+00:00,SELL,2756.48,2757.61,2754.82,2757.91,2025-01-28 16:00:00+00:00,SL,-1.43,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-28 16:15:00+00:00,SELL,2757.14,2759.58,2752.74,2759.88,2025-01-28 16:45:00+00:00,SL,-2.75,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-29 15:45:00+00:00,BUY,2753.71,2749.61,2761.25,2749.31,2025-01-29 16:45:00+00:00,SL,-4.4,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-01-31 10:30:00+00:00,SELL,2793.92,2795.55,2791.16,2795.85,2025-01-31 11:15:00+00:00,SL,-1.93,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-02-02 23:45:00+00:00,SELL,2792.49,2796.16,2786.12,2786.42,2025-02-03 01:00:00+00:00,TP,6.07,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-02-04 08:30:00+00:00,SELL,2816.66,2818.59,2813.4,2813.7,2025-02-04 08:45:00+00:00,TP,2.96,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-02-06 04:00:00+00:00,BUY,2869.73,2868.34,2871.85,2868.04,2025-02-06 05:00:00+00:00,SL,-1.68,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-02-06 09:15:00+00:00,SELL,2858.92,2860.67,2856.01,2856.31,2025-02-06 09:30:00+00:00,TP,2.61,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-02-07 21:15:00+00:00,SELL,2862.41,2863.79,2860.24,2864.09,2025-02-09 23:00:00+00:00,SL,-1.68,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-02-11 03:00:00+00:00,SELL,2918.55,2924.07,2908.2,2924.37,2025-02-11 03:30:00+00:00,SL,-5.82,ICT_S4_BREAKER
ICT_S4_BREAKER,2025-02-12 15:15:00+00:00,BUY,2889.27,2885.09,2897.01,2896.71,2025-02-12 16:30:00+00:00,TP,7.44,ICT_S4_BREAKER
