strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
VAR2,2025-01-02 13:36:00+00:00,BUY,2639.67,2635.85,2640.0,2640.0,2025-01-02 13:37:00,TP,0.33,VAR2_SSL
VAR2,2025-01-02 13:52:00+00:00,BUY,2644.5,2637.28,2646.38,2646.38,2025-01-02 13:55:00,TP,1.88,VAR2_SSL
VAR2,2025-01-03 02:09:00+00:00,BUY,2659.0,2655.3,2660.56,2660.56,2025-01-03 02:16:00,TP,1.56,VAR2_SSL
VAR2,2025-01-03 04:47:00+00:00,SELL,2662.61,2663.87,2661.85,2661.85,2025-01-03 05:05:00,TP,0.76,VAR2_BSL
VAR2,2025-01-03 04:54:00+00:00,SELL,2662.53,2663.71,2661.85,2661.85,2025-01-03 05:05:00,TP,0.68,VAR2_BSL
VAR2,2025-01-03 17:19:00+00:00,BUY,2642.11,2638.54,2647.32,2638.54,2025-01-03 20:37:00,SL,-3.57,VAR2_SSL
VAR2,2025-01-03 19:37:00+00:00,BUY,2642.02,2639.6,2647.32,2639.6,2025-01-03 19:53:00,SL,-2.42,VAR2_SSL
VAR2,2025-01-05 23:21:00+00:00,BUY,2642.04,2639.41,2643.04,2639.41,2025-01-06 00:12:00,SL,-2.63,VAR2_SSL
VAR2,2025-01-06 00:56:00+00:00,BUY,2642.68,2638.12,2643.04,2643.04,2025-01-06 00:57:00,TP,0.36,VAR2_SSL
VAR2,2025-01-06 03:35:00+00:00,SELL,2640.29,2644.94,2639.89,2639.89,2025-01-06 03:47:00,TP,0.4,VAR2_BSL
VAR2,2025-01-06 11:29:00+00:00,BUY,2644.92,2638.47,2645.38,2645.38,2025-01-06 11:32:00,TP,0.46,VAR2_SSL
VAR2,2025-01-06 13:41:00+00:00,SELL,2627.71,2639.32,2625.26,2625.26,2025-01-06 13:44:00,TP,2.45,VAR2_BSL
VAR2,2025-01-06 21:03:00+00:00,BUY,2635.25,2632.82,2635.6,2635.6,2025-01-06 21:05:00,TP,0.35,VAR2_SSL
VAR2,2025-01-06 23:34:00+00:00,SELL,2634.47,2636.68,2633.85,2633.85,2025-01-06 23:48:00,TP,0.62,VAR2_BSL
VAR2,2025-01-07 01:04:00+00:00,BUY,2636.42,2632.13,2637.11,2637.11,2025-01-07 01:13:00,TP,0.69,VAR2_SSL
VAR2,2025-01-08 01:05:00+00:00,SELL,2648.89,2652.57,2647.83,2647.83,2025-01-08 01:20:00,TP,1.06,VAR2_BSL
VAR2,2025-01-08 16:51:00+00:00,SELL,2669.25,2669.3,2659.42,2669.3,2025-01-08 16:52:00,SL,-0.05,VAR2_BSL
VAR2,2025-01-08 17:25:00+00:00,SELL,2666.5,2669.5,2662.71,2662.71,2025-01-08 17:29:00,TP,3.79,VAR2_BSL
VAR2,2025-01-09 03:46:00+00:00,BUY,2661.44,2659.89,2661.52,2659.89,2025-01-09 03:53:00,SL,-1.55,VAR2_SSL
VAR2,2025-01-09 17:11:00+00:00,BUY,2665.66,2665.38,2666.95,2665.38,2025-01-09 17:12:00,SL,-0.28,VAR2_SSL
VAR2,2025-01-09 17:21:00+00:00,SELL,2666.75,2668.56,2665.34,2665.34,2025-01-09 17:29:00,TP,1.41,VAR2_BSL
