strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,pnl_usd,gated_reason_at_entry
KRONOS_S97_SNAP_SCALPER,2026-04-01T05:59:00+00:00,BUY,4684.81,4671.19,4691.99,4691.74,2026-04-01T06:11:00+00:00,TP,6.93,13.86,"quiet_fade: 5.98h UTC, vol=NORMAL, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-04-01T07:09:00+00:00,BUY,4721.215,4712.09,4725.9,4725.65,2026-04-01T07:21:00+00:00,TP,4.435,8.87,"quiet_fade: 7.15h UTC, vol=NORMAL, d1=bearish"
SESSION_BREAKOUT,2026-04-01T07:34:00+00:00,BUY,4733.175,4713.305,4762.35,4713.055,2026-04-01T07:52:00+00:00,SL,-20.12,-40.24,"session_vol: in window (7.57h UTC), vol=NORMAL"
KRONOS_S97_SNAP_SCALPER,2026-04-01T07:49:00+00:00,BUY,4722.87,4705.17,4732.31,4726.805,2026-04-01T08:19:00+00:00,TIME,3.935,7.87,"quiet_fade: 7.82h UTC, vol=NORMAL, d1=bearish"
SESSION_BREAKOUT,2026-04-01T13:39:00+00:00,BUY,4742.715,4716.28,4781.74,4781.49,2026-04-01T15:36:00+00:00,TP,38.775,77.55,"session_vol: in window (13.65h UTC), vol=NORMAL"
KRONOS_S96_H1_MOMENTUM,2026-04-01T01:14:00+00:00,BUY,4711.17,4745.165,5671.61,4744.915,2026-04-01T18:37:00+00:00,TRAIL,33.745,67.49,"trending: trend=TRENDING, h4_bias=long"
SESSION_BREAKOUT,2026-04-06T07:49:00+00:00,BUY,4666.955,4645.12,4699.08,4698.83,2026-04-06T09:00:00+00:00,TP,31.875,63.75,"session_vol: in window (7.82h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-04-06T13:44:00+00:00,BUY,4678.1,4659.8,4704.93,4659.55,2026-04-06T15:15:00+00:00,SL,-18.55,-37.1,"session_vol: in window (13.73h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-04-07T13:34:00+00:00,SELL,4648.215,4663.08,4626.54,4626.79,2026-04-07T14:04:00+00:00,TP,21.425,42.85,"session_vol: in window (13.57h UTC), vol=NORMAL"
KRONOS_S96_H1_MOMENTUM,2026-04-14T18:15:00+00:00,BUY,4835.485,4838.105,5500.79,4837.855,2026-04-15T02:21:00+00:00,TRAIL,2.37,4.74,"trending: trend=TRENDING, h4_bias=short"
KRONOS_S95_SESSION_BREAKOUT,2026-04-20T07:24:00+00:00,BUY,4802.05,4793.88,4813.68,4793.63,2026-04-20T07:30:00+00:00,SL,-8.42,-16.84,"session_vol: in window (7.40h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-04-20T07:34:00+00:00,SELL,4793.725,4805.795,4776.25,4797.43,2026-04-20T10:34:00+00:00,TIME,-3.705,-7.41,"session_vol: in window (7.57h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-04-20T08:54:00+00:00,SELL,4793.57,4801.74,4781.94,4801.99,2026-04-20T11:49:00+00:00,SL,-8.42,-16.84,"session_vol: in window (8.90h UTC), vol=NORMAL"
KRONOS_S96_H1_MOMENTUM,2026-04-21T17:14:00+00:00,SELL,4711.02,4703.49,4013.89,4703.74,2026-04-21T20:16:00+00:00,TRAIL,7.28,14.56,"trending: trend=TRENDING, h4_bias=short"
KRONOS_S97_SNAP_SCALPER,2026-04-22T03:00:00+00:00,SELL,4755.595,4759.55,4753.78,4754.03,2026-04-22T03:01:00+00:00,TP,1.565,3.13,"quiet_fade: 3.00h UTC, vol=NORMAL, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-22T03:02:00+00:00,SELL,4755.595,4759.55,4753.78,4759.8,2026-04-22T03:07:00+00:00,SL,-4.205,-8.41,"quiet_fade: 3.03h UTC, vol=NORMAL, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-22T03:29:00+00:00,SELL,4762.85,4766.99,4760.94,4761.19,2026-04-22T03:34:00+00:00,TP,1.66,3.32,"quiet_fade: 3.48h UTC, vol=NORMAL, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-22T04:49:00+00:00,SELL,4757.685,4761.59,4755.9,4756.15,2026-04-22T04:50:00+00:00,TP,1.535,3.07,"quiet_fade: 4.82h UTC, vol=NORMAL, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-22T04:51:00+00:00,SELL,4757.685,4761.59,4755.9,4756.15,2026-04-22T04:52:00+00:00,TP,1.535,3.07,"quiet_fade: 4.85h UTC, vol=NORMAL, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-22T04:53:00+00:00,SELL,4757.685,4761.59,4755.9,4756.15,2026-04-22T04:54:00+00:00,TP,1.535,3.07,"quiet_fade: 4.88h UTC, vol=NORMAL, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-22T05:14:00+00:00,SELL,4756.96,4760.82,4755.2,4761.07,2026-04-22T05:16:00+00:00,SL,-4.11,-8.22,"quiet_fade: 5.23h UTC, vol=NORMAL, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-22T05:17:00+00:00,SELL,4756.96,4760.82,4755.2,4761.07,2026-04-22T05:18:00+00:00,SL,-4.11,-8.22,"quiet_fade: 5.28h UTC, vol=NORMAL, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-22T05:19:00+00:00,SELL,4768.695,4780.76,4762.38,4769.425,2026-04-22T05:49:00+00:00,TIME,-0.73,-1.46,"quiet_fade: 5.32h UTC, vol=NORMAL, d1=bullish"
KRONOS_S95_SESSION_BREAKOUT,2026-04-22T07:34:00+00:00,SELL,4764.265,4772.49,4752.55,4752.8,2026-04-22T08:35:00+00:00,TP,11.465,22.93,"session_vol: in window (7.57h UTC), vol=NORMAL"
KRONOS_S97_SNAP_SCALPER,2026-04-23T05:49:00+00:00,SELL,4710.29,4717.13,4706.88,4717.38,2026-04-23T06:01:00+00:00,SL,-7.09,-14.18,"quiet_fade: 5.82h UTC, vol=LOW, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-23T07:34:00+00:00,SELL,4710.73,4715.61,4708.41,4708.66,2026-04-23T07:42:00+00:00,TP,2.07,4.14,"quiet_fade: 7.57h UTC, vol=LOW, d1=bullish"
KRONOS_S97_SNAP_SCALPER,2026-04-23T07:49:00+00:00,SELL,4720.185,4730.24,4714.99,4720.875,2026-04-23T08:19:00+00:00,TIME,-0.69,-1.38,"quiet_fade: 7.82h UTC, vol=LOW, d1=bullish"
SESSION_BREAKOUT,2026-04-23T14:54:00+00:00,BUY,4736.315,4717.185,4764.38,4716.935,2026-04-23T15:54:00+00:00,SL,-19.38,-38.76,"session_vol: in window (14.90h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-04-24T14:00:00+00:00,BUY,4705.845,4693.605,4723.58,4723.33,2026-04-24T14:05:00+00:00,TP,17.485,34.97,"session_vol: in window (14.00h UTC), vol=NORMAL"
KRONOS_S96_H1_MOMENTUM,2026-04-28T06:14:00+00:00,SELL,4632.14,4634.32,4240.99,4634.57,2026-04-28T08:32:00+00:00,TRAIL,-2.43,-4.86,"trending: trend=TRENDING, h4_bias=short"
KRONOS_S96_H1_MOMENTUM,2026-04-28T10:14:00+00:00,SELL,4604.505,4578.2,4143.47,4578.45,2026-04-28T12:12:00+00:00,TRAIL,26.055,52.11,"trending: trend=TRENDING, h4_bias=short"
KRONOS_S96_H1_MOMENTUM,2026-04-28T12:13:00+00:00,SELL,4603.17,4594.735,4126.3,4594.985,2026-04-28T12:47:00+00:00,TRAIL,8.185,16.37,"trending: trend=TRENDING, h4_bias=short"
SESSION_BREAKOUT,2026-04-28T13:34:00+00:00,SELL,4571.06,4594.85,4536.0,4581.45,2026-04-28T16:34:00+00:00,TIME,-10.39,-20.78,"session_vol: in window (13.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-04-29T14:00:00+00:00,SELL,4534.39,4553.65,4506.13,4553.9,2026-04-29T15:40:00+00:00,SL,-19.51,-39.02,"session_vol: in window (14.00h UTC), vol=NORMAL"
KRONOS_S97_SNAP_SCALPER,2026-04-30T05:09:00+00:00,SELL,4552.49,4562.36,4547.4,4562.61,2026-04-30T05:35:00+00:00,SL,-10.12,-20.24,"quiet_fade: 5.15h UTC, vol=LOW, d1=bullish"
SESSION_BREAKOUT,2026-04-30T07:44:00+00:00,BUY,4596.08,4584.885,4612.25,4612.0,2026-04-30T08:04:00+00:00,TP,15.92,31.84,"session_vol: in window (7.73h UTC), vol=NORMAL"
