strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,pnl_usd,gated_reason_at_entry
KRONOS_S97_SNAP_SCALPER,2026-04-01T05:59:00+00:00,BUY,4684.81,4671.19,4691.99,4691.74,2026-04-01T06:11:00+00:00,TP,6.93,13.86,ungated
KRONOS_S97_SNAP_SCALPER,2026-04-01T07:09:00+00:00,BUY,4721.215,4712.09,4725.9,4725.65,2026-04-01T07:21:00+00:00,TP,4.435,8.87,ungated
KRONOS_S97_SNAP_SCALPER,2026-04-01T07:49:00+00:00,BUY,4722.87,4705.17,4732.31,4726.805,2026-04-01T08:19:00+00:00,TIME,3.935,7.87,ungated
SESSION_BREAKOUT,2026-04-01T14:44:00+00:00,BUY,4754.305,4724.3,4800.9,4781.94,2026-04-01T17:44:00+00:00,TIME,27.635,55.27,ungated
KRONOS_S96_H1_MOMENTUM,2026-04-01T01:14:00+00:00,BUY,4708.39,4745.165,5671.61,4744.915,2026-04-01T18:37:00+00:00,TRAIL,36.525,73.05,ungated
SESSION_BREAKOUT,2026-04-06T14:34:00+00:00,BUY,4692.27,4660.455,4735.91,4660.205,2026-04-06T15:15:00+00:00,SL,-32.065,-64.13,ungated
SESSION_BREAKOUT,2026-04-07T01:54:00+00:00,SELL,4627.155,4664.53,4572.59,4662.37,2026-04-07T04:54:00+00:00,TIME,-35.215,-70.43,ungated
SESSION_BREAKOUT,2026-04-07T07:34:00+00:00,SELL,4642.99,4657.225,4611.48,4657.475,2026-04-07T08:02:00+00:00,SL,-14.485,-28.97,ungated
KRONOS_S96_H1_MOMENTUM,2026-04-07T23:14:00+00:00,BUY,4818.705,4798.125,6020.26,4797.875,2026-04-08T01:20:00+00:00,TRAIL,-20.83,-41.66,ungated
KRONOS_S97_SNAP_SCALPER,2026-04-09T03:19:00+00:00,BUY,4708.105,4698.57,4713.01,4712.76,2026-04-09T03:30:00+00:00,TP,4.655,9.31,ungated
SESSION_BREAKOUT,2026-04-09T13:39:00+00:00,BUY,4770.6,4738.655,4789.01,4788.76,2026-04-09T15:32:00+00:00,TP,18.16,36.32,ungated
