strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,pnl_usd,gate_reason
KRONOS_S95_SESSION_BREAKOUT,2026-06-26T08:04:00+00:00,SELL,4026.305,4034.03,4015.34,4034.28,2026-06-26T08:18:00+00:00,SL,-7.975,-15.95,"session_vol: in window (8.07h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-26T08:34:00+00:00,BUY,4034.75,4026.71,4046.18,4045.93,2026-06-26T09:19:00+00:00,TP,11.18,22.36,"session_vol: in window (8.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-26T13:54:00+00:00,BUY,4066.38,4043.23,4100.48,4085.205,2026-06-26T16:54:00+00:00,TIME,18.825,37.65,"session_vol: in window (13.90h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-29T07:34:00+00:00,BUY,4063.47,4056.09,4073.91,4055.84,2026-06-29T08:44:00+00:00,SL,-7.63,-15.26,"session_vol: in window (7.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-29T07:54:00+00:00,BUY,4066.735,4056.185,4081.94,4055.935,2026-06-29T08:44:00+00:00,SL,-10.8,-21.6,"session_vol: in window (7.90h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-29T08:45:00+00:00,SELL,4055.515,4062.94,4045.0,4045.25,2026-06-29T08:58:00+00:00,TP,10.265,20.53,"session_vol: in window (8.75h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-06-29T13:34:00+00:00,SELL,4037.62,4051.935,4016.77,4017.02,2026-06-29T14:06:00+00:00,TP,20.6,41.2,"session_vol: in window (13.57h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-30T07:24:00+00:00,BUY,4031.2,4023.68,4041.85,4023.43,2026-06-30T08:12:00+00:00,SL,-7.77,-15.54,"session_vol: in window (7.40h UTC), vol=NORMAL"
KRONOS_S95_SESSION_BREAKOUT,2026-06-30T08:34:00+00:00,SELL,4023.195,4030.16,4013.37,4013.62,2026-06-30T09:31:00+00:00,TP,9.575,19.15,"session_vol: in window (8.57h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-07-01T14:00:00+00:00,BUY,4047.56,4012.865,4098.98,4098.73,2026-07-01T14:01:00+00:00,TP,51.17,102.34,"session_vol: in window (14.00h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-07-01T14:34:00+00:00,BUY,4107.09,4082.925,4142.71,4082.675,2026-07-01T15:11:00+00:00,SL,-24.415,-48.83,"session_vol: in window (14.57h UTC), vol=NORMAL"
KRONOS_S97_SNAP_SCALPER,2026-07-02T06:44:00+00:00,BUY,4068.5,4061.21,4072.16,4071.91,2026-07-02T06:49:00+00:00,TP,3.41,6.82,"quiet_fade: 6.73h UTC, vol=NORMAL, d1=bearish"
KRONOS_S97_SNAP_SCALPER,2026-07-02T07:19:00+00:00,BUY,4065.46,4059.21,4068.54,4068.29,2026-07-02T07:38:00+00:00,TP,2.83,5.66,"quiet_fade: 7.32h UTC, vol=NORMAL, d1=bearish"
KRONOS_S95_SESSION_BREAKOUT,2026-07-02T07:44:00+00:00,BUY,4074.865,4067.08,4085.92,4066.83,2026-07-02T07:53:00+00:00,SL,-8.035,-16.07,"session_vol: in window (7.73h UTC), vol=NORMAL"
KRONOS_S97_SNAP_SCALPER,2026-07-02T07:54:00+00:00,BUY,4066.715,4059.13,4070.54,4070.29,2026-07-02T08:09:00+00:00,TP,3.575,7.15,"quiet_fade: 7.90h UTC, vol=NORMAL, d1=bearish"
KRONOS_S95_SESSION_BREAKOUT,2026-07-02T07:54:00+00:00,SELL,4066.215,4074.39,4054.58,4074.64,2026-07-02T08:20:00+00:00,SL,-8.425,-16.85,"session_vol: in window (7.90h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-07-02T07:44:00+00:00,BUY,4074.54,4060.815,4094.5,4064.465,2026-07-02T10:44:00+00:00,TIME,-10.075,-20.15,"session_vol: in window (7.73h UTC), vol=NORMAL"
SESSION_BREAKOUT,2026-07-02T13:34:00+00:00,BUY,4129.965,4109.445,4160.12,4109.195,2026-07-02T16:30:00+00:00,SL,-20.77,-41.54,"session_vol: in window (13.57h UTC), vol=NORMAL"
