utc_time,usd,note
2026-07-07T03:27:11Z,-0.04,unlabelled position 23594170 (TEST_FILL_VALIDATION) — excluded from parity sample
2026-07-07T08:44:40Z,15.4,"unmatched broker position 23878821 (XAUUSD, 0.2 lots)"
2026-07-07T08:46:28Z,20.2,"unmatched broker position 23880335 (XAUUSD, 0.2 lots)"
2026-07-08T08:18:34Z,16.48,KRONOS_S95_SESSION_BREAKOUT (non-roster) position 24825007
2026-07-08T14:44:48Z,12.88,KRONOS_S95_SESSION_BREAKOUT (non-roster) position 25708130
2026-07-09T06:00:21Z,-30.03,KRONOS_S95_SESSION_BREAKOUT (non-roster) position 26142552
2026-07-09T08:23:29Z,15.3,KRONOS_S95_SESSION_BREAKOUT (non-roster) position 26446400
2026-07-14T14:22:33Z,29.2,"unmatched broker position 30552542 (XAUUSD, 0.1 lots)"
2026-07-16T05:15:01Z,20.4,"unmatched broker position 32280835 (XAUUSD, 0.2 lots)"
2026-07-16T05:31:12Z,19.8,"unmatched broker position 32294678 (XAUUSD, 0.2 lots)"
2026-07-17T01:54:39Z,14.12,KRONOS_S95_SESSION_BREAKOUT (non-roster) position 33410987
2026-07-21T16:20:59Z,23.8,"unmatched broker position 36645402 (XAUUSD, 0.2 lots)"
2026-07-22T07:58:26Z,27.2,"unmatched broker position 37165957 (XAUUSD, 0.1 lots)"
2026-07-22T17:49:33Z,62.8,"unmatched broker position 37848995 (XAUUSD, 0.2 lots)"
2026-07-22T18:00:25Z,19.95,"unmatched broker position 37858553 (XAUUSD, 0.15 lots)"
2026-07-22T18:00:26Z,-38.4,"unmatched broker position 37850736 (XAUUSD, 0.2 lots)"
2026-07-22T18:09:21Z,-11.9,"unmatched broker position 37865133 (XAUUSD, 0.35 lots)"
2026-07-23T13:30:04Z,84.0,"unmatched broker position 38727065 (XAUUSD, 0.3 lots)"
2026-07-23T13:39:32Z,-39.0,"unmatched broker position 38723636 (XAUUSD, 0.3 lots)"
2026-07-23T13:41:55Z,-175.2,"unmatched broker position 38735877 (XAUUSD, 0.3 lots)"
2026-07-23T13:46:31Z,68.7,"unmatched broker position 38766768 (XAUUSD, 0.3 lots)"
2026-07-23T13:53:38Z,22.0,"unmatched broker position 38780549 (XAUUSD, 0.2 lots)"
2026-07-23T13:54:31Z,34.0,"unmatched broker position 38783239 (XAUUSD, 0.2 lots)"
2026-07-23T14:00:33Z,43.6,"unmatched broker position 38794043 (XAUUSD, 0.2 lots)"
2026-07-23T14:10:21Z,69.6,"unmatched broker position 38821502 (XAUUSD, 0.3 lots)"
2026-07-24T16:26:03Z,63.0,"unmatched broker position 39936327 (XAUUSD, 0.3 lots)"
2026-07-24T16:28:22Z,-27.9,"unmatched broker position 39928753 (XAUUSD, 0.3 lots)"
2026-07-28T05:00:12Z,172.5,"unmatched broker position 41411933 (XAUUSD, 0.3 lots)"
2026-07-28T05:21:49Z,-54.0,"unmatched broker position 41411636 (XAUUSD, 0.3 lots)"
2026-07-28T15:05:18Z,-38.7,"unmatched broker position 42135199 (XAUUSD, 0.1 lots)"
2026-07-29T17:24:12Z,84.9,"unmatched broker position 43345531 (XAUUSD, 0.3 lots)"
2026-07-30T04:58:27Z,96.0,"unmatched broker position 43865863 (XAUUSD, 0.3 lots)"
2026-07-30T05:12:54Z,-129.6,"unmatched broker position 43862375 (XAUUSD, 0.3 lots)"
2026-07-30T05:18:37Z,90.9,"unmatched broker position 43884697 (XAUUSD, 0.3 lots)"
2026-07-30T05:19:21Z,-114.0,"unmatched broker position 43883641 (XAUUSD, 0.3 lots)"
2026-07-30T13:36:08Z,12.24,Neymar Telegram Copy (non-roster) position 109102024
2026-07-30T13:37:02Z,18.92,Neymar Telegram Copy (non-roster) position 109102026
2026-07-30T13:37:08Z,27.76,Neymar Telegram Copy (non-roster) position 109102032
2026-07-31T10:47:07Z,8.36,Neymar Telegram Copy (non-roster) position 109212441
2026-07-31T10:51:26Z,-0.08,Neymar Telegram Copy (non-roster) position 109212443
2026-07-31T10:51:26Z,-0.08,Neymar Telegram Copy (non-roster) position 109212444
2026-08-05T10:55:30Z,8.52,Neymar Telegram Copy (non-roster) position 109732944
2026-08-05T10:55:47Z,16.92,Neymar Telegram Copy (non-roster) position 109732947
2026-08-05T10:57:57Z,24.2,Neymar Telegram Copy (non-roster) position 109732951
2026-08-10T08:56:21Z,-19.65,Neymar Telegram Copy (non-roster) position 110323030
2026-08-10T08:56:21Z,-20.28,Neymar Telegram Copy (non-roster) position 110323035
2026-08-10T08:56:21Z,-20.28,Neymar Telegram Copy (non-roster) position 110323041
2026-08-10T08:56:21Z,-20.31,Neymar Telegram Copy (non-roster) position 110323045
2026-08-10T10:37:10Z,8.6,Neymar Telegram Copy (non-roster) position 110338488
2026-08-10T11:02:06Z,25.24,Neymar Telegram Copy (non-roster) position 110338489
2026-08-10T11:02:06Z,25.36,Neymar Telegram Copy (non-roster) position 110338490
2026-08-10T11:02:07Z,24.72,Neymar Telegram Copy (non-roster) position 110338492
2026-08-11T08:26:06Z,12.2,Neymar Telegram Copy (non-roster) position 110599150
2026-08-11T08:26:56Z,22.25,Neymar Telegram Copy (non-roster) position 110599185
2026-08-11T08:30:07Z,32.0,Neymar Telegram Copy (non-roster) position 110599186
2026-08-11T12:19:16Z,6.42,Neymar Telegram Copy (non-roster) position 110648252
2026-08-11T12:20:57Z,12.12,Neymar Telegram Copy (non-roster) position 110648261
2026-08-11T12:22:35Z,-0.51,Neymar Telegram Copy (non-roster) position 110648264
2026-08-11T12:22:35Z,-0.51,Neymar Telegram Copy (non-roster) position 110648269
