strategy,side,entry_time,entry_px,exit_time,exit_px,outcome,usd,lots,ticket,account_id
KRONOS_S99_MSS_FVG,SELL,2026-07-07T01:31:17Z,4136.9,2026-07-07T01:34:04Z,4140.27,SL,-68.4,0.2,23532569,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S99_MSS_FVG,BUY,2026-07-07T08:22:05Z,4134.88,2026-07-07T08:43:08Z,4130.07,SL,-38.88,0.08,23854588,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S99_MSS_FVG,SELL,2026-07-07T09:13:18Z,4127.31,2026-07-07T09:27:38Z,4125.84,TP,14.2,0.1,23912640,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S99_MSS_FVG,BUY,2026-07-07T09:48:07Z,4128.11,2026-07-07T09:50:35Z,4126.39,SL,-17.7,0.1,23949460,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S99_MSS_FVG,BUY,2026-07-07T11:32:13Z,4140.77,2026-07-07T11:44:59Z,4148.27,TP,44.7,0.06,24046681,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S93_FVG_SCALP,BUY,2026-07-07T12:21:10Z,4166.45,2026-07-07T13:00:11Z,4176.54,TP,50.2,0.05,24144471,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S99_MSS_FVG,BUY,2026-07-07T12:21:18Z,4166.66,2026-07-07T13:00:11Z,4176.54,TP,49.15,0.05,24144669,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S94_SWEEP_REVERSAL,BUY,2026-07-07T19:26:02Z,4100.72,2026-07-08T00:39:07Z,4120.0,TP,73.19,0.04,24677169,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S94_SWEEP_REVERSAL,SELL,2026-07-08T05:43:07Z,4131.1,2026-07-08T07:03:58Z,4121.87,TP,91.8,0.1,24973058,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S99_MSS_FVG,SELL,2026-07-08T07:29:07Z,4120.13,2026-07-08T07:31:07Z,4124.36,SL,-42.8,0.1,25066872,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S93_FVG_SCALP,SELL,2026-07-08T07:29:21Z,4119.69,2026-07-08T07:31:07Z,4124.36,SL,-47.2,0.1,25067077,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S93_FVG_SCALP,SELL,2026-07-08T08:47:06Z,4069.39,2026-07-08T09:43:12Z,4049.72,TP,58.86,0.03,25214700,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S94_SWEEP_REVERSAL,BUY,2026-07-08T08:55:08Z,4064.2,2026-07-08T08:56:37Z,4058.31,SL,-59.4,0.1,25231856,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S94_SWEEP_REVERSAL,BUY,2026-07-08T09:06:21Z,4055.36,2026-07-08T09:43:02Z,4050.24,SL,-51.7,0.1,25253693,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S99_MSS_FVG,SELL,2026-07-08T09:16:02Z,4057.39,2026-07-08T09:43:14Z,4047.87,TP,56.82,0.06,25268483,97fab5dc-d6d3-4684-aa81-9f35080cc79b
KRONOS_S93_FVG_SCALP,BUY,2026-07-08T12:25:08Z,4067.97,2026-07-08T12:42:12Z,4074.73,TP,60.39,0.09,25485347,97fab5dc-d6d3-4684-aa81-9f35080cc79b
