variation,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_points,tp_mode,pool_type,is_equal_pool
VAR1,2026-04-13 01:55:00+00:00,SELL,4721.26,4729.23,4717.26,4717.26,2026-04-13 02:35:00,TP,3.99,FIXED,BSL,False
VAR1,2026-04-13 02:25:00+00:00,SELL,4720.03,4725.94,4710.24,4725.94,2026-04-13 02:30:00,SL,-5.91,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 04:20:00+00:00,BUY,4712.55,4708.66,4721.8,4721.8,2026-04-13 04:50:00,TP,9.25,DYNAMIC_POOL,SSL,False
VAR1,2026-04-13 04:30:00+00:00,BUY,4713.32,4708.22,4721.8,4721.8,2026-04-13 04:50:00,TP,8.48,DYNAMIC_POOL,SSL,False
VAR1,2026-04-13 04:55:00+00:00,SELL,4723.16,4726.05,4712.19,4726.05,2026-04-13 05:00:00,SL,-2.89,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 05:00:00+00:00,SELL,4721.62,4727.45,4712.19,4727.45,2026-04-13 05:55:00,SL,-5.83,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 05:05:00+00:00,SELL,4721.28,4724.58,4712.19,4724.58,2026-04-13 05:35:00,SL,-3.3,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 05:35:00+00:00,SELL,4722.92,4726.01,4716.39,4726.01,2026-04-13 05:55:00,SL,-3.09,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 06:40:00+00:00,SELL,4726.44,4729.31,4716.39,4729.31,2026-04-13 07:00:00,SL,-2.88,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 07:30:00+00:00,SELL,4731.66,4734.91,4720.86,4734.91,2026-04-13 07:45:00,SL,-3.24,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 09:20:00+00:00,BUY,4721.0,4716.05,4725.0,4716.05,2026-04-13 09:25:00,SL,-4.95,FIXED,SSL,False
VAR1,2026-04-13 10:25:00+00:00,BUY,4712.56,4707.36,4719.09,4719.09,2026-04-13 10:45:00,TP,6.53,DYNAMIC_POOL,SSL,False
VAR1,2026-04-13 11:25:00+00:00,BUY,4721.02,4717.52,4729.23,4717.52,2026-04-13 11:35:00,SL,-3.49,DYNAMIC_POOL,SSL,False
VAR1,2026-04-13 11:45:00+00:00,BUY,4708.66,4702.38,4719.09,4719.09,2026-04-13 12:10:00,TP,10.43,DYNAMIC_POOL,SSL,False
VAR1,2026-04-13 13:40:00+00:00,SELL,4727.16,4731.76,4723.16,4731.76,2026-04-13 13:45:00,SL,-4.6,FIXED,BSL,False
VAR1,2026-04-13 14:20:00+00:00,SELL,4717.32,4722.49,4708.36,4722.49,2026-04-13 14:40:00,SL,-5.16,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 14:35:00+00:00,SELL,4719.18,4721.56,4708.36,4721.56,2026-04-13 14:40:00,SL,-2.39,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 15:05:00+00:00,BUY,4705.68,4699.56,4720.4,4720.4,2026-04-13 16:10:00,TP,14.72,DYNAMIC_POOL,SSL,False
VAR1,2026-04-13 16:45:00+00:00,SELL,4737.76,4747.27,4733.76,4733.76,2026-04-13 16:55:00,TP,3.99,FIXED,BSL,False
VAR1,2026-04-13 17:20:00+00:00,SELL,4744.6,4749.05,4740.6,4749.05,2026-04-13 17:25:00,SL,-4.45,FIXED,BSL,False
VAR1,2026-04-13 17:25:00+00:00,SELL,4743.21,4751.2,4739.21,4739.21,2026-04-13 17:45:00,TP,4.0,FIXED,BSL,False
VAR1,2026-04-13 17:30:00+00:00,SELL,4743.38,4748.77,4739.38,4739.38,2026-04-13 17:45:00,TP,4.0,FIXED,BSL,False
VAR1,2026-04-13 18:25:00+00:00,BUY,4727.59,4722.54,4731.59,4731.59,2026-04-13 18:30:00,TP,4.01,FIXED,SSL,False
VAR1,2026-04-13 19:30:00+00:00,SELL,4743.67,4748.58,4730.85,4748.58,2026-04-13 22:05:00,SL,-4.91,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 20:30:00+00:00,SELL,4739.62,4741.85,4739.12,4739.12,2026-04-13 20:35:00,TP,0.51,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 20:55:00+00:00,SELL,4740.34,4742.87,4739.12,4742.87,2026-04-13 22:00:00,SL,-2.53,DYNAMIC_POOL,BSL,False
VAR1,2026-04-13 22:45:00+00:00,SELL,4751.11,4754.3,4745.84,4754.3,2026-04-13 22:50:00,SL,-3.19,DYNAMIC_POOL,BSL,False
VAR1,2026-04-14 00:25:00+00:00,SELL,4762.53,4768.55,4754.54,4768.55,2026-04-14 00:35:00,SL,-6.02,DYNAMIC_POOL,BSL,False
VAR1,2026-04-14 01:55:00+00:00,BUY,4765.06,4760.79,4776.07,4776.07,2026-04-14 02:45:00,TP,11.01,DYNAMIC_POOL,SSL,False
VAR1,2026-04-14 02:00:00+00:00,BUY,4765.94,4761.97,4774.02,4774.02,2026-04-14 02:45:00,TP,8.08,DYNAMIC_POOL,SSL,False
VAR1,2026-04-14 02:30:00+00:00,BUY,4767.44,4761.15,4772.7,4772.7,2026-04-14 02:40:00,TP,5.26,DYNAMIC_POOL,SSL,False
VAR1,2026-04-14 07:25:00+00:00,BUY,4772.81,4766.85,4776.06,4776.06,2026-04-14 07:35:00,TP,3.26,DYNAMIC_POOL,SSL,False
VAR1,2026-04-14 08:10:00+00:00,SELL,4780.38,4784.08,4773.95,4784.08,2026-04-14 08:25:00,SL,-3.7,DYNAMIC_POOL,BSL,False
VAR1,2026-04-14 08:15:00+00:00,SELL,4779.83,4781.9,4773.95,4781.9,2026-04-14 08:25:00,SL,-2.07,DYNAMIC_POOL,BSL,False
VAR1,2026-04-14 11:55:00+00:00,BUY,4774.94,4769.57,4783.16,4769.57,2026-04-14 12:10:00,SL,-5.37,DYNAMIC_POOL,SSL,False
VAR1,2026-04-14 16:25:00+00:00,SELL,4816.41,4820.34,4805.26,4820.34,2026-04-14 16:30:00,SL,-3.93,DYNAMIC_POOL,BSL,False
VAR1,2026-04-14 16:30:00+00:00,SELL,4815.85,4821.34,4805.26,4821.34,2026-04-14 17:05:00,SL,-5.49,DYNAMIC_POOL,BSL,False
VAR1,2026-04-14 16:50:00+00:00,SELL,4813.77,4820.02,4805.26,4820.02,2026-04-14 17:05:00,SL,-6.26,DYNAMIC_POOL,BSL,False
VAR1,2026-04-14 18:20:00+00:00,BUY,4835.43,4832.36,4841.7,4832.36,2026-04-14 18:50:00,SL,-3.07,DYNAMIC_POOL,SSL,False
VAR1,2026-04-14 18:50:00+00:00,BUY,4834.23,4829.9,4841.7,4841.7,2026-04-14 19:05:00,TP,7.47,DYNAMIC_POOL,SSL,False
VAR1,2026-04-14 19:20:00+00:00,SELL,4839.94,4843.01,4834.38,4843.01,2026-04-14 19:30:00,SL,-3.07,DYNAMIC_POOL,BSL,False
VAR1,2026-04-14 19:30:00+00:00,SELL,4839.93,4844.73,4834.38,4844.73,2026-04-14 19:55:00,SL,-4.8,DYNAMIC_POOL,BSL,False
VAR1,2026-04-14 22:30:00+00:00,SELL,4838.94,4844.3,4834.94,4834.94,2026-04-14 22:50:00,TP,4.0,FIXED,BSL,True
VAR1,2026-04-14 23:05:00+00:00,SELL,4839.55,4845.31,4835.98,4835.98,2026-04-14 23:10:00,TP,3.57,DYNAMIC_POOL,BSL,True
VAR1,2026-04-14 23:35:00+00:00,BUY,4842.59,4837.49,4844.31,4837.49,2026-04-14 23:55:00,SL,-5.1,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 00:00:00+00:00,BUY,4838.4,4832.0,4844.16,4832.0,2026-04-15 00:10:00,SL,-6.4,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 00:10:00+00:00,BUY,4833.94,4830.67,4844.16,4830.67,2026-04-15 00:15:00,SL,-3.27,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 00:25:00+00:00,BUY,4833.78,4827.62,4844.16,4827.62,2026-04-15 00:35:00,SL,-6.16,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 01:00:00+00:00,SELL,4834.43,4839.06,4833.19,4839.06,2026-04-15 01:05:00,SL,-4.63,DYNAMIC_POOL,BSL,False
VAR1,2026-04-15 01:40:00+00:00,SELL,4843.62,4852.55,4835.02,4852.55,2026-04-15 02:05:00,SL,-8.93,DYNAMIC_POOL,BSL,False
VAR1,2026-04-15 02:35:00+00:00,BUY,4829.47,4820.62,4836.51,4820.62,2026-04-15 03:00:00,SL,-8.85,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 02:40:00+00:00,BUY,4828.42,4824.72,4836.51,4824.72,2026-04-15 02:50:00,SL,-3.7,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 02:45:00+00:00,BUY,4827.73,4824.26,4836.51,4824.26,2026-04-15 02:50:00,SL,-3.47,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 02:55:00+00:00,BUY,4824.01,4819.72,4836.51,4819.72,2026-04-15 03:00:00,SL,-4.28,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 05:00:00+00:00,SELL,4825.1,4829.74,4821.53,4829.74,2026-04-15 05:15:00,SL,-4.64,DYNAMIC_POOL,BSL,False
VAR1,2026-04-15 05:25:00+00:00,SELL,4826.36,4829.91,4822.8,4822.8,2026-04-15 05:30:00,TP,3.56,DYNAMIC_POOL,BSL,False
VAR1,2026-04-15 05:30:00+00:00,SELL,4827.19,4829.1,4822.8,4822.8,2026-04-15 05:35:00,TP,4.39,DYNAMIC_POOL,BSL,False
VAR1,2026-04-15 06:30:00+00:00,BUY,4814.15,4810.44,4825.04,4810.44,2026-04-15 07:00:00,SL,-3.71,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 07:30:00+00:00,BUY,4811.7,4807.61,4816.94,4807.61,2026-04-15 07:45:00,SL,-4.09,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 08:25:00+00:00,BUY,4809.93,4804.85,4815.87,4815.87,2026-04-15 08:55:00,TP,5.94,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 08:30:00+00:00,BUY,4809.56,4804.56,4815.87,4815.87,2026-04-15 08:55:00,TP,6.31,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 09:10:00+00:00,BUY,4805.03,4791.82,4814.35,4791.82,2026-04-15 09:45:00,SL,-13.21,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 09:15:00+00:00,BUY,4806.26,4800.49,4814.35,4800.49,2026-04-15 09:25:00,SL,-5.77,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 09:45:00+00:00,BUY,4795.27,4785.08,4799.27,4799.27,2026-04-15 09:55:00,TP,4.0,FIXED,SSL,False
VAR1,2026-04-15 10:20:00+00:00,BUY,4794.3,4791.02,4798.3,4791.02,2026-04-15 10:25:00,SL,-3.28,FIXED,SSL,False
VAR1,2026-04-15 10:25:00+00:00,BUY,4795.1,4789.1,4803.38,4803.38,2026-04-15 10:45:00,TP,8.28,DYNAMIC_POOL,SSL,False
VAR1,2026-04-15 10:45:00+00:00,SELL,4800.95,4806.27,4792.82,4806.27,2026-04-15 11:20:00,SL,-5.32,DYNAMIC_POOL,BSL,False
VAR1,2026-04-15 11:30:00+00:00,SELL,4803.3,4809.96,4795.57,4809.96,2026-04-15 11:45:00,SL,-6.66,DYNAMIC_POOL,BSL,False
VAR1,2026-04-15 11:35:00+00:00,SELL,4804.22,4807.66,4795.57,4807.66,2026-04-15 11:45:00,SL,-3.44,DYNAMIC_POOL,BSL,False
VAR1,2026-04-15 12:15:00+00:00,SELL,4814.26,4817.37,4810.26,4810.26,2026-04-15 12:20:00,TP,4.0,FIXED,BSL,False
VAR1,2026-04-15 12:25:00+00:00,SELL,4813.05,4816.43,4807.02,4816.43,2026-04-15 13:00:00,SL,-3.39,DYNAMIC_POOL,BSL,False
VAR1,2026-04-15 12:30:00+00:00,SELL,4813.77,4817.21,4807.02,4817.21,2026-04-15 13:20:00,SL,-3.44,DYNAMIC_POOL,BSL,False
