variation,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_points,tp_mode,pool_type,is_equal_pool
VAR2-EQ,2026-04-13 11:50:00+00:00,BUY,4708.47,4702.38,4715.34,4715.34,2026-04-13 12:08:00,TP,6.88,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-13 12:04:00+00:00,BUY,4709.47,4702.9,4715.34,4715.34,2026-04-13 12:08:00,TP,5.88,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-13 12:29:00+00:00,BUY,4710.62,4702.94,4715.34,4715.34,2026-04-13 12:33:00,TP,4.72,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-14 07:32:00+00:00,SELL,4773.4,4788.2,4768.53,4788.2,2026-04-14 08:32:00,SL,-14.8,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-04-14 07:51:00+00:00,SELL,4777.26,4779.53,4775.78,4775.78,2026-04-14 07:52:00,TP,1.48,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-04-14 07:57:00+00:00,SELL,4776.97,4780.74,4775.78,4775.78,2026-04-14 08:00:00,TP,1.19,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-04-17 00:20:00+00:00,BUY,4791.5,4786.79,4792.22,4792.22,2026-04-17 00:27:00,TP,0.72,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-17 00:32:00+00:00,BUY,4797.61,4788.52,4797.94,4797.94,2026-04-17 00:43:00,TP,0.33,DYNAMIC_POOL,SSL,True
VAR2-EQ,2026-04-17 00:53:00+00:00,SELL,4795.89,4800.27,4793.48,4793.48,2026-04-17 01:01:00,TP,2.41,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-04-17 02:04:00+00:00,BUY,4791.98,4787.6,4793.48,4793.48,2026-04-17 02:07:00,TP,1.5,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-17 02:21:00+00:00,BUY,4789.77,4787.4,4793.48,4793.48,2026-04-17 02:37:00,TP,3.71,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-17 03:18:00+00:00,SELL,4796.62,4799.4,4783.25,4799.4,2026-04-17 04:39:00,SL,-2.78,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-04-17 05:45:00+00:00,SELL,4796.89,4802.1,4783.25,4783.25,2026-04-17 06:30:00,TP,13.64,DYNAMIC_FVG,BSL,True
VAR2-EQ,2026-04-20 23:47:00+00:00,BUY,4821.23,4819.17,4824.57,4824.57,2026-04-21 00:00:00,TP,3.34,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-20 23:58:00+00:00,BUY,4820.77,4818.96,4824.57,4824.57,2026-04-21 00:00:00,TP,3.8,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-21 00:42:00+00:00,BUY,4824.39,4818.61,4824.57,4824.57,2026-04-21 00:47:00,TP,0.18,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-22 10:17:00+00:00,BUY,4752.48,4747.44,4757.56,4757.56,2026-04-22 10:34:00,TP,5.08,DYNAMIC_FVG,SSL,True
VAR2-EQ,2026-04-22 10:38:00+00:00,BUY,4757.47,4749.11,4757.56,4757.56,2026-04-22 10:39:00,TP,0.09,DYNAMIC_FVG,SSL,True
