entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_dollars,is_equal,session_date
2026-04-13 07:34:00+00:00,SELL,4731.66,4732.66,4730.16,4730.16,2026-04-13 07:35:00,TP,1.5,False,2026-04-13
2026-04-13 07:35:00+00:00,SELL,4731.3,4732.3,4729.8,4729.8,2026-04-13 07:36:00,TP,1.5,False,2026-04-13
2026-04-13 07:56:00+00:00,SELL,4731.68,4732.68,4730.18,4732.68,2026-04-13 07:57:00,SL,-1.0,False,2026-04-13
2026-04-13 08:15:00+00:00,SELL,4732.24,4733.24,4730.51,4730.51,2026-04-13 08:18:00,TP,1.73,False,2026-04-13
2026-04-13 08:22:00+00:00,BUY,4732.66,4731.66,4734.16,4734.16,2026-04-13 08:24:00,TP,1.5,False,2026-04-13
2026-04-13 08:23:00+00:00,BUY,4732.6,4731.6,4734.1,4734.1,2026-04-13 08:24:00,TP,1.5,False,2026-04-13
2026-04-13 08:25:00+00:00,SELL,4733.04,4734.04,4730.51,4734.04,2026-04-13 08:31:00,SL,-1.0,False,2026-04-13
2026-04-13 08:26:00+00:00,BUY,4733.06,4732.06,4736.05,4732.06,2026-04-13 08:30:00,SL,-1.0,False,2026-04-13
2026-04-13 08:27:00+00:00,BUY,4732.66,4731.66,4734.48,4731.66,2026-04-13 08:30:00,SL,-1.0,False,2026-04-13
2026-04-13 08:28:00+00:00,SELL,4732.65,4733.65,4730.51,4733.65,2026-04-13 08:31:00,SL,-1.0,False,2026-04-13
2026-04-13 08:34:00+00:00,BUY,4732.84,4731.84,4734.48,4734.48,2026-04-13 08:35:00,TP,1.64,True,2026-04-13
2026-04-13 08:39:00+00:00,BUY,4729.91,4728.91,4731.41,4728.91,2026-04-13 08:40:00,SL,-1.0,False,2026-04-13
2026-04-13 09:00:00+00:00,SELL,4724.15,4725.15,4722.65,4725.15,2026-04-13 09:01:00,SL,-1.0,False,2026-04-13
2026-04-13 09:04:00+00:00,SELL,4727.21,4728.21,4725.71,4725.71,2026-04-13 09:06:00,TP,1.5,True,2026-04-13
2026-04-13 09:20:00+00:00,SELL,4719.16,4720.16,4716.72,4720.16,2026-04-13 09:23:00,SL,-1.0,False,2026-04-13
2026-04-13 09:52:00+00:00,SELL,4715.98,4716.98,4714.48,4714.48,2026-04-13 09:54:00,TP,1.5,True,2026-04-13
2026-04-13 09:53:00+00:00,SELL,4716.02,4717.02,4714.52,4714.52,2026-04-13 09:54:00,TP,1.5,True,2026-04-13
2026-04-13 09:54:00+00:00,SELL,4715.51,4716.51,4712.64,4716.51,2026-04-13 09:55:00,SL,-1.0,True,2026-04-13
2026-04-13 10:05:00+00:00,BUY,4714.91,4713.91,4716.27,4716.27,2026-04-13 10:09:00,TP,1.36,True,2026-04-13
2026-04-13 10:06:00+00:00,BUY,4714.89,4713.89,4716.27,4716.27,2026-04-13 10:09:00,TP,1.38,True,2026-04-13
2026-04-13 10:07:00+00:00,BUY,4714.98,4713.98,4716.27,4716.27,2026-04-13 10:09:00,TP,1.29,True,2026-04-13
2026-04-13 10:14:00+00:00,SELL,4718.05,4719.05,4716.55,4716.55,2026-04-13 10:15:00,TP,1.5,False,2026-04-13
2026-04-13 10:32:00+00:00,BUY,4712.88,4711.88,4714.74,4714.74,2026-04-13 10:34:00,TP,1.86,False,2026-04-13
2026-04-13 10:42:00+00:00,BUY,4715.59,4714.59,4717.3,4717.3,2026-04-13 10:44:00,TP,1.71,True,2026-04-13
2026-04-13 10:56:00+00:00,BUY,4720.72,4719.72,4722.22,4722.22,2026-04-13 10:59:00,TP,1.5,False,2026-04-13
2026-04-13 10:57:00+00:00,BUY,4721.06,4720.06,4722.56,4722.56,2026-04-13 11:00:00,TP,1.5,False,2026-04-13
2026-04-13 11:16:00+00:00,BUY,4721.23,4720.23,4724.19,4720.23,2026-04-13 11:19:00,SL,-1.0,False,2026-04-13
2026-04-13 11:21:00+00:00,SELL,4721.72,4722.72,4720.35,4722.72,2026-04-13 11:23:00,SL,-1.0,False,2026-04-13
2026-04-13 11:22:00+00:00,SELL,4722.1,4723.1,4720.35,4723.1,2026-04-13 11:23:00,SL,-1.0,False,2026-04-13
2026-04-13 11:25:00+00:00,BUY,4720.44,4719.44,4722.31,4719.44,2026-04-13 11:26:00,SL,-1.0,True,2026-04-13
2026-04-13 11:27:00+00:00,BUY,4719.36,4718.36,4722.31,4722.31,2026-04-13 11:30:00,TP,2.95,False,2026-04-13
2026-04-13 11:28:00+00:00,BUY,4720.01,4719.01,4722.31,4722.31,2026-04-13 11:30:00,TP,2.3,False,2026-04-13
2026-04-13 11:32:00+00:00,BUY,4720.44,4719.44,4722.31,4719.44,2026-04-13 11:35:00,SL,-1.0,True,2026-04-13
2026-04-13 11:34:00+00:00,BUY,4720.15,4719.15,4722.31,4719.15,2026-04-13 11:35:00,SL,-1.0,True,2026-04-13
2026-04-13 11:53:00+00:00,SELL,4709.93,4710.93,4708.43,4708.43,2026-04-13 11:54:00,TP,1.5,False,2026-04-13
2026-04-13 12:28:00+00:00,SELL,4710.56,4711.56,4709.06,4709.06,2026-04-13 12:29:00,TP,1.5,True,2026-04-13
2026-04-13 12:31:00+00:00,SELL,4712.44,4713.44,4710.94,4713.44,2026-04-13 12:32:00,SL,-1.0,False,2026-04-13
2026-04-13 12:39:00+00:00,SELL,4711.56,4712.56,4710.06,4712.56,2026-04-13 12:40:00,SL,-1.0,False,2026-04-13
2026-04-13 12:40:00+00:00,SELL,4711.72,4712.72,4710.22,4712.72,2026-04-13 12:42:00,SL,-1.0,False,2026-04-13
2026-04-13 12:41:00+00:00,SELL,4711.6,4712.6,4708.98,4712.6,2026-04-13 12:42:00,SL,-1.0,False,2026-04-13
2026-04-13 13:45:00+00:00,BUY,4727.64,4726.64,4729.14,4726.64,2026-04-13 13:47:00,SL,-1.0,False,2026-04-13
2026-04-13 13:50:00+00:00,SELL,4736.85,4737.85,4735.35,4735.35,2026-04-13 13:51:00,TP,1.5,True,2026-04-13
2026-04-13 13:53:00+00:00,BUY,4725.3,4724.3,4726.8,4726.8,2026-04-13 13:54:00,TP,1.5,False,2026-04-13
2026-04-13 14:00:00+00:00,SELL,4730.57,4731.57,4729.07,4729.07,2026-04-13 14:01:00,TP,1.5,False,2026-04-13
2026-04-13 14:06:00+00:00,BUY,4724.43,4723.43,4725.93,4725.93,2026-04-13 14:07:00,TP,1.5,True,2026-04-13
2026-04-13 14:07:00+00:00,BUY,4724.72,4723.72,4726.22,4723.72,2026-04-13 14:08:00,SL,-1.0,False,2026-04-13
2026-04-13 14:45:00+00:00,SELL,4721.4,4722.4,4719.9,4722.4,2026-04-13 14:46:00,SL,-1.0,True,2026-04-13
2026-04-13 15:15:00+00:00,SELL,4708.48,4709.48,4706.98,4706.98,2026-04-13 15:16:00,TP,1.5,False,2026-04-13
2026-04-13 15:18:00+00:00,SELL,4709.98,4710.98,4708.48,4710.98,2026-04-13 15:19:00,SL,-1.0,True,2026-04-13
2026-04-13 15:32:00+00:00,SELL,4705.73,4706.73,4703.19,4706.73,2026-04-13 15:33:00,SL,-1.0,False,2026-04-13
2026-04-14 07:31:00+00:00,SELL,4773.66,4774.66,4772.16,4774.66,2026-04-14 07:33:00,SL,-1.0,False,2026-04-14
2026-04-14 07:33:00+00:00,SELL,4774.36,4775.36,4772.86,4772.86,2026-04-14 07:34:00,TP,1.5,True,2026-04-14
2026-04-14 07:43:00+00:00,SELL,4775.74,4776.74,4774.24,4776.74,2026-04-14 07:44:00,SL,-1.0,False,2026-04-14
2026-04-14 07:46:00+00:00,SELL,4779.7,4780.7,4778.2,4778.2,2026-04-14 07:48:00,TP,1.5,False,2026-04-14
2026-04-14 07:47:00+00:00,SELL,4779.47,4780.47,4777.97,4777.97,2026-04-14 07:48:00,TP,1.5,False,2026-04-14
2026-04-14 08:03:00+00:00,SELL,4775.18,4776.18,4773.95,4776.18,2026-04-14 08:04:00,SL,-1.0,False,2026-04-14
2026-04-14 08:11:00+00:00,SELL,4779.84,4780.84,4778.34,4780.84,2026-04-14 08:12:00,SL,-1.0,True,2026-04-14
2026-04-14 08:12:00+00:00,SELL,4780.39,4781.39,4778.89,4778.89,2026-04-14 08:13:00,TP,1.5,False,2026-04-14
2026-04-14 08:16:00+00:00,SELL,4779.31,4780.31,4778.01,4778.01,2026-04-14 08:17:00,TP,1.3,True,2026-04-14
2026-04-14 08:20:00+00:00,SELL,4779.93,4780.93,4778.01,4778.01,2026-04-14 08:21:00,TP,1.92,True,2026-04-14
2026-04-14 09:07:00+00:00,BUY,4782.24,4781.24,4784.44,4784.44,2026-04-14 09:09:00,TP,2.2,True,2026-04-14
2026-04-14 09:12:00+00:00,SELL,4785.02,4786.02,4782.81,4786.02,2026-04-14 09:15:00,SL,-1.0,False,2026-04-14
2026-04-14 09:19:00+00:00,SELL,4785.28,4786.28,4783.86,4786.28,2026-04-14 09:20:00,SL,-1.0,False,2026-04-14
2026-04-14 09:20:00+00:00,SELL,4786.22,4787.22,4784.45,4787.22,2026-04-14 09:21:00,SL,-1.0,False,2026-04-14
2026-04-14 09:27:00+00:00,SELL,4785.1,4786.1,4783.86,4783.86,2026-04-14 09:28:00,TP,1.24,False,2026-04-14
2026-04-14 09:53:00+00:00,SELL,4777.11,4778.11,4775.9,4778.11,2026-04-14 09:54:00,SL,-1.0,False,2026-04-14
2026-04-14 09:54:00+00:00,SELL,4777.47,4778.47,4775.9,4778.47,2026-04-14 09:55:00,SL,-1.0,False,2026-04-14
2026-04-14 10:03:00+00:00,SELL,4779.27,4780.27,4777.65,4780.27,2026-04-14 10:04:00,SL,-1.0,False,2026-04-14
2026-04-14 10:06:00+00:00,SELL,4781.31,4782.31,4778.59,4782.31,2026-04-14 10:07:00,SL,-1.0,True,2026-04-14
2026-04-14 10:07:00+00:00,SELL,4782.19,4783.19,4780.69,4783.19,2026-04-14 10:08:00,SL,-1.0,True,2026-04-14
2026-04-14 10:29:00+00:00,SELL,4783.97,4784.97,4782.47,4782.47,2026-04-14 10:33:00,TP,1.5,False,2026-04-14
2026-04-14 11:19:00+00:00,SELL,4777.02,4778.02,4775.11,4778.02,2026-04-14 11:20:00,SL,-1.0,False,2026-04-14
2026-04-14 11:44:00+00:00,SELL,4778.2,4779.2,4776.62,4776.62,2026-04-14 11:48:00,TP,1.58,False,2026-04-14
2026-04-14 11:51:00+00:00,BUY,4773.58,4772.58,4775.08,4772.58,2026-04-14 11:52:00,SL,-1.0,False,2026-04-14
2026-04-14 11:54:00+00:00,BUY,4773.63,4772.63,4775.13,4772.63,2026-04-14 11:55:00,SL,-1.0,False,2026-04-14
2026-04-14 12:08:00+00:00,BUY,4777.42,4776.42,4779.97,4776.42,2026-04-14 12:09:00,SL,-1.0,False,2026-04-14
2026-04-14 12:19:00+00:00,BUY,4770.92,4769.92,4772.83,4769.92,2026-04-14 12:20:00,SL,-1.0,True,2026-04-14
2026-04-14 12:30:00+00:00,SELL,4769.94,4770.94,4768.44,4770.94,2026-04-14 12:31:00,SL,-1.0,False,2026-04-14
