arm,side,n,wr,pf,pts,avg_pts,avgR
crt_H1_UTC_nofilt,BUY,1588,45.5,0.752,-1361.3,-0.857,-0.134
crt_H1_UTC_nofilt,SELL,1562,44.5,0.695,-1594.7,-1.021,-0.147
crt_H1_UTC_bias,BUY,993,45.0,0.698,-988.9,-0.996,-0.138
crt_H1_UTC_bias,SELL,598,46.5,0.786,-457.1,-0.764,-0.103
crt_H4_UTC_nofilt,BUY,369,50.4,1.022,49.4,0.134,-0.063
crt_H4_UTC_nofilt,SELL,389,42.2,0.621,-1032.4,-2.654,-0.144
crt_H4_UTC_bias,BUY,286,52.4,1.154,241.9,0.846,-0.06
crt_H4_UTC_bias,SELL,85,40.0,0.501,-400.9,-4.717,-0.213
crt_H4_NY_nofilt,BUY,356,48.6,0.893,-258.0,-0.725,-0.054
crt_H4_NY_nofilt,SELL,338,45.6,0.794,-468.4,-1.386,-0.085
crt_H4_NY_bias,BUY,273,50.2,0.975,-41.0,-0.15,-0.038
crt_H4_NY_bias,SELL,71,42.3,0.721,-175.9,-2.478,-0.071
