arm,c3_slot,n,wr,pf,pts,avg_pts,avgR
crt_H1_UTC_nofilt,0,96,40.6,0.45,-212.4,-2.213,-0.286
crt_H1_UTC_nofilt,1,130,47.7,0.955,-22.2,-0.17,-0.132
crt_H1_UTC_nofilt,2,115,47.0,0.619,-163.1,-1.418,-0.172
crt_H1_UTC_nofilt,3,157,43.3,0.67,-160.8,-1.024,-0.105
crt_H1_UTC_nofilt,4,147,42.2,0.53,-180.3,-1.227,-0.164
crt_H1_UTC_nofilt,5,145,49.7,0.766,-110.4,-0.761,-0.098
crt_H1_UTC_nofilt,6,128,51.6,0.698,-108.6,-0.849,-0.125
crt_H1_UTC_nofilt,7,154,51.9,1.403,165.7,1.076,-0.056
crt_H1_UTC_nofilt,8,169,40.8,0.565,-281.2,-1.664,-0.202
crt_H1_UTC_nofilt,9,159,40.3,0.72,-128.8,-0.81,-0.176
crt_H1_UTC_nofilt,10,152,45.4,0.753,-113.5,-0.747,-0.122
crt_H1_UTC_nofilt,11,154,42.2,0.545,-227.5,-1.477,-0.206
crt_H1_UTC_nofilt,12,150,53.3,0.973,-11.9,-0.079,-0.06
crt_H1_UTC_nofilt,13,151,46.4,0.472,-402.8,-2.668,-0.253
crt_H1_UTC_nofilt,14,150,48.7,0.734,-186.0,-1.24,-0.09
crt_H1_UTC_nofilt,15,169,51.5,0.99,-7.1,-0.042,-0.004
crt_H1_UTC_nofilt,16,160,40.6,0.634,-251.1,-1.569,-0.171
crt_H1_UTC_nofilt,17,157,42.7,0.646,-182.4,-1.162,-0.067
crt_H1_UTC_nofilt,18,162,39.5,0.636,-169.9,-1.049,-0.147
crt_H1_UTC_nofilt,19,161,42.9,0.818,-83.9,-0.521,-0.219
crt_H1_UTC_nofilt,20,141,39.0,0.725,-103.4,-0.733,-0.157
crt_H1_UTC_nofilt,21,43,41.9,0.88,-14.5,-0.337,-0.145
crt_H1_UTC_bias,0,41,36.6,0.349,-131.4,-3.205,-0.262
crt_H1_UTC_bias,1,60,45.0,1.091,20.6,0.344,-0.074
crt_H1_UTC_bias,2,61,45.9,0.777,-45.2,-0.741,-0.112
crt_H1_UTC_bias,3,77,42.9,0.564,-107.3,-1.393,-0.092
crt_H1_UTC_bias,4,74,44.6,0.558,-84.5,-1.142,-0.092
crt_H1_UTC_bias,5,74,37.8,0.474,-187.7,-2.537,-0.304
crt_H1_UTC_bias,6,66,53.0,0.677,-61.3,-0.928,-0.086
crt_H1_UTC_bias,7,76,53.9,2.046,204.2,2.687,-0.022
crt_H1_UTC_bias,8,93,38.7,0.452,-204.1,-2.195,-0.227
crt_H1_UTC_bias,9,85,42.4,0.767,-53.3,-0.628,-0.14
crt_H1_UTC_bias,10,76,48.7,0.737,-57.7,-0.759,-0.114
crt_H1_UTC_bias,11,79,40.5,0.605,-97.9,-1.24,-0.161
crt_H1_UTC_bias,12,84,52.4,0.846,-39.1,-0.465,-0.087
crt_H1_UTC_bias,13,72,47.2,0.365,-243.6,-3.383,-0.325
crt_H1_UTC_bias,14,80,47.5,0.661,-122.6,-1.532,-0.128
crt_H1_UTC_bias,15,96,55.2,1.253,81.5,0.849,0.027
crt_H1_UTC_bias,16,78,44.9,0.649,-118.0,-1.513,-0.04
crt_H1_UTC_bias,17,70,47.1,0.534,-115.0,-1.643,-0.023
crt_H1_UTC_bias,18,79,45.6,0.716,-61.5,-0.778,-0.146
crt_H1_UTC_bias,19,85,43.5,0.98,-4.0,-0.047,-0.199
crt_H1_UTC_bias,20,65,40.0,0.824,-27.1,-0.417,-0.069
crt_H1_UTC_bias,21,20,40.0,1.18,9.0,0.448,-0.152
crt_H4_UTC_nofilt,0,74,48.6,1.038,16.7,0.226,-0.072
crt_H4_UTC_nofilt,4,77,55.8,0.657,-181.0,-2.351,-0.07
crt_H4_UTC_nofilt,8,167,38.3,0.84,-173.6,-1.039,-0.169
crt_H4_UTC_nofilt,12,182,47.3,0.723,-417.2,-2.293,-0.074
crt_H4_UTC_nofilt,16,130,46.9,0.71,-265.9,-2.046,-0.105
crt_H4_UTC_nofilt,20,128,46.9,1.074,38.0,0.297,-0.104
crt_H4_UTC_bias,0,33,42.4,0.928,-15.4,-0.466,-0.262
crt_H4_UTC_bias,4,43,55.8,0.504,-178.7,-4.155,-0.17
crt_H4_UTC_bias,8,81,39.5,0.805,-102.9,-1.271,-0.194
crt_H4_UTC_bias,12,95,52.6,0.849,-116.3,-1.224,-0.027
crt_H4_UTC_bias,16,61,57.4,1.348,103.5,1.696,0.023
crt_H4_UTC_bias,20,58,50.0,1.742,150.8,2.599,-0.04
crt_H4_NY_nofilt,1,116,44.8,0.8,-162.4,-1.4,-0.069
crt_H4_NY_nofilt,5,160,48.1,0.77,-216.3,-1.352,-0.089
crt_H4_NY_nofilt,9,169,48.5,0.769,-322.7,-1.91,-0.068
crt_H4_NY_nofilt,13,145,41.4,0.761,-223.1,-1.539,-0.093
crt_H4_NY_nofilt,21,104,53.8,1.335,198.0,1.904,-0.007
crt_H4_NY_bias,1,59,37.3,0.729,-123.7,-2.096,-0.108
crt_H4_NY_bias,5,80,50.0,0.782,-103.5,-1.294,-0.102
crt_H4_NY_bias,9,90,55.6,0.905,-64.1,-0.712,0.042
crt_H4_NY_bias,13,72,40.3,0.759,-109.6,-1.522,-0.132
crt_H4_NY_bias,21,43,60.5,1.864,184.0,4.278,0.111
