arm,year,n,wr,pf,pts,avg_pts,avgR
crt_H1_UTC_nofilt,2024,500,39.6,0.48,-472.8,-0.946,-0.273
crt_H1_UTC_nofilt,2025,1534,44.5,0.651,-1477.2,-0.963,-0.16
crt_H1_UTC_nofilt,2026,1116,48.2,0.819,-1005.9,-0.901,-0.054
crt_H1_UTC_bias,2024,266,40.2,0.514,-220.6,-0.829,-0.225
crt_H1_UTC_bias,2025,763,45.7,0.72,-557.6,-0.731,-0.139
crt_H1_UTC_bias,2026,562,47.9,0.774,-667.7,-1.188,-0.059
crt_H4_UTC_nofilt,2024,133,42.9,0.594,-154.9,-1.165,-0.172
crt_H4_UTC_nofilt,2025,378,47.9,0.865,-264.8,-0.7,-0.07
crt_H4_UTC_nofilt,2026,247,45.3,0.787,-563.4,-2.281,-0.121
crt_H4_UTC_bias,2024,71,49.3,0.75,-51.4,-0.723,-0.108
crt_H4_UTC_bias,2025,177,49.7,0.908,-82.7,-0.467,-0.081
crt_H4_UTC_bias,2026,123,49.6,0.98,-25.0,-0.204,-0.108
crt_H4_NY_nofilt,2024,93,51.6,0.909,-25.9,-0.279,0.059
crt_H4_NY_nofilt,2025,352,46.0,0.773,-433.7,-1.232,-0.104
crt_H4_NY_nofilt,2026,249,47.0,0.892,-266.8,-1.071,-0.067
crt_H4_NY_bias,2024,48,58.3,1.201,25.4,0.53,0.228
crt_H4_NY_bias,2025,178,45.5,0.801,-192.0,-1.079,-0.138
crt_H4_NY_bias,2026,118,49.2,0.958,-50.3,-0.427,-0.017
