grid,cost,split,n_real,real_pf,real_pts,real_wr,ctl_n_per_rep,ctl_pf_mean,ctl_pf_p5,ctl_pf_p95,ctl_pts_mean,ctl_wr_mean,share_ctl_pf_ge_real,share_ctl_pts_ge_real
H1_UTC,0.45,TRAIN,1911,0.612,-1837.2,43.0,1911,0.617,0.554,0.665,-1856.9,42.9,0.55,0.5
H1_UTC,0.45,TEST,1239,0.813,-1118.8,48.1,1239,0.754,0.635,0.814,-1554.8,46.7,0.1,0.05
H1_UTC,0.45,ALL,3150,0.724,-2956.0,45.0,3150,0.694,0.624,0.73,-3411.7,44.4,0.2,0.15
H1_UTC,0.8,TRAIN,1911,0.511,-2506.1,39.8,1911,0.518,0.465,0.558,-2525.8,39.8,0.65,0.5
H1_UTC,0.8,TEST,1239,0.749,-1552.4,47.1,1239,0.696,0.584,0.752,-1988.4,45.5,0.1,0.05
H1_UTC,0.8,ALL,3150,0.642,-4058.5,42.6,3150,0.616,0.552,0.648,-4514.2,42.0,0.2,0.15
H4_UTC,0.45,TRAIN,481,0.828,-368.2,46.6,481,0.753,0.663,0.911,-543.4,45.9,0.1,0.1
H4_UTC,0.45,TEST,277,0.784,-614.8,45.5,277,0.889,0.745,1.082,-324.1,47.9,0.85,0.85
H4_UTC,0.45,ALL,758,0.803,-983.0,46.2,758,0.823,0.733,0.925,-867.5,46.6,0.65,0.6
H4_UTC,0.8,TRAIN,481,0.76,-536.6,45.1,481,0.688,0.605,0.833,-711.7,45.0,0.1,0.1
H4_UTC,0.8,TEST,277,0.754,-711.8,44.0,277,0.855,0.718,1.041,-421.0,47.0,0.85,0.85
H4_UTC,0.8,ALL,758,0.757,-1248.3,44.7,758,0.774,0.689,0.871,-1132.8,45.8,0.6,0.6
H4_NY,0.45,TRAIN,415,0.771,-463.2,46.7,415,0.8,0.689,0.932,-397.3,48.3,0.55,0.6
H4_NY,0.45,TEST,279,0.901,-263.2,47.7,279,0.856,0.671,1.005,-422.9,48.0,0.35,0.3
H4_NY,0.45,ALL,694,0.845,-726.4,47.1,694,0.83,0.696,0.96,-820.2,48.2,0.35,0.35
H4_NY,0.8,TRAIN,415,0.711,-608.5,44.8,415,0.736,0.634,0.856,-542.6,47.0,0.55,0.6
H4_NY,0.8,TEST,279,0.866,-360.8,47.3,279,0.824,0.644,0.967,-520.5,47.2,0.35,0.3
H4_NY,0.8,ALL,694,0.798,-969.3,45.8,694,0.784,0.656,0.905,-1063.1,47.1,0.35,0.35
