arm,cost,split,n,wr,pf,pts,avg_pts,avgR
crt_H1_UTC_nofilt,0.45,ALL,3150,45.0,0.724,-2956.0,-0.938,-0.141
crt_H1_UTC_nofilt,0.45,TRAIN,1911,43.0,0.612,-1837.2,-0.961,-0.195
crt_H1_UTC_nofilt,0.45,TEST,1239,48.1,0.813,-1118.8,-0.903,-0.058
crt_H1_UTC_nofilt,0.8,ALL,3150,42.6,0.642,-4058.5,-1.288,-0.199
crt_H1_UTC_nofilt,0.8,TRAIN,1911,39.8,0.511,-2506.1,-1.311,-0.269
crt_H1_UTC_nofilt,0.8,TEST,1239,47.1,0.749,-1552.4,-1.253,-0.09
crt_H1_UTC_bias,0.45,ALL,1591,45.6,0.732,-1445.9,-0.909,-0.125
crt_H1_UTC_bias,0.45,TRAIN,968,43.9,0.673,-746.7,-0.771,-0.165
crt_H1_UTC_bias,0.45,TEST,623,48.2,0.776,-699.2,-1.122,-0.064
crt_H1_UTC_bias,0.8,ALL,1591,43.5,0.649,-2002.8,-1.259,-0.181
crt_H1_UTC_bias,0.8,TRAIN,968,41.4,0.562,-1085.5,-1.121,-0.236
crt_H1_UTC_bias,0.8,TEST,623,46.7,0.716,-917.3,-1.472,-0.095
crt_H4_UTC_nofilt,0.45,ALL,758,46.2,0.803,-983.0,-1.297,-0.105
crt_H4_UTC_nofilt,0.45,TRAIN,481,46.6,0.828,-368.2,-0.766,-0.095
crt_H4_UTC_nofilt,0.45,TEST,277,45.5,0.784,-614.8,-2.22,-0.121
crt_H4_UTC_nofilt,0.8,ALL,758,44.7,0.757,-1248.3,-1.647,-0.134
crt_H4_UTC_nofilt,0.8,TRAIN,481,45.1,0.76,-536.6,-1.116,-0.132
crt_H4_UTC_nofilt,0.8,TEST,277,44.0,0.754,-711.8,-2.57,-0.137
crt_H4_UTC_bias,0.45,ALL,371,49.6,0.933,-159.1,-0.429,-0.095
crt_H4_UTC_bias,0.45,TRAIN,232,49.6,0.888,-111.6,-0.481,-0.09
crt_H4_UTC_bias,0.45,TEST,139,49.6,0.966,-47.5,-0.342,-0.103
crt_H4_UTC_bias,0.8,ALL,371,47.7,0.882,-288.9,-0.779,-0.122
crt_H4_UTC_bias,0.8,TRAIN,232,47.8,0.815,-192.8,-0.831,-0.125
crt_H4_UTC_bias,0.8,TEST,139,47.5,0.931,-96.2,-0.692,-0.118
crt_H4_NY_nofilt,0.45,ALL,694,47.1,0.845,-726.4,-1.047,-0.069
crt_H4_NY_nofilt,0.45,TRAIN,415,46.7,0.771,-463.2,-1.116,-0.08
crt_H4_NY_nofilt,0.45,TEST,279,47.7,0.901,-263.2,-0.943,-0.053
crt_H4_NY_nofilt,0.8,ALL,694,45.8,0.798,-969.3,-1.397,-0.097
crt_H4_NY_nofilt,0.8,TRAIN,415,44.8,0.711,-608.5,-1.466,-0.116
crt_H4_NY_nofilt,0.8,TEST,279,47.3,0.866,-360.8,-1.293,-0.068
crt_H4_NY_bias,0.45,ALL,344,48.5,0.905,-216.9,-0.631,-0.045
crt_H4_NY_bias,0.45,TRAIN,215,48.4,0.857,-144.0,-0.67,-0.064
crt_H4_NY_bias,0.45,TEST,129,48.8,0.942,-73.0,-0.566,-0.013
crt_H4_NY_bias,0.8,ALL,344,47.7,0.856,-337.3,-0.981,-0.072
crt_H4_NY_bias,0.8,TRAIN,215,47.0,0.791,-219.2,-1.02,-0.099
crt_H4_NY_bias,0.8,TEST,129,48.8,0.908,-118.1,-0.916,-0.028
