grid,wick_q,n,wick_frac_med,vault_delivered_pct,cushion_R_med,entry_beyond_target_pct,c2close_entry_c2open_TP_pct,moved_entry_c2open_TP_pct,moved_entry_TP_at_entry_pct,honest_dist_R_med,honest_TP_pct,honest_SL_pct,honest_wr_c045,honest_avgR_c045,honest_pf_c045
H1_UTC,Q1_small,630,0.236,51.3,0.206,54.1,71.0,69.0,54.8,1.771,23.5,36.5,40.5,-0.132,0.779
H1_UTC,Q2,630,0.376,51.3,0.059,52.9,79.8,77.6,55.4,1.396,20.8,36.5,43.7,-0.161,0.739
H1_UTC,Q3,630,0.48,50.6,0.061,52.4,83.3,81.3,55.2,1.004,27.1,27.5,45.6,-0.131,0.716
H1_UTC,Q4,630,0.591,49.5,-0.032,47.8,84.8,81.6,52.2,0.882,26.2,24.9,45.2,-0.157,0.609
H1_UTC,Q5_large,630,0.741,49.4,-0.012,46.8,90.5,88.3,55.7,0.654,31.9,19.2,50.2,-0.122,0.797
H4_UTC,Q1_small,152,0.246,52.6,0.251,55.3,70.4,69.7,56.6,1.838,21.7,40.1,38.2,-0.154,0.812
H4_UTC,Q2,151,0.399,52.3,0.02,50.3,80.1,78.8,53.6,1.419,25.2,31.1,49.7,-0.05,0.868
H4_UTC,Q3,152,0.511,45.4,-0.075,43.4,78.3,77.6,44.7,1.06,23.0,31.6,50.0,-0.112,0.805
H4_UTC,Q4,151,0.62,49.0,-0.02,48.3,83.4,80.8,49.7,0.774,30.5,29.8,46.4,-0.12,0.868
H4_UTC,Q5_large,152,0.769,46.7,0.002,50.0,93.4,90.8,59.9,0.62,34.9,17.8,46.7,-0.086,0.668
H4_NY,Q1_small,139,0.233,59.7,0.229,56.8,80.6,79.1,56.8,1.586,25.2,33.8,49.6,0.058,0.924
H4_NY,Q2,139,0.378,57.6,0.113,55.4,85.6,84.2,59.0,1.164,28.8,32.4,43.2,-0.063,0.884
H4_NY,Q3,138,0.478,50.0,0.104,56.5,88.4,86.2,56.5,0.994,31.2,33.3,48.6,-0.097,0.898
H4_NY,Q4,139,0.594,44.6,-0.067,43.2,82.0,80.6,46.0,0.86,30.9,27.3,42.4,-0.147,0.717
H4_NY,Q5_large,139,0.748,50.4,-0.006,48.9,93.5,91.4,55.4,0.69,34.5,23.7,51.8,-0.096,0.809
