fit,hour,spread_p50,entry,slip_per_stop,geom_<2,slip_<2,total_<2,geom_2-3,slip_2-3,total_2-3,geom_3-5,slip_3-5,total_3-5,geom_5-10,slip_5-10,total_5-10,geom_10+,slip_10+,total_10+
TRAIN,0,0.670,0.361,0.285,0.275,0.149,0.711,0.311,0.187,0.766,0.364,0.232,0.841,0.166,0.400,0.728,0.341,0.455,0.930
TRAIN,1,0.660,0.342,0.284,0.271,0.148,0.688,0.307,0.187,0.742,0.358,0.231,0.816,0.164,0.399,0.706,0.336,0.454,0.905
TRAIN,2,0.650,0.276,0.228,0.267,0.119,0.602,0.302,0.150,0.653,0.353,0.185,0.721,0.162,0.320,0.597,0.331,0.364,0.789
TRAIN,3,0.640,0.374,0.192,0.263,0.101,0.687,0.297,0.127,0.735,0.347,0.157,0.800,0.159,0.270,0.668,0.326,0.307,0.854
TRAIN,4,0.640,0.406,0.176,0.263,0.092,0.715,0.297,0.116,0.761,0.347,0.143,0.825,0.159,0.248,0.689,0.326,0.281,0.872
TRAIN,5,0.640,0.348,0.221,0.263,0.116,0.669,0.297,0.146,0.718,0.347,0.180,0.785,0.159,0.311,0.663,0.326,0.354,0.851
TRAIN,6,0.610,0.300,0.221,0.251,0.115,0.609,0.283,0.145,0.656,0.331,0.180,0.721,0.152,0.310,0.607,0.311,0.352,0.787
TRAIN,7,0.590,0.307,0.233,0.254,0.122,0.623,0.274,0.154,0.658,0.320,0.190,0.723,0.147,0.328,0.618,0.296,0.373,0.790
TRAIN,8,0.590,0.334,0.244,0.254,0.128,0.652,0.274,0.161,0.688,0.320,0.199,0.754,0.147,0.343,0.652,0.296,0.390,0.825
TRAIN,9,0.580,0.317,0.217,0.250,0.113,0.624,0.269,0.143,0.658,0.315,0.177,0.720,0.144,0.305,0.614,0.291,0.347,0.781
TRAIN,10,0.580,0.316,0.205,0.250,0.107,0.619,0.269,0.135,0.653,0.315,0.167,0.714,0.144,0.288,0.604,0.291,0.328,0.771
TRAIN,11,0.580,0.315,0.216,0.250,0.113,0.621,0.269,0.143,0.655,0.315,0.176,0.718,0.144,0.304,0.611,0.291,0.346,0.779
TRAIN,12,0.600,0.344,0.301,0.259,0.157,0.681,0.279,0.198,0.721,0.326,0.245,0.792,0.149,0.423,0.704,0.301,0.480,0.885
TRAIN,13,0.610,0.344,0.328,0.251,0.172,0.680,0.283,0.216,0.735,0.331,0.267,0.808,0.152,0.461,0.726,0.311,0.524,0.916
TRAIN,14,0.600,0.338,0.333,0.259,0.174,0.684,0.279,0.219,0.727,0.326,0.271,0.799,0.149,0.468,0.721,0.301,0.532,0.905
TRAIN,15,0.590,0.308,0.274,0.254,0.143,0.634,0.274,0.180,0.673,0.320,0.223,0.740,0.147,0.385,0.647,0.296,0.437,0.823
TRAIN,16,0.580,0.286,0.241,0.250,0.126,0.599,0.269,0.159,0.635,0.315,0.197,0.699,0.144,0.340,0.600,0.291,0.386,0.770
TRAIN,17,0.590,0.306,0.223,0.254,0.116,0.619,0.274,0.147,0.654,0.320,0.181,0.717,0.147,0.313,0.610,0.296,0.356,0.780
TRAIN,18,0.590,0.321,0.254,0.254,0.133,0.642,0.274,0.167,0.679,0.320,0.207,0.745,0.147,0.357,0.646,0.296,0.406,0.820
TRAIN,19,0.580,0.316,0.209,0.250,0.109,0.621,0.269,0.138,0.654,0.315,0.170,0.716,0.144,0.294,0.607,0.291,0.334,0.774
TRAIN,20,0.640,0.346,0.206,0.263,0.107,0.663,0.297,0.135,0.711,0.347,0.167,0.777,0.159,0.289,0.650,0.326,0.329,0.836
TRAIN,21,0.730,0.391,0.141,0.300,0.074,0.728,0.315,0.093,0.752,0.396,0.115,0.845,0.440,0.198,0.931,0.372,0.225,0.875
TRAIN,22,0.770,0.411,0.443,0.316,0.232,0.843,0.332,0.292,0.889,0.418,0.361,1.010,0.464,0.624,1.187,0.392,0.709,1.157
TRAIN,23,0.730,0.391,0.252,0.300,0.132,0.757,0.315,0.166,0.789,0.396,0.205,0.890,0.440,0.355,1.009,0.372,0.403,0.964
TEST_era,0,0.670,0.370,0.603,0.195,0.315,0.723,0.212,0.397,0.780,0.226,0.491,0.841,0.351,0.848,1.145,0.409,0.963,1.261
TEST_era,1,0.660,0.491,0.749,0.192,0.391,0.878,0.208,0.493,0.945,0.222,0.610,1.018,0.346,1.053,1.363,0.403,1.196,1.492
TEST_era,2,0.650,0.596,0.601,0.189,0.314,0.943,0.205,0.396,1.000,0.219,0.490,1.060,0.341,0.846,1.360,0.397,0.961,1.474
TEST_era,3,0.640,0.290,0.468,0.186,0.244,0.599,0.202,0.308,0.647,0.215,0.381,0.696,0.335,0.658,0.955,0.391,0.747,1.055
TEST_era,4,0.640,0.394,0.372,0.186,0.194,0.677,0.202,0.245,0.718,0.215,0.303,0.761,0.335,0.523,0.991,0.391,0.594,1.082
TEST_era,5,0.640,0.382,0.505,0.186,0.264,0.700,0.202,0.332,0.750,0.215,0.411,0.803,0.335,0.710,1.073,0.391,0.807,1.176
TEST_era,6,0.610,0.439,0.531,0.178,0.278,0.755,0.193,0.350,0.806,0.205,0.433,0.861,0.320,0.747,1.132,0.372,0.849,1.236
TEST_era,7,0.590,0.375,0.493,0.164,0.258,0.668,0.186,0.324,0.724,0.199,0.401,0.775,0.309,0.693,1.031,0.497,0.787,1.266
TEST_era,8,0.590,0.402,0.491,0.164,0.257,0.695,0.186,0.323,0.750,0.199,0.400,0.801,0.309,0.690,1.057,0.497,0.785,1.291
TEST_era,9,0.580,0.377,0.506,0.161,0.265,0.670,0.183,0.333,0.727,0.195,0.412,0.778,0.304,0.712,1.037,0.488,0.809,1.270
TEST_era,10,0.580,0.367,0.449,0.161,0.234,0.646,0.183,0.295,0.698,0.195,0.365,0.745,0.304,0.631,0.987,0.488,0.717,1.214
TEST_era,11,0.580,0.429,0.558,0.161,0.292,0.736,0.183,0.368,0.796,0.195,0.455,0.851,0.304,0.785,1.125,0.488,0.892,1.363
TEST_era,12,0.600,0.343,0.637,0.167,0.333,0.676,0.189,0.420,0.742,0.202,0.519,0.805,0.315,0.896,1.106,0.505,1.019,1.357
TEST_era,13,0.610,0.481,0.679,0.178,0.355,0.836,0.193,0.447,0.897,0.205,0.553,0.963,0.320,0.956,1.279,0.372,1.086,1.397
TEST_era,14,0.600,0.434,0.696,0.167,0.364,0.782,0.189,0.458,0.852,0.202,0.566,0.919,0.315,0.978,1.237,0.505,1.111,1.495
TEST_era,15,0.590,0.355,0.823,0.164,0.430,0.734,0.186,0.542,0.812,0.199,0.670,0.889,0.309,1.158,1.243,0.497,1.315,1.509
TEST_era,16,0.580,0.433,0.599,0.161,0.313,0.750,0.183,0.394,0.813,0.195,0.488,0.872,0.304,0.842,1.158,0.488,0.957,1.399
TEST_era,17,0.590,0.558,0.549,0.164,0.287,0.865,0.186,0.361,0.925,0.199,0.447,0.980,0.309,0.772,1.253,0.497,0.877,1.493
TEST_era,18,0.590,0.330,0.665,0.164,0.348,0.668,0.186,0.438,0.735,0.199,0.542,0.799,0.309,0.936,1.107,0.497,1.063,1.358
TEST_era,19,0.580,0.325,0.530,0.161,0.277,0.625,0.183,0.349,0.683,0.195,0.432,0.736,0.304,0.746,1.002,0.488,0.848,1.237
TEST_era,20,0.640,0.355,0.514,0.186,0.269,0.676,0.202,0.338,0.726,0.215,0.419,0.780,0.335,0.723,1.052,0.391,0.822,1.157
TEST_era,21,0.730,0.400,0.580,0.213,0.303,0.764,0.203,0.381,0.794,0.246,0.472,0.882,0.371,0.815,1.178,0.446,0.926,1.309
TEST_era,22,0.770,0.420,0.644,0.224,0.337,0.813,0.214,0.424,0.846,0.259,0.525,0.942,0.391,0.906,1.264,0.470,1.030,1.405
TEST_era,23,0.730,0.400,0.684,0.213,0.358,0.791,0.203,0.450,0.828,0.246,0.557,0.924,0.371,0.962,1.252,0.446,1.093,1.392
