strategy,test_n,test_pf_0_45,test_pf_0_80,test_pf_model,test_pf_model_testera,test_pf_quote_s5_0_80,train_pf_0_45,train_pf_model,model_cost_per_trade_test,testera_cost_per_trade,test_pf_model_nominal,train_pf_model_nominal,nominal_gap_per_trade,flat_pass,model_pass,model_nominal_pass
c03_fvg_fill,838,1.5709,1.4590,1.3827,1.3310,1.3484,1.4295,1.2575,1.0455,1.2106,1.3827,1.2575,-0.0000,True,True,True
s03_ob_mitigation,2620,0.9882,0.8237,0.8179,0.8157,0.7115,1.0165,0.8778,0.8060,0.8188,0.8179,0.8778,-0.0000,False,False,False
s04_breaker_block,4052,0.8894,0.7564,0.7282,0.7212,0.6974,0.8537,0.7153,0.8630,0.8972,0.7282,0.7153,-0.0000,False,False,False
s100_m3_combo,2432,1.0651,0.9586,0.9191,0.8981,0.8665,0.8982,0.7805,0.9420,1.0266,0.8926,0.7557,0.0831,False,False,False
s10_90min_fade,4714,0.7857,0.6466,0.6392,0.6310,0.5683,0.6893,0.5565,0.8164,0.8551,0.6392,0.5565,-0.0000,False,False,False
s11_m90_fade_ny,910,0.8551,0.7177,0.7012,0.6761,0.6666,0.9107,0.7239,0.8401,0.9304,0.7013,0.7239,-0.0002,False,False,False
s12_m90_fade_bias,2091,1.0585,0.8306,0.8091,0.8058,0.6826,0.9378,0.7210,0.8386,0.8503,0.8092,0.7212,-0.0000,False,False,False
s14_ob_mit_bias,1421,1.6722,1.3999,1.3916,1.3903,1.2095,1.5405,1.3258,0.8243,0.8134,1.3916,1.3257,-0.0000,True,True,True
s93_fvg_scalp,200,1.3395,1.2383,1.1530,1.1049,1.1753,1.1532,1.0271,1.1355,1.3158,1.1984,1.0143,-0.1170,True,True,True
s94_sweep_reversal,697,0.8662,0.8045,0.7752,0.7491,0.7961,0.8267,0.7348,0.9846,1.1690,0.7442,0.7201,0.1654,False,False,False
s95_session_breakout,384,1.3876,1.3272,1.2824,1.2253,1.2791,1.4094,1.3170,1.0673,1.4031,1.5753,1.5787,-1.6702,True,True,True
s96_h1_momentum,275,1.3646,1.3399,1.3178,1.2814,1.2635,1.2570,1.2195,1.1001,1.5879,1.1904,1.0816,1.9812,True,True,True
s97_snap_scalper_m5,232,2.5769,2.2391,2.5186,2.4202,1.6007,2.3936,2.1836,0.4768,0.5411,0.2999,0.1711,3.8284,True,True,False
s98_zscore_mr_m15,16,0.1971,0.1896,0.1904,0.1840,0.1916,0.7453,0.7177,1.3055,1.8702,0.2162,0.7523,-1.3588,False,False,False
s99_mss_fvg,961,0.9246,0.8348,0.8026,0.7790,0.7446,0.9368,0.8301,0.9238,1.0416,0.7933,0.8295,0.0081,False,False,False
