hour,n,entry_mkt_mean,entry_mkt_p50,half_spread_mean,drift_5s,entry_mkt_train,entry_mkt_test,entry_comp_nominal_mean
0,104.0000,0.4008,0.3550,0.4262,-0.0254,0.5041,0.3388,0.3286
1,792.0000,0.4146,0.3675,0.3716,0.0430,0.3423,0.4906,0.2005
2,487.0000,0.4549,0.3050,0.3778,0.0771,0.2758,0.5964,0.6662
3,498.0000,0.3318,0.3500,0.3724,-0.0405,0.3741,0.2905,0.7636
4,360.0000,0.3986,0.3575,0.3698,0.0288,0.4058,0.3939,0.7537
5,570.0000,0.3667,0.3525,0.3755,-0.0088,0.3480,0.3820,0.9893
6,837.0000,0.3715,0.3350,0.3645,0.0070,0.3005,0.4390,0.8785
7,5582.0000,0.3398,0.3100,0.3266,0.0132,0.3073,0.3753,0.3704
8,2888.0000,0.3684,0.3150,0.3199,0.0485,0.3340,0.4023,0.5186
9,4214.0000,0.3475,0.3200,0.3279,0.0196,0.3169,0.3769,0.3588
10,3928.0000,0.3424,0.3150,0.3297,0.0127,0.3156,0.3674,0.3392
11,1903.0000,0.3752,0.3300,0.3247,0.0505,0.3147,0.4286,0.4036
12,3769.0000,0.3434,0.3250,0.3254,0.0180,0.3437,0.3430,0.3775
13,7332.0000,0.4036,0.3400,0.3334,0.0702,0.3436,0.4812,0.3833
14,4105.0000,0.3774,0.3400,0.3252,0.0522,0.3383,0.4337,0.3993
15,6588.0000,0.3297,0.3050,0.3313,-0.0016,0.3084,0.3548,0.3358
16,1053.0000,0.3589,0.2900,0.3363,0.0226,0.2859,0.4326,0.4183
17,267.0000,0.4100,0.2950,0.3231,0.0870,0.3063,0.5580,0.5810
18,45.0000,0.5666,0.4200,0.3774,0.1891,0.3976,0.6900,-0.2482
19,51.0000,0.5638,0.3800,0.3252,0.2386,0.2746,0.8892,0.7258
20,44.0000,0.5106,0.4400,0.3773,0.1333,0.4519,0.5641,0.9095
21,17.0000,0.6741,0.2800,0.5685,0.1056,-0.0310,0.9679,1.4726
22,35.0000,0.4260,0.4250,0.5804,-0.1544,0.4529,0.3857,-0.1059
23,68.0000,0.8855,0.5400,0.5715,0.3140,0.6639,1.0315,3.1228
