set,stop,n,entry,geom,slip_obs,total_observed,p_sl
TRAIN,<2,9008,0.3147,0.2440,0.1244,0.6831,0.5927
TRAIN,2-3,7028,0.3320,0.2775,0.1522,0.7617,0.5726
TRAIN,3-5,3755,0.3259,0.3291,0.1781,0.8331,0.5435
TRAIN,5-10,1090,0.3564,0.3419,0.2062,0.9046,0.4229
TRAIN,10+,825,0.3098,0.3087,0.1158,0.7343,0.1903
TEST,<2,4986,0.3854,0.1897,0.2458,0.8209,0.6456
TEST,2-3,5733,0.3574,0.2057,0.2597,0.8228,0.6060
TEST,3-5,5100,0.3928,0.2496,0.3026,0.9450,0.5843
TEST,5-10,2513,0.4268,0.3581,0.3590,1.1438,0.4998
TEST,10+,1324,0.5694,0.6119,0.5549,1.7362,0.3557
