month,n,G,delta,spread,J_mean_0716,J_over_s,train
2024-09,1188.0000,0.6236,0.2402,0.3853,0.1375,0.3569,True
2024-10,1217.0000,0.5198,0.2056,0.3955,0.1362,0.3443,True
2024-11,1380.0000,0.4469,0.1811,0.4053,0.1571,0.3875,True
2024-12,1145.0000,0.5407,0.2623,0.4851,0.1280,0.2639,True
2025-01,1103.0000,0.5123,0.2794,0.5454,0.1314,0.2409,True
2025-02,1357.0000,0.4413,0.2345,0.5314,0.1575,0.2964,True
2025-03,1372.0000,0.6140,0.3166,0.5156,0.1537,0.2981,True
2025-04,2026.0000,0.3760,0.2413,0.6416,0.2929,0.4565,True
2025-05,2087.0000,0.4472,0.3382,0.7562,0.2504,0.3312,True
2025-06,1835.0000,0.5535,0.3809,0.6882,0.2070,0.3007,True
2025-07,1530.0000,0.5206,0.2960,0.5686,0.1650,0.2902,True
2025-08,1343.0000,0.4088,0.2350,0.5748,0.1589,0.2765,True
2025-09,1796.0000,0.4326,0.2519,0.5823,0.2028,0.3482,True
2025-10,2355.0000,0.4354,0.3332,0.7652,0.4045,0.5286,True
2025-11,1960.0000,0.3967,0.2997,0.7554,0.3213,0.4254,True
2025-12,2077.0000,0.3569,0.2962,0.8299,0.2940,0.3543,False
2026-01,2293.0000,0.3311,0.3481,1.0513,0.4715,0.4485,False
2026-02,2216.0000,0.4019,0.3624,0.9016,0.6089,0.6754,False
2026-03,2449.0000,0.4155,0.3639,0.8757,0.6747,0.7705,False
2026-04,2250.0000,0.3576,0.2517,0.7038,0.4180,0.5939,False
2026-05,2335.0000,0.3249,0.2047,0.6299,0.3720,0.5905,False
2026-06,2432.0000,0.2961,0.1869,0.6312,0.3722,0.5897,False
2026-07,2369.0000,0.3881,0.2239,0.5770,0.3037,0.5264,False
2026-08,2133.0000,0.3873,0.2120,0.5474,0.3398,0.6208,False
2026-09,1289.0000,0.3984,0.2169,0.5443,0.3574,0.6566,False
