strategy,cost,part,n,mid_pf,mid_pts,quote_pf,quote_pts,pf_ratio,tp_to_sl,tp_mid,tp_to_sl_share,delta_mean,spread_entry_mean,delta_over_spread,x_median,risk_median,mid_s5_pf
c03_fvg_fill,0.4500,ALL,2161,1.5078,2982.2500,1.3898,2383.5100,0.9217,69,1038,0.0665,0.2771,0.6319,0.4385,5.9821,3.5000,1.5140
c03_fvg_fill,0.4500,TRAIN,1323,1.4295,1125.6800,1.3129,854.1100,0.9184,40,639,0.0626,0.2053,0.5656,0.3629,5.1765,2.6600,1.4322
c03_fvg_fill,0.4500,TEST,838,1.5709,1856.5700,1.4517,1529.4000,0.9241,29,399,0.0727,0.3904,0.7365,0.5301,8.1856,5.3100,1.5800
c03_fvg_fill,0.8000,ALL,2161,1.3552,2225.9000,1.2492,1627.1600,0.9217,69,1038,0.0665,0.2771,0.6319,0.4385,5.9821,3.5000,1.3608
c03_fvg_fill,0.8000,TRAIN,1323,1.2317,662.6300,1.1311,391.0600,0.9184,40,639,0.0626,0.2053,0.5656,0.3629,5.1765,2.6600,1.2340
c03_fvg_fill,0.8000,TEST,838,1.4590,1563.2700,1.3484,1236.1000,0.9242,29,399,0.0727,0.3904,0.7365,0.5301,8.1856,5.3100,1.4675
s03_ob_mitigation,0.4500,ALL,6703,1.0046,53.7300,0.8542,-1827.7200,0.8503,301,2689,0.1119,0.2807,0.6108,0.4595,3.9143,2.2000,1.0058
s03_ob_mitigation,0.4500,TRAIN,4083,1.0165,112.6000,0.8549,-1055.3800,0.8410,182,1654,0.1100,0.2861,0.5705,0.5014,3.9608,2.0800,1.0165
s03_ob_mitigation,0.4500,TEST,2620,0.9882,-58.8700,0.8533,-772.3400,0.8635,119,1035,0.1150,0.2723,0.6737,0.4042,3.8387,2.4400,0.9910
s03_ob_mitigation,0.8000,ALL,6703,0.8262,-2292.3200,0.7027,-4173.7700,0.8506,301,2689,0.1119,0.2807,0.6108,0.4595,3.9143,2.2000,0.8272
s03_ob_mitigation,0.8000,TRAIN,4083,0.8280,-1316.4500,0.6964,-2484.4300,0.8411,182,1654,0.1100,0.2861,0.5705,0.5014,3.9608,2.0800,0.8280
s03_ob_mitigation,0.8000,TEST,2620,0.8237,-975.8700,0.7115,-1689.3400,0.8639,119,1035,0.1150,0.2723,0.6737,0.4042,3.8387,2.4400,0.8260
s04_breaker_block,0.4500,ALL,6613,0.8776,-1644.7900,0.7800,-3083.4900,0.8888,260,2376,0.1094,0.2176,0.6948,0.3131,3.4464,2.1500,0.8826
s04_breaker_block,0.4500,TRAIN,2561,0.8537,-650.3300,0.7033,-1411.0900,0.8238,129,942,0.1369,0.2971,0.6372,0.4662,3.2931,1.9400,0.8568
s04_breaker_block,0.4500,TEST,4052,0.8894,-994.4600,0.8194,-1672.4000,0.9213,131,1434,0.0914,0.1673,0.7311,0.2288,3.5573,2.3200,0.8954
s04_breaker_block,0.8000,ALL,6613,0.7346,-3959.3400,0.6535,-5398.0400,0.8896,260,2376,0.1094,0.2176,0.6948,0.3131,3.4464,2.1500,0.7388
s04_breaker_block,0.8000,TRAIN,2561,0.6914,-1546.6800,0.5700,-2307.4400,0.8243,129,942,0.1369,0.2971,0.6372,0.4662,3.2931,1.9400,0.6940
s04_breaker_block,0.8000,TEST,4052,0.7564,-2412.6600,0.6974,-3090.6000,0.9220,131,1434,0.0914,0.1673,0.7311,0.2288,3.5573,2.3200,0.7615
s100_m3_combo,0.4500,ALL,4579,1.0030,36.9450,0.8960,-1328.9600,0.8934,104,1365,0.0762,0.2983,0.7147,0.4174,4.4464,2.8400,1.0031
s100_m3_combo,0.4500,TRAIN,2147,0.8982,-469.2100,0.7839,-1034.0300,0.8728,49,623,0.0787,0.2631,0.6403,0.4109,4.0426,2.3600,0.8958
s100_m3_combo,0.4500,TEST,2432,1.0651,506.1550,0.9631,-294.9300,0.9043,55,742,0.0741,0.3294,0.7805,0.4221,4.9856,3.4650,1.0667
s100_m3_combo,0.8000,ALL,4579,0.8837,-1565.7050,0.7890,-2931.6100,0.8929,104,1365,0.0762,0.2983,0.7147,0.4174,4.4464,2.8400,0.8836
s100_m3_combo,0.8000,TRAIN,2147,0.7613,-1220.6600,0.6639,-1785.4800,0.8720,49,623,0.0787,0.2631,0.6403,0.4109,4.0426,2.3600,0.7591
s100_m3_combo,0.8000,TEST,2432,0.9586,-345.0450,0.8665,-1146.1300,0.9038,55,742,0.0741,0.3294,0.7805,0.4221,4.9856,3.4650,0.9600
s10_90min_fade,0.4500,ALL,9401,0.7480,-3869.5000,0.6299,-6282.6300,0.8421,541,4784,0.1131,0.2567,0.6708,0.3827,3.9157,2.2900,0.7538
s10_90min_fade,0.4500,TRAIN,4687,0.6893,-1869.4300,0.5462,-3115.0300,0.7924,317,2571,0.1233,0.2658,0.6033,0.4405,3.7955,2.0500,0.6903
s10_90min_fade,0.4500,TEST,4714,0.7857,-2000.0700,0.6867,-3167.6000,0.8739,224,2213,0.1012,0.2477,0.7379,0.3356,4.1053,2.6700,0.7949
s10_90min_fade,0.8000,ALL,9401,0.5867,-7159.8500,0.4982,-9572.9800,0.8492,541,4784,0.1131,0.2567,0.6708,0.3827,3.9157,2.2900,0.5909
s10_90min_fade,0.8000,TRAIN,4687,0.4982,-3509.8800,0.3994,-4755.4800,0.8017,317,2571,0.1233,0.2658,0.6033,0.4405,3.7955,2.0500,0.4985
s10_90min_fade,0.8000,TEST,4714,0.6466,-3649.9700,0.5683,-4817.5000,0.8790,224,2213,0.1012,0.2477,0.7379,0.3356,4.1053,2.6700,0.6537
s11_m90_fade_ny,0.4500,ALL,1810,0.8745,-373.0600,0.7534,-820.8400,0.8615,109,1005,0.1085,0.2474,0.6874,0.3599,4.2383,2.5100,0.8841
s11_m90_fade_ny,0.4500,TRAIN,900,0.9107,-92.7000,0.6946,-382.0700,0.7627,71,540,0.1315,0.3215,0.5953,0.5401,4.0000,2.1700,0.9119
s11_m90_fade_ny,0.4500,TEST,910,0.8551,-280.3600,0.7888,-438.7700,0.9224,38,465,0.0817,0.1741,0.7784,0.2236,4.6062,3.0800,0.8691
s11_m90_fade_ny,0.8000,ALL,1810,0.6979,-1006.5600,0.6084,-1454.3400,0.8717,109,1005,0.1085,0.2474,0.6874,0.3599,4.2383,2.5100,0.7051
s11_m90_fade_ny,0.8000,TRAIN,900,0.6632,-407.7000,0.5168,-697.0700,0.7792,71,540,0.1315,0.3215,0.5953,0.5401,4.0000,2.1700,0.6640
s11_m90_fade_ny,0.8000,TEST,910,0.7177,-598.8600,0.6666,-757.2700,0.9288,38,465,0.0817,0.1741,0.7784,0.2236,4.6062,3.0800,0.7288
s12_m90_fade_bias,0.4500,ALL,4089,1.0117,56.1700,0.7995,-1134.1800,0.7902,258,2613,0.0987,0.2911,0.6760,0.4307,3.9512,2.3600,1.0256
s12_m90_fade_bias,0.4500,TRAIN,1998,0.9378,-115.6200,0.7071,-661.4400,0.7540,140,1333,0.1050,0.2732,0.6112,0.4470,3.8125,2.0900,0.9402
s12_m90_fade_bias,0.4500,TEST,2091,1.0585,171.7900,0.8609,-472.7400,0.8133,118,1280,0.0922,0.3082,0.7379,0.4177,4.1695,2.7700,1.0802
s12_m90_fade_bias,0.8000,ALL,4089,0.7515,-1374.9800,0.6027,-2565.3300,0.8019,258,2613,0.0987,0.2911,0.6760,0.4307,3.9512,2.3600,0.7611
s12_m90_fade_bias,0.8000,TRAIN,1998,0.6342,-814.9200,0.4887,-1360.7400,0.7705,140,1333,0.1050,0.2732,0.6112,0.4470,3.8125,2.0900,0.6356
s12_m90_fade_bias,0.8000,TEST,2091,0.8306,-560.0600,0.6826,-1204.5900,0.8219,118,1280,0.0922,0.3082,0.7379,0.4177,4.1695,2.7700,0.8467
s14_ob_mit_bias,0.4500,ALL,3970,1.5905,3383.0800,1.3513,2179.4900,0.8496,177,2031,0.0871,0.3032,0.6045,0.5015,4.0000,2.2400,1.5935
s14_ob_mit_bias,0.4500,TRAIN,2549,1.5405,1920.8300,1.2945,1138.2300,0.8403,115,1289,0.0892,0.3070,0.5653,0.5431,4.0156,2.1000,1.5405
s14_ob_mit_bias,0.4500,TEST,1421,1.6722,1462.2500,1.4451,1041.2600,0.8642,62,742,0.0836,0.2963,0.6747,0.4391,3.9600,2.5300,1.6804
s14_ob_mit_bias,0.8000,ALL,3970,1.3111,1993.5800,1.1138,789.9900,0.8495,177,2031,0.0871,0.3032,0.6045,0.5015,4.0000,2.2400,1.3136
s14_ob_mit_bias,0.8000,TRAIN,2549,1.2575,1028.6800,1.0566,246.0800,0.8403,115,1289,0.0892,0.3070,0.5653,0.5431,4.0156,2.1000,1.2575
s14_ob_mit_bias,0.8000,TEST,1421,1.3999,964.9000,1.2095,543.9100,0.8640,62,742,0.0836,0.2963,0.6747,0.4391,3.9600,2.5300,1.4068
s93_fvg_scalp,0.4500,ALL,493,1.2555,361.7250,1.1337,199.0300,0.9029,18,230,0.0783,0.3300,0.6669,0.4949,6.7067,4.2050,1.2569
s93_fvg_scalp,0.4500,TRAIN,293,1.1532,97.7700,0.9749,-17.3700,0.8454,13,137,0.0949,0.3930,0.5970,0.6582,5.7553,3.2450,1.1550
s93_fvg_scalp,0.4500,TEST,200,1.3395,263.9550,1.2715,216.4000,0.9492,5,93,0.0538,0.2378,0.7692,0.3091,8.6289,5.9700,1.3408
