strategy,xb,n,G,pf_mid,pf_quote
c03_fvg_fill,1.5-2.5,55.0000,0.6336,3.1109,2.5947
c03_fvg_fill,2.5-3.5,262.0000,0.6923,1.0890,0.8308
c03_fvg_fill,3.5-5,509.0000,0.3324,1.2530,1.1331
c03_fvg_fill,5-7,472.0000,0.6164,1.5712,1.3681
c03_fvg_fill,7-10,409.0000,0.3673,1.3858,1.2962
c03_fvg_fill,10-15,282.0000,-0.1803,1.2080,1.2330
c03_fvg_fill,15-25,135.0000,1.0146,1.2824,1.1773
c03_fvg_fill,25+,37.0000,0.9346,1.5807,1.5067
s03_ob_mitigation,<1.5,20.0000,0.3433,0.7734,0.5152
s03_ob_mitigation,1.5-2.5,727.0000,0.4599,0.6508,0.4725
s03_ob_mitigation,2.5-3.5,1832.0000,0.4131,0.7850,0.6460
s03_ob_mitigation,3.5-5,2248.0000,0.4934,0.8884,0.7527
s03_ob_mitigation,5-7,1303.0000,0.4487,0.8607,0.7709
s03_ob_mitigation,7-10,480.0000,0.5854,0.7791,0.6982
s03_ob_mitigation,10-15,88.0000,0.8294,0.9173,0.8249
s03_ob_mitigation,15-25,5.0000,-12.8333,1.0758,2.7217
s04_breaker_block,<1.5,49.0000,-0.0188,0.5501,0.5631
s04_breaker_block,1.5-2.5,1231.0000,0.3459,0.6163,0.4826
s04_breaker_block,2.5-3.5,2118.0000,0.2611,0.6451,0.5670
s04_breaker_block,3.5-5,1795.0000,0.3906,0.7442,0.6485
s04_breaker_block,5-7,886.0000,0.3029,0.6883,0.6354
s04_breaker_block,7-10,368.0000,0.3504,0.8562,0.8031
s04_breaker_block,10-15,121.0000,-0.2734,1.4781,1.5238
s04_breaker_block,15-25,33.0000,1.5226,1.0288,0.9149
s04_breaker_block,25+,12.0000,-0.0000,0.8689,0.8689
s100_m3_combo,<1.5,8.0000,0.5009,2.2477,1.4267
s100_m3_combo,1.5-2.5,427.0000,0.2977,0.7314,0.6063
s100_m3_combo,2.5-3.5,969.0000,0.3650,0.7266,0.6146
s100_m3_combo,3.5-5,1336.0000,0.3605,0.8479,0.7540
s100_m3_combo,5-7,939.0000,0.4053,0.8884,0.8066
s100_m3_combo,7-10,549.0000,0.6441,1.0279,0.9233
s100_m3_combo,10-15,271.0000,0.6892,0.9221,0.8433
s100_m3_combo,15-25,65.0000,0.4909,1.0344,0.9917
s100_m3_combo,25+,15.0000,-0.1474,1.3030,1.3126
s10_90min_fade,<1.5,59.0000,0.1608,0.9691,0.8408
s10_90min_fade,1.5-2.5,1226.0000,0.3318,0.6011,0.4833
s10_90min_fade,2.5-3.5,2484.0000,0.3257,0.5094,0.4245
s10_90min_fade,3.5-5,2688.0000,0.3335,0.5245,0.4558
s10_90min_fade,5-7,1475.0000,0.3939,0.5720,0.4982
s10_90min_fade,7-10,853.0000,0.5012,0.6964,0.6031
s10_90min_fade,10-15,414.0000,0.7224,0.8033,0.6699
s10_90min_fade,15-25,172.0000,0.7980,0.7977,0.6662
s10_90min_fade,25+,30.0000,2.1885,0.5263,0.4054
s11_m90_fade_ny,<1.5,12.0000,-0.1803,0.0857,0.2221
s11_m90_fade_ny,1.5-2.5,200.0000,0.1595,0.6482,0.5978
s11_m90_fade_ny,2.5-3.5,386.0000,0.4583,0.6128,0.4744
s11_m90_fade_ny,3.5-5,522.0000,0.3780,0.5404,0.4694
s11_m90_fade_ny,5-7,317.0000,0.0186,0.6591,0.6695
s11_m90_fade_ny,7-10,204.0000,0.5849,0.9669,0.8073
s11_m90_fade_ny,10-15,104.0000,0.3772,1.2031,1.0697
s11_m90_fade_ny,15-25,53.0000,0.5903,0.6250,0.5226
s11_m90_fade_ny,25+,12.0000,4.0028,1.1099,0.7205
s12_m90_fade_bias,<1.5,27.0000,0.1268,0.7380,0.6544
s12_m90_fade_bias,1.5-2.5,527.0000,0.3411,0.5690,0.4384
s12_m90_fade_bias,2.5-3.5,1032.0000,0.2801,0.6676,0.5626
s12_m90_fade_bias,3.5-5,1183.0000,0.3823,0.7275,0.6047
s12_m90_fade_bias,5-7,635.0000,0.4048,0.6509,0.5416
s12_m90_fade_bias,7-10,366.0000,0.6758,1.0642,0.8107
s12_m90_fade_bias,10-15,206.0000,0.8255,1.1884,0.8243
s12_m90_fade_bias,15-25,96.0000,1.2311,1.3157,0.8779
s12_m90_fade_bias,25+,17.0000,3.8959,0.5797,0.3253
s14_ob_mit_bias,<1.5,13.0000,0.2705,0.8505,0.6201
s14_ob_mit_bias,1.5-2.5,384.0000,0.2179,0.9761,0.8501
s14_ob_mit_bias,2.5-3.5,1048.0000,0.4694,1.2434,1.0094
s14_ob_mit_bias,3.5-5,1348.0000,0.4875,1.4450,1.2358
s14_ob_mit_bias,5-7,820.0000,0.7025,1.3569,1.1537
s14_ob_mit_bias,7-10,294.0000,0.9101,1.2295,1.0550
s14_ob_mit_bias,10-15,58.0000,0.5991,1.2835,1.1956
s14_ob_mit_bias,15-25,5.0000,-13.5088,1.1042,2.8397
s93_fvg_scalp,1.5-2.5,6.0000,-0.0000,0.1450,0.1450
s93_fvg_scalp,2.5-3.5,33.0000,0.5326,0.6390,0.4753
s93_fvg_scalp,3.5-5,106.0000,0.8074,1.0524,0.7751
s93_fvg_scalp,5-7,120.0000,0.4772,0.9410,0.8288
s93_fvg_scalp,7-10,118.0000,0.2854,1.1126,1.0522
s93_fvg_scalp,10-15,67.0000,0.8269,1.1077,0.9907
s93_fvg_scalp,15-25,35.0000,-0.0954,1.2545,1.2648
s93_fvg_scalp,25+,8.0000,-0.3056,4.7967,5.0509
s94_sweep_reversal,<1.5,5.0000,-0.0000,0.0000,0.0000
s94_sweep_reversal,1.5-2.5,103.0000,0.2142,1.1388,1.0453
s94_sweep_reversal,2.5-3.5,221.0000,0.2992,0.8043,0.7137
s94_sweep_reversal,3.5-5,287.0000,-0.0792,0.7141,0.7310
s94_sweep_reversal,5-7,263.0000,0.5030,0.6156,0.5362
s94_sweep_reversal,7-10,202.0000,0.2162,0.6926,0.6643
s94_sweep_reversal,10-15,141.0000,-0.6727,0.8417,0.9087
s94_sweep_reversal,15-25,68.0000,0.2138,0.9939,0.9779
s94_sweep_reversal,25+,14.0000,0.1647,0.8357,0.8275
s95_session_breakout,3.5-5,1.0000,0.0000,0.0000,0.0000
s95_session_breakout,5-7,1.0000,0.0000,0.0000,0.0000
s95_session_breakout,7-10,9.0000,-0.0000,0.5272,0.5272
s95_session_breakout,10-15,63.0000,0.6825,0.8140,0.6643
s95_session_breakout,15-25,243.0000,0.3849,1.5672,1.4204
s95_session_breakout,25+,682.0000,0.4756,1.2972,1.2341
s96_h1_momentum,5-7,1.0000,0.0000,inf,inf
s96_h1_momentum,15-25,22.0000,0.0000,1.6762,1.6762
s96_h1_momentum,25+,752.0000,0.7421,1.2708,1.2132
s97_snap_scalper_m5,<1.5,1.0000,0.0000,0.0000,0.0000
s97_snap_scalper_m5,1.5-2.5,10.0000,0.6206,inf,0.5573
s97_snap_scalper_m5,2.5-3.5,57.0000,0.8388,1.5104,0.4313
s97_snap_scalper_m5,3.5-5,178.0000,0.6591,0.7475,0.4187
s97_snap_scalper_m5,5-7,178.0000,0.7220,1.4693,0.8787
s97_snap_scalper_m5,7-10,165.0000,1.0459,2.3772,1.3038
s97_snap_scalper_m5,10-15,95.0000,1.1756,3.4664,2.1209
s97_snap_scalper_m5,15-25,37.0000,0.1703,3.8920,3.8341
s97_snap_scalper_m5,25+,9.0000,-0.0372,0.8551,0.8586
s98_zscore_mr_m15,3.5-5,3.0000,0.0000,2.1279,2.1279
s98_zscore_mr_m15,5-7,3.0000,-0.0000,0.0000,0.0000
s98_zscore_mr_m15,7-10,4.0000,4.5045,1.5581,0.7321
s98_zscore_mr_m15,10-15,18.0000,-0.3154,0.8468,0.8817
s98_zscore_mr_m15,15-25,8.0000,0.0000,0.2228,0.2228
s98_zscore_mr_m15,25+,3.0000,0.0000,0.0000,0.0000
s99_mss_fvg,1.5-2.5,125.0000,0.4499,0.5574,0.3909
s99_mss_fvg,2.5-3.5,317.0000,0.4168,0.5779,0.4584
s99_mss_fvg,3.5-5,453.0000,0.4575,0.7458,0.6236
s99_mss_fvg,5-7,378.0000,0.4055,0.7506,0.6695
s99_mss_fvg,7-10,304.0000,0.4689,0.8797,0.8010
s99_mss_fvg,10-15,170.0000,0.9840,0.7607,0.6585
s99_mss_fvg,15-25,98.0000,0.5457,1.0162,0.9673
s99_mss_fvg,25+,26.0000,0.0429,1.4359,1.4291
