x_bucket,set,n,spread_mean,risk_mean,tp_to_sl_share,delta_mean,G,G_se,pf_mid_0.80,pf_quote_0.80,pf_haircut_0.80
<1.5,TRAIN,27.0000,1.4463,1.7811,0.1481,0.6467,0.4471,0.2196,0.4684,0.2421,-0.4831
1.5-2.5,TRAIN,2171.0000,0.7953,1.7263,0.0778,0.3267,0.4108,0.0361,0.6892,0.5260,-0.2368
2.5-3.5,TRAIN,6119.0000,0.6416,1.9256,0.0588,0.2765,0.4310,0.0250,0.7341,0.5909,-0.1951
3.5-5,TRAIN,7523.0000,0.5577,2.3168,0.0498,0.2591,0.4646,0.0275,0.7562,0.6328,-0.1632
5-7,TRAIN,4104.0000,0.5387,3.1323,0.0392,0.2924,0.5428,0.0501,0.8298,0.7066,-0.1485
7-10,TRAIN,1857.0000,0.5369,4.3811,0.0350,0.3239,0.6032,0.0791,0.9422,0.8224,-0.1271
10-15,TRAIN,643.0000,0.5541,6.6371,0.0078,0.1377,0.2485,0.0872,0.9385,0.8977,-0.0435
15-25,TRAIN,396.0000,0.6269,11.9647,0.0126,0.3192,0.5091,0.1943,1.3564,1.2255,-0.0965
25+,TRAIN,854.0000,0.5801,27.4674,0.0059,0.2912,0.5019,0.1761,1.2396,1.1836,-0.0452
<1.5,TEST,167.0000,1.4666,1.7791,0.0419,0.0972,0.0663,0.0919,0.7547,0.7039,-0.0674
1.5-2.5,TEST,2850.0000,0.8939,1.8700,0.0575,0.2602,0.2911,0.0294,0.6841,0.5643,-0.1751
2.5-3.5,TEST,4640.0000,0.7462,2.2234,0.0444,0.2074,0.2779,0.0313,0.6844,0.5943,-0.1316
3.5-5,TEST,5134.0000,0.6955,2.9088,0.0390,0.2197,0.3158,0.0349,0.8792,0.7858,-0.1062
5-7,TEST,3687.0000,0.6790,3.9958,0.0339,0.2285,0.3366,0.0555,0.8602,0.7852,-0.0872
7-10,TEST,2468.0000,0.6813,5.6250,0.0324,0.3460,0.5079,0.0720,0.9576,0.8607,-0.1012
10-15,TEST,1455.0000,0.7075,8.5289,0.0296,0.3709,0.5242,0.1866,1.0403,0.9559,-0.0811
15-25,TEST,679.0000,0.7023,13.1403,0.0177,0.4288,0.6106,0.2051,1.0765,0.9982,-0.0728
25+,TEST,763.0000,0.7679,47.3646,0.0092,0.6464,0.8418,0.3796,1.2492,1.1819,-0.0538
<1.5,ALL,194.0000,1.4638,1.7794,0.0567,0.1737,0.1186,0.0851,0.7149,0.6299,-0.1189
1.5-2.5,ALL,5021.0000,0.8513,1.8079,0.0663,0.2890,0.3395,0.0228,0.6861,0.5486,-0.2004
2.5-3.5,ALL,10759.0000,0.6867,2.0541,0.0526,0.2467,0.3592,0.0198,0.7100,0.5925,-0.1655
3.5-5,ALL,12657.0000,0.6136,2.5569,0.0454,0.2431,0.3962,0.0219,0.8130,0.7023,-0.1362
5-7,ALL,7791.0000,0.6051,3.5410,0.0367,0.2621,0.4333,0.0377,0.8464,0.7490,-0.1151
7-10,ALL,4325.0000,0.6193,5.0909,0.0335,0.3365,0.5434,0.0539,0.9521,0.8469,-0.1105
10-15,ALL,2098.0000,0.6605,7.9491,0.0229,0.2994,0.4533,0.1405,1.0149,0.9417,-0.0721
15-25,ALL,1075.0000,0.6745,12.7072,0.0158,0.3884,0.5758,0.1503,1.1407,1.0514,-0.0783
25+,ALL,1617.0000,0.6687,36.8561,0.0074,0.4588,0.6861,0.2210,1.2456,1.1826,-0.0506
<1.5,CONTROL_TRAIN,89.0000,2.3002,1.9675,0.1348,0.6520,0.2835,0.0937,0.4857,0.2600,-0.4646
1.5-2.5,CONTROL_TRAIN,2217.0000,0.8153,1.7442,0.0744,0.3106,0.3810,0.0327,0.5295,0.3997,-0.2451
2.5-3.5,CONTROL_TRAIN,6082.0000,0.6405,1.9204,0.0506,0.2092,0.3266,0.0218,0.5284,0.4443,-0.1593
3.5-5,CONTROL_TRAIN,7287.0000,0.5480,2.2783,0.0421,0.2187,0.3992,0.0259,0.5848,0.4985,-0.1475
5-7,CONTROL_TRAIN,4082.0000,0.5235,3.0465,0.0365,0.2169,0.4143,0.0430,0.6253,0.5524,-0.1166
7-10,CONTROL_TRAIN,1924.0000,0.5176,4.2214,0.0265,0.2007,0.3878,0.0598,0.7281,0.6682,-0.0823
10-15,CONTROL_TRAIN,723.0000,0.5399,6.4359,0.0207,0.1550,0.2871,0.1159,0.6247,0.5936,-0.0498
15-25,CONTROL_TRAIN,464.0000,0.5659,10.8356,0.0129,0.3051,0.5392,0.2263,0.8213,0.7543,-0.0815
25+,CONTROL_TRAIN,869.0000,0.5746,27.5778,0.0092,0.4409,0.7674,0.2988,0.8947,0.8395,-0.0617
<1.5,CONTROL_ALL,426.0000,1.7841,1.9230,0.0822,0.3304,0.1852,0.0518,0.5509,0.4224,-0.2331
1.5-2.5,CONTROL_ALL,5054.0000,0.8788,1.8444,0.0651,0.2889,0.3288,0.0238,0.5545,0.4342,-0.2170
2.5-3.5,CONTROL_ALL,10716.0000,0.6876,2.0554,0.0510,0.2295,0.3338,0.0182,0.5510,0.4614,-0.1626
3.5-5,CONTROL_ALL,12222.0000,0.6043,2.5166,0.0423,0.2311,0.3824,0.0218,0.6222,0.5358,-0.1388
5-7,CONTROL_ALL,7611.0000,0.5830,3.4124,0.0388,0.2748,0.4713,0.0336,0.6930,0.6035,-0.1291
7-10,CONTROL_ALL,4324.0000,0.5840,4.8122,0.0287,0.2639,0.4518,0.0505,0.7898,0.7168,-0.0924
10-15,CONTROL_ALL,2174.0000,0.5975,7.1829,0.0230,0.2340,0.3917,0.0801,0.6990,0.6542,-0.0640
15-25,CONTROL_ALL,1281.0000,0.6419,12.2292,0.0164,0.3219,0.5015,0.1389,0.9231,0.8641,-0.0639
25+,CONTROL_ALL,1728.0000,0.6442,36.1330,0.0087,0.4025,0.6248,0.2147,0.9520,0.9116,-0.0424
<1.5,TRAIN_vs_midS5,27.0000,1.4463,1.7811,0.1481,0.6467,0.4471,0.2196,0.4684,0.2421,-0.4831
