strategy,part,n,G_own,G_ctrl,actual_haircut,pred_haircut,resid_pts,resid_per_trade
c03_fvg_fill,TRAIN,1323,0.3629,0.4280,271.5700,361.8519,-90.2819,-0.0682
c03_fvg_fill,ALL,2161,0.4385,0.4590,598.7400,648.5837,-49.8437,-0.0231
s03_ob_mitigation,TRAIN,4083,0.5014,0.3642,1167.9800,1089.2725,78.7075,0.0193
s03_ob_mitigation,ALL,6703,0.4595,0.3419,1881.4500,1905.6332,-24.1832,-0.0036
s04_breaker_block,TRAIN,2561,0.4662,0.3814,760.7600,734.6675,26.0925,0.0102
s04_breaker_block,ALL,6613,0.3131,0.3690,1438.7000,2085.9454,-647.2454,-0.0979
s100_m3_combo,TRAIN,2147,0.4109,0.2716,564.8200,644.8655,-80.0455,-0.0373
s100_m3_combo,ALL,4579,0.4174,0.2935,1365.9050,1539.6759,-173.7709,-0.0379
s10_90min_fade,TRAIN,4687,0.4405,0.4682,1245.6000,1304.9144,-59.3144,-0.0127
s10_90min_fade,ALL,9401,0.3827,0.4560,2413.1300,2904.8209,-491.6909,-0.0523
s11_m90_fade_ny,TRAIN,900,0.5401,0.2906,289.3700,251.5845,37.7855,0.0420
s11_m90_fade_ny,ALL,1810,0.3599,0.3976,447.7800,579.9823,-132.2023,-0.0730
s12_m90_fade_bias,TRAIN,1998,0.4470,0.4305,545.8200,561.8247,-16.0047,-0.0080
s12_m90_fade_bias,ALL,4089,0.4307,0.4202,1190.3500,1274.9135,-84.5635,-0.0207
s14_ob_mit_bias,TRAIN,2549,0.5431,0.3346,782.6000,676.9924,105.6076,0.0414
s14_ob_mit_bias,ALL,3970,0.5015,0.3544,1203.5900,1122.2782,81.3118,0.0205
s93_fvg_scalp,TRAIN,293,0.6582,0.3351,115.1400,86.4784,28.6616,0.0978
s93_fvg_scalp,ALL,493,0.4949,0.4090,162.6950,159.6942,3.0008,0.0061
s94_sweep_reversal,TRAIN,607,0.2130,0.1730,82.8700,182.8060,-99.9360,-0.1646
s94_sweep_reversal,ALL,1304,0.1173,0.2716,112.3700,446.5211,-334.1511,-0.2563
s95_session_breakout,TRAIN,615,0.5441,0.5718,192.5800,170.9151,21.6649,0.0352
s95_session_breakout,ALL,999,0.4611,0.5487,298.7100,316.5983,-17.8883,-0.0179
s96_h1_momentum,TRAIN,500,0.3724,0.9077,113.2600,152.8057,-39.5457,-0.0791
s96_h1_momentum,ALL,775,0.6998,0.7239,383.3100,275.4797,107.8303,0.1391
s97_snap_scalper_m5,TRAIN,498,0.8173,0.3719,237.4550,142.5421,94.9129,0.1906
s97_snap_scalper_m5,ALL,730,0.8028,0.4677,376.1200,226.8560,149.2640,0.2045
s98_zscore_mr_m15,TRAIN,23,0.7419,0.0000,9.3700,4.9790,4.3910,0.1909
s98_zscore_mr_m15,ALL,39,0.2523,0.0000,6.3400,9.8268,-3.4868,-0.0894
s99_mss_fvg,TRAIN,910,0.4534,0.2818,253.9350,266.6303,-12.6953,-0.0140
s99_mss_fvg,ALL,1871,0.4860,0.2955,622.3100,609.1247,13.1853,0.0070
