hour,n,mean,p50,p90,p99,p999,max,share_zero,E_J2_over_2EJ,P(J>1),E[J-1|J>1],per_hour_count_J>1,P(J>2),E[J-2|J>2],per_hour_count_J>2,P(J>3),E[J-3|J>3],per_hour_count_J>3,P(J>5),E[J-5|J>5],per_hour_count_J>5,P(J>10),E[J-10|J>10],per_hour_count_J>10
0,361220,0.263864,0.125000,0.640000,1.975000,4.475000,30.025000,0.025101,0.485827,0.044460,0.720899,32.011517,0.009678,1.070226,6.968385,0.003369,1.356130,2.425779,0.000706,1.846863,0.508278,0.000055,3.540500,0.039865
1,378006,0.342981,0.185000,0.810000,2.345000,5.399950,26.375000,0.013669,0.570816,0.068081,0.743767,49.018270,0.015092,1.144379,10.866494,0.005169,1.587920,3.721846,0.001283,2.186588,0.923795,0.000143,3.578056,0.102856
2,374297,0.260510,0.140000,0.605000,1.795000,4.608520,17.080000,0.019073,0.453443,0.037759,0.723151,27.186325,0.007785,1.234537,5.605388,0.003048,1.547458,2.194835,0.000783,1.924863,0.563617,0.000072,1.681667,0.051937
3,367245,0.208411,0.110000,0.490000,1.430000,3.605000,15.445000,0.025427,0.355556,0.023262,0.657123,16.748928,0.004368,1.102196,3.144713,0.001634,1.290772,1.176326,0.000324,1.578403,0.233305,0.000016,2.196667,0.011763
4,352728,0.169296,0.090000,0.405000,1.190000,2.875000,9.705000,0.033848,0.290775,0.015043,0.600905,10.830782,0.002583,0.968628,1.859563,0.000870,1.077394,0.626659,0.000142,1.079400,0.102062,0.000000,,0.000000
5,369155,0.230622,0.120000,0.550000,1.585000,3.725000,23.615000,0.023421,0.391980,0.030816,0.631231,22.187753,0.005526,1.052152,3.978816,0.001834,1.384424,1.320421,0.000363,2.038843,0.261354,0.000024,4.943889,0.017554
6,375961,0.251736,0.140000,0.585000,1.680000,3.870000,20.505000,0.016874,0.401872,0.034176,0.648569,24.607020,0.006277,1.063534,4.519618,0.002154,1.355000,1.551225,0.000423,2.082893,0.304500,0.000045,2.433824,0.032557
7,375343,0.241736,0.135000,0.565000,1.590000,3.768290,16.995000,0.018767,0.380256,0.030735,0.627169,22.128879,0.005432,1.060591,3.911302,0.001849,1.386340,1.331262,0.000392,1.832517,0.281982,0.000027,1.918000,0.019182
8,375043,0.241867,0.135000,0.560000,1.620000,3.715000,20.470000,0.018297,0.384957,0.031418,0.636622,22.620766,0.005743,1.020201,4.135206,0.001882,1.294377,1.355365,0.000339,1.870276,0.243812,0.000027,4.654000,0.019198
9,373497,0.224545,0.120000,0.520000,1.525000,3.890000,19.540000,0.021074,0.382732,0.026921,0.677200,19.383288,0.005162,1.165314,3.716656,0.001888,1.507957,1.359047,0.000474,1.801299,0.341208,0.000024,2.995556,0.017350
10,372063,0.209456,0.115000,0.485000,1.450000,3.370000,10.830000,0.023077,0.343820,0.024173,0.621565,17.404794,0.004362,0.978322,3.140758,0.001443,1.181698,1.039179,0.000285,1.240566,0.205127,0.000005,0.607500,0.003870
11,373036,0.224616,0.120000,0.515000,1.590000,3.939825,26.555000,0.022054,0.413054,0.027467,0.725738,19.775893,0.005745,1.210548,4.136223,0.002099,1.623633,1.511275,0.000550,2.301780,0.395672,0.000070,3.831154,0.050183
12,377149,0.295045,0.165000,0.690000,1.925000,4.325000,53.260000,0.014896,0.488389,0.048254,0.658125,34.742980,0.009057,1.074019,6.521348,0.002834,1.584729,2.040785,0.000626,2.677945,0.450538,0.000072,8.200741,0.051545
13,379606,0.399040,0.245000,0.915000,2.380000,5.010000,28.910000,0.008148,0.526780,0.083523,0.654952,60.136879,0.016127,0.970804,11.611618,0.005045,1.258582,3.632187,0.001009,1.567546,0.726437,0.000047,3.022778,0.034141
14,379865,0.404608,0.245000,0.930000,2.455000,5.055680,17.675000,0.008058,0.541393,0.086802,0.672547,62.497361,0.017456,0.987191,12.568465,0.005736,1.221120,4.130099,0.001035,1.685929,0.744896,0.000050,1.968158,0.036013
15,379176,0.351845,0.200000,0.800000,2.325000,6.000000,30.585000,0.010380,0.604027,0.065368,0.777429,47.065004,0.014049,1.376679,10.115197,0.005464,1.915632,3.934426,0.001569,2.881844,1.129818,0.000256,4.174175,0.184189
16,377196,0.277723,0.155000,0.640000,1.920000,4.530000,14.825000,0.015605,0.453942,0.043208,0.706892,31.109980,0.009131,1.103608,6.573983,0.003354,1.331258,2.414660,0.000713,1.550000,0.513473,0.000040,1.761333,0.028632
17,372494,0.242149,0.130000,0.560000,1.720000,4.260000,13.830000,0.019377,0.418385,0.033415,0.704476,24.059018,0.007012,1.104517,5.048779,0.002497,1.412656,1.797613,0.000575,1.576238,0.413644,0.000032,1.432083,0.023195
18,366751,0.229166,0.110000,0.525000,1.785000,4.921250,30.160000,0.023670,0.509003,0.032248,0.844559,23.218587,0.007823,1.412138,5.632377,0.003152,1.903694,2.269442,0.000965,2.517585,0.694967,0.000131,3.191771,0.094233
19,360757,0.214334,0.105000,0.505000,1.675000,3.911220,16.420000,0.025599,0.408792,0.029319,0.722811,21.109611,0.006628,1.013827,4.771966,0.002195,1.231250,1.580676,0.000402,1.593517,0.289391,0.000019,3.147143,0.013971
20,318434,0.190216,0.090000,0.450000,1.560000,3.807835,16.415000,0.031102,0.401608,0.024931,0.734831,17.950596,0.005599,1.086939,4.031479,0.002016,1.322321,1.451604,0.000437,1.590360,0.314288,0.000025,2.476250,0.018089
21,93262,0.184070,0.075000,0.435000,1.775000,4.139780,17.485000,0.032714,0.461805,0.029412,0.792545,21.176471,0.007538,1.024003,5.427291,0.002584,1.203548,1.860565,0.000418,1.563462,0.301087,0.000021,3.772500,0.015440
22,187632,0.238463,0.105000,0.575000,1.950000,4.636845,30.095000,0.029995,0.561292,0.039210,0.799448,28.231005,0.009396,1.233658,6.765157,0.003304,1.804292,2.379125,0.000805,3.262623,0.579432,0.000144,6.629815,0.103607
23,312267,0.231254,0.100000,0.560000,1.925000,4.727340,28.000000,0.033353,0.532978,0.038643,0.792792,27.823113,0.009184,1.226632,6.612803,0.003340,1.671644,2.404865,0.000849,2.439038,0.611016,0.000115,4.000139,0.083006
