month,mean,p99,slip,P_J_gt_1,P_J_gt_3
2024-09,0.137501,0.745000,0.169335,0.003383,0.000087
2024-10,0.136183,0.735000,0.166614,0.003270,0.000049
2024-11,0.157068,0.790000,0.175562,0.003878,0.000060
2024-12,0.128005,0.655000,0.144453,0.001722,0.000034
2025-01,0.131360,0.690000,0.155273,0.002611,0.000058
2025-02,0.157506,0.860000,0.188605,0.006040,0.000071
2025-03,0.153726,0.815000,0.178535,0.004330,0.000053
2025-04,0.292907,1.515000,0.327901,0.038961,0.000565
2025-05,0.250449,1.265000,0.272380,0.022061,0.000255
2025-06,0.206957,1.100000,0.237078,0.013643,0.000188
2025-07,0.165030,0.895000,0.201121,0.006874,0.000149
2025-08,0.158916,0.860000,0.195082,0.005879,0.000191
2025-09,0.202764,1.030000,0.227979,0.010967,0.000146
2025-10,0.404510,2.240000,0.491279,0.085683,0.003543
2025-11,0.321339,1.620000,0.353332,0.047618,0.000713
2025-12,0.294046,1.655000,0.360911,0.041973,0.001271
2026-01,0.471511,3.735000,0.913902,0.106279,0.015333
2026-02,0.608946,4.085000,0.890940,0.177752,0.022975
2026-03,0.674668,3.865000,0.835460,0.209674,0.021554
2026-04,0.418032,2.174950,0.483569,0.089448,0.003510
2026-05,0.371990,1.925000,0.420307,0.069288,0.001923
2026-06,0.372243,1.925000,0.426475,0.069956,0.001966
2026-07,0.303703,1.620000,0.382241,0.041763,0.001224
2026-08,0.339827,1.845000,0.432868,0.056269,0.001836
2026-09,0.357378,1.840000,0.499821,0.061036,0.001917
