hour,slip_all,slip_train,slip_test,slip_wins999,slip_excl_top10
0,0.4858,0.2847,0.6029,0.4425,0.4709
1,0.5708,0.2839,0.7485,0.5165,0.5558
2,0.4534,0.2276,0.6012,0.4098,0.4444
3,0.3556,0.1923,0.4677,0.3247,0.3477
4,0.2908,0.1760,0.3716,0.2677,0.2856
5,0.3920,0.2212,0.5050,0.3545,0.3794
6,0.4019,0.2205,0.5312,0.3656,0.3919
7,0.3803,0.2334,0.4926,0.3478,0.3727
8,0.3850,0.2442,0.4909,0.3523,0.3730
9,0.3827,0.2171,0.5061,0.3435,0.3731
10,0.3438,0.2050,0.4485,0.3179,0.3388
11,0.4131,0.2165,0.5584,0.3546,0.3931
12,0.4884,0.3006,0.6374,0.4162,0.4464
13,0.5268,0.3281,0.6795,0.5007,0.5192
14,0.5414,0.3327,0.6955,0.5152,0.5361
15,0.6040,0.2737,0.8231,0.5190,0.5840
16,0.4539,0.2414,0.5988,0.4227,0.4470
17,0.4184,0.2227,0.5487,0.3849,0.4112
18,0.5090,0.2540,0.6653,0.4268,0.4850
19,0.4088,0.2093,0.5304,0.3761,0.3998
20,0.4016,0.2056,0.5142,0.3615,0.3903
21,0.4618,0.1411,0.5796,0.4249,0.4374
22,0.5613,0.4434,0.6445,0.4481,0.4990
23,0.5330,0.2522,0.6840,0.4566,0.5064
