strategy,n,nominal_gap_mean,nominal_gap_p50,abs_gap_p50,share_abs_gap_gt_0.05,entry_mkt_mean,entry_comp_vs_nominal,drift_5s
c03_fvg_fill,2161.0000,0.0000,0.0000,0.0000,0.0000,0.4284,0.4284,0.1124
s03_ob_mitigation,6703.0000,0.0000,0.0000,0.0000,0.0000,0.3464,0.3464,0.0410
s04_breaker_block,6613.0000,-0.0000,0.0000,0.0000,0.0000,0.3734,0.3734,0.0261
s100_m3_combo,4579.0000,0.0652,0.0000,0.4250,0.7823,0.3712,0.4364,0.0138
s10_90min_fade,9401.0000,-0.0001,0.0000,0.0050,0.0000,0.3403,0.3403,0.0049
s11_m90_fade_ny,1810.0000,-0.0002,0.0000,0.0050,0.0000,0.3589,0.3587,0.0152
s12_m90_fade_bias,4089.0000,-0.0001,0.0000,0.0000,0.0000,0.3779,0.3778,0.0399
s14_ob_mit_bias,3970.0000,0.0000,0.0000,0.0050,0.0000,0.3753,0.3753,0.0731
s93_fvg_scalp,493.0000,-0.0292,-0.0700,0.6550,0.9594,0.3901,0.3609,0.0566
s94_sweep_reversal,1304.0000,0.1065,0.0000,0.6150,0.9317,0.3758,0.4823,0.0084
s95_session_breakout,999.0000,-1.0678,-0.9900,1.4400,0.9880,0.4691,-0.5987,0.1448
s96_h1_momentum,775.0000,1.3425,0.5100,1.5750,0.9794,0.3781,1.7206,0.0247
s97_snap_scalper_m5,730.0000,2.3753,1.7350,1.7825,0.9808,0.1564,2.5317,-0.1645
s98_zscore_mr_m15,39.0000,-0.6713,-0.2200,0.5900,0.9231,0.4526,-0.2187,0.1304
s99_mss_fvg,1871.0000,-0.0039,-0.0500,0.5900,0.9460,0.3489,0.3450,0.0068
