hour,n_stops,overshoot_mean,overshoot_p50,overshoot_p90,overshoot_train,overshoot_test,share_gt_1pt
0,69.0000,0.5628,0.2900,1.1600,0.2792,0.7342,0.1159
1,390.0000,0.4215,0.2100,1.0820,0.2934,0.5383,0.1128
2,315.0000,0.4300,0.2200,0.8660,0.2736,0.5398,0.0952
3,288.0000,0.2751,0.1600,0.6630,0.2305,0.3108,0.0486
4,222.0000,0.2884,0.1500,0.7490,0.2475,0.3110,0.0541
5,323.0000,0.4163,0.1900,0.8460,0.2792,0.5112,0.0805
6,459.0000,0.3294,0.1800,0.7700,0.2458,0.4051,0.0632
7,3077.0000,0.3057,0.1700,0.7000,0.2204,0.3927,0.0536
8,1709.0000,0.2951,0.1600,0.7300,0.2108,0.3706,0.0515
9,2380.0000,0.3525,0.1600,0.7110,0.2119,0.4842,0.0563
10,2278.0000,0.3104,0.1500,0.7100,0.1980,0.4097,0.0593
11,1184.0000,0.3073,0.1600,0.6500,0.2128,0.3962,0.0583
12,2100.0000,0.3892,0.1900,0.8510,0.3037,0.4737,0.0743
13,4049.0000,0.4677,0.2500,1.0400,0.3445,0.6154,0.1052
14,2457.0000,0.3975,0.2100,0.9040,0.2874,0.5500,0.0863
15,3638.0000,0.4715,0.2200,1.0700,0.2771,0.6884,0.1119
16,550.0000,0.5730,0.2100,0.9110,0.2584,0.8809,0.0964
17,164.0000,0.6982,0.1200,0.8260,0.2191,1.4865,0.0854
18,26.0000,0.4992,0.2800,1.2450,0.2660,0.6450,0.1538
19,26.0000,2.0108,0.3100,1.1150,3.4157,0.3717,0.1538
20,20.0000,2.0305,0.1400,2.7480,0.4970,3.5640,0.2000
21,7.0000,0.5550,0.3150,1.2380,0.1700,0.6192,0.1429
22,25.0000,0.9096,0.3900,2.0540,0.7131,1.2589,0.2400
23,38.0000,1.4345,0.2650,2.4320,0.5433,1.8458,0.2105
