utc,n,p50,p95,p99
20:30,5718,0.6300,1.0700,1.3883
20:31,5570,0.6300,1.0800,1.4900
20:32,5571,0.6400,1.1050,1.5400
20:33,5580,0.6400,1.0900,1.4721
20:34,5574,0.6500,1.0900,1.4127
20:35,5623,0.6500,1.0800,1.3800
20:36,5637,0.6500,1.0900,1.4064
20:37,5584,0.6400,1.0900,1.5200
20:38,5627,0.6500,1.0800,1.5700
20:39,5597,0.6400,1.0900,1.6804
20:40,5612,0.6500,1.1300,1.5300
20:41,5578,0.6500,1.1200,1.6700
20:42,5561,0.6600,1.1100,1.5540
20:43,5538,0.6700,1.1315,1.5600
20:44,5563,0.6700,1.1700,1.6538
20:45,5739,0.6800,1.1800,1.6562
20:46,5609,0.6800,1.1600,1.5192
20:47,5635,0.6900,1.1500,1.5066
20:48,5603,0.6900,1.1700,1.6696
20:49,5619,0.7000,1.1700,1.5628
20:50,5725,0.7000,1.1900,1.5876
20:51,5604,0.7000,1.1900,1.6100
20:52,5647,0.7000,1.1700,1.6500
20:53,5570,0.6900,1.2200,1.7531
20:54,5666,0.7000,1.2900,2.3200
20:55,5762,0.6900,1.3700,2.6300
20:56,5605,0.6900,1.4600,2.5600
20:57,5736,0.7000,1.5300,3.0030
20:58,5796,0.7100,1.6700,3.4400
20:59,2464,0.6200,1.2400,2.5211
21:00,1937,0.6700,1.2200,1.8420
21:01,1877,0.6700,1.2400,1.9048
21:02,1844,0.6800,1.2500,1.9414
21:03,1828,0.6900,1.2300,1.8992
21:04,1798,0.6900,1.2300,1.8903
21:05,1838,0.6900,1.2115,2.0763
21:06,1806,0.6900,1.2200,1.8900
21:07,1785,0.6900,1.2280,1.6932
21:08,1745,0.7000,1.2300,1.5600
21:09,1783,0.6900,1.2200,1.7154
21:10,1791,0.7000,1.2500,1.8570
21:11,1776,0.7100,1.2300,2.0350
21:12,1738,0.6900,1.2400,1.9063
21:13,1722,0.7100,1.3000,1.9579
21:14,1767,0.7000,1.2700,1.8334
21:15,1758,0.7100,1.2115,1.7987
21:16,1752,0.7000,1.2800,2.0049
21:17,1712,0.7100,1.2900,2.2257
21:18,1731,0.7100,1.3000,2.0340
21:19,1701,0.7000,1.2400,1.8500
21:20,1741,0.7100,1.2600,1.8760
21:21,1742,0.7000,1.2200,1.9900
21:22,1745,0.7100,1.2200,2.5712
21:23,1715,0.7100,1.2730,2.5032
21:24,1706,0.7000,1.2600,2.6085
21:25,1723,0.7100,1.2600,2.4056
21:26,1743,0.6800,1.2200,2.5550
21:27,1702,0.6900,1.2600,2.4594
21:28,1694,0.6800,1.2700,2.6128
21:29,1839,0.6800,1.2510,2.4262
21:30,1778,0.7100,1.3315,2.2946
21:31,1713,0.7200,1.2740,1.6588
21:32,1727,0.7300,1.3000,2.1974
21:33,1721,0.7200,1.3400,2.1640
21:34,1693,0.7200,1.3400,2.1808
21:35,1700,0.7200,1.2600,1.8606
21:36,1718,0.7300,1.2615,1.9983
21:37,1686,0.7200,1.2675,2.0660
21:38,1670,0.7300,1.3755,1.8993
21:39,1692,0.7300,1.4200,2.1000
21:40,1764,0.7100,1.3400,2.0274
21:41,1691,0.7200,1.3950,2.0220
21:42,1684,0.7400,1.3800,1.9900
21:43,1712,0.7400,1.3545,2.1067
21:44,1717,0.7400,1.4400,1.9068
21:45,1758,0.7500,1.4315,2.3043
21:46,1715,0.7500,1.4030,2.1816
21:47,1713,0.7400,1.4900,2.1540
21:48,1735,0.7600,1.5330,2.2732
21:49,1771,0.7600,1.4950,2.2160
21:50,1804,0.7700,1.4900,2.3100
21:51,1737,0.7700,1.4960,2.2864
21:52,1692,0.7800,1.4800,2.3145
21:53,1688,0.8000,1.5465,2.2900
21:54,1725,0.7900,2.3380,3.9480
21:55,1744,0.8100,2.6500,3.9099
21:56,1740,0.8400,2.7400,5.0000
21:57,1756,0.9100,2.8800,5.0000
21:58,1750,0.9600,3.1955,5.0000
21:59,226,1.0600,3.9175,5.7200
22:00,0,,,
22:01,0,,,
22:02,0,,,
22:03,0,,,
22:04,282,0.9100,2.0390,5.0247
22:05,3052,0.8950,2.1000,4.6039
22:06,2961,0.8800,1.9700,4.3520
22:07,2918,0.8800,2.0030,4.5043
22:08,2923,0.8700,1.8590,4.8944
22:09,2982,0.8500,1.9000,5.0000
22:10,2979,0.8400,1.7800,4.0344
22:11,2958,0.8400,1.7515,3.3615
22:12,2946,0.8200,1.6900,2.8465
22:13,2929,0.8200,1.6600,3.6448
22:14,2927,0.8200,1.5470,3.6848
22:15,3009,0.8000,1.4360,2.3800
22:16,2960,0.7900,1.4200,2.4505
22:17,2924,0.7800,1.5585,2.0377
22:18,2939,0.7800,1.4900,3.4886
22:19,2938,0.7700,1.4400,3.6112
22:20,3023,0.7400,1.3990,3.0012
22:21,2979,0.7600,1.3300,2.5976
22:22,2947,0.7500,1.3470,3.1926
22:23,2926,0.7500,1.3200,3.2500
22:24,2906,0.7500,1.3800,2.2745
22:25,2961,0.7600,1.3800,2.2000
22:26,2911,0.7400,1.4400,2.4060
22:27,2916,0.7500,1.3925,1.8485
22:28,2915,0.7500,1.3400,1.7786
22:29,2951,0.7400,1.3200,1.7000
