hour,n,mean,p50,p95,p99
0,369669,0.7182,0.6700,1.2200,2.8200
1,379030,0.7106,0.6600,1.2000,2.7700
2,377048,0.6859,0.6500,1.1200,2.8300
3,373122,0.6790,0.6400,1.0900,2.6500
4,364996,0.6691,0.6400,1.0600,2.5200
5,374233,0.6763,0.6400,1.0700,2.9500
6,377965,0.6587,0.6100,1.0800,2.9500
7,377631,0.6252,0.5900,1.0100,2.5200
8,377173,0.6191,0.5900,0.9800,2.4300
9,376548,0.6167,0.5800,0.9600,4.8145
10,375853,0.6131,0.5800,0.9700,3.2000
11,376389,0.6173,0.5800,0.9700,3.8361
12,378546,0.6289,0.6000,0.9900,3.3500
13,379867,0.6467,0.6100,1.0400,2.9700
14,380007,0.6378,0.6000,1.0400,2.2400
15,379629,0.6255,0.5900,1.0100,2.8800
16,378475,0.6217,0.5800,0.9900,2.4053
17,374866,0.6297,0.5900,1.0100,2.4700
18,370535,0.6338,0.5900,1.0200,3.4100
19,364830,0.6255,0.5800,1.0000,2.6100
20,337253,0.6897,0.6400,1.1200,4.2950
21,103259,0.8018,0.7300,1.4100,5.0000
22,205201,0.8646,0.7700,1.5100,5.3780
23,335595,0.8219,0.7300,1.4800,6.3122
