hour,weekday,n,mean,p50,p95,p99
0,0,75386,0.7654,0.6900,1.4300,2.0600
0,1,74693,0.6988,0.6600,1.1200,1.4700
0,2,73448,0.7052,0.6600,1.1800,1.6000
0,3,73379,0.7088,0.6600,1.2000,1.6800
0,4,72763,0.7115,0.6600,1.2100,1.7400
1,0,76824,0.7554,0.6900,1.3500,1.9100
1,1,76798,0.6946,0.6600,1.1400,1.5900
1,2,75403,0.6928,0.6500,1.1500,1.4800
1,3,75382,0.7022,0.6600,1.1800,1.7000
1,4,74623,0.7075,0.6500,1.2000,2.0300
2,0,76455,0.7116,0.6700,1.1800,1.5400
2,1,76401,0.6713,0.6400,1.0700,1.4200
2,2,75025,0.6720,0.6400,1.1000,1.3600
2,3,74908,0.6792,0.6400,1.1000,1.6600
2,4,74259,0.6951,0.6400,1.1400,1.9900
3,0,75746,0.6998,0.6700,1.1200,1.4500
3,1,75690,0.6616,0.6400,1.0300,1.3300
3,2,74149,0.6726,0.6400,1.1000,1.3800
3,3,74229,0.6735,0.6400,1.0700,1.4600
3,4,73308,0.6876,0.6300,1.1300,1.8900
4,0,74014,0.6841,0.6600,1.0600,1.4500
4,1,74067,0.6535,0.6300,1.0100,1.1900
4,2,72441,0.6689,0.6300,1.0600,1.3300
4,3,72510,0.6596,0.6300,1.0600,1.3400
4,4,71964,0.6794,0.6300,1.1000,1.8500
5,0,75738,0.6900,0.6500,1.0900,1.5200
5,1,76091,0.6673,0.6400,1.0600,1.3700
5,2,74502,0.6742,0.6400,1.0600,1.3400
5,3,74487,0.6670,0.6400,1.0600,1.3800
5,4,73415,0.6832,0.6400,1.1000,1.8300
6,0,76668,0.6731,0.6200,1.1000,1.6300
6,1,76602,0.6454,0.6100,1.0600,1.3400
6,2,75155,0.6492,0.6100,1.0800,1.3900
6,3,75187,0.6454,0.6100,1.0300,1.3800
6,4,74353,0.6804,0.6200,1.1600,1.9800
7,0,76591,0.6489,0.6000,1.0700,1.9000
7,1,76609,0.6146,0.5900,0.9900,1.2100
7,2,75134,0.6061,0.5800,0.9700,1.2000
7,3,75119,0.6114,0.5800,0.9700,1.2600
7,4,74178,0.6447,0.5900,1.0800,1.7100
8,0,76603,0.6275,0.6000,0.9900,1.5300
8,1,76551,0.6057,0.5900,0.9500,1.1400
8,2,75105,0.6067,0.5800,0.9700,1.1900
8,3,75151,0.6170,0.5800,0.9800,1.2800
8,4,73763,0.6388,0.5900,1.0500,1.6138
9,0,76384,0.6168,0.5900,0.9700,1.3800
9,1,76388,0.6019,0.5800,0.9300,1.1100
9,2,74906,0.6067,0.5800,0.9600,1.2100
9,3,75033,0.6047,0.5700,0.9400,1.2400
9,4,73837,0.6544,0.5900,1.0200,2.5500
10,0,76115,0.6238,0.5900,0.9900,1.2500
10,1,76194,0.5957,0.5700,0.9300,1.1200
10,2,74829,0.6031,0.5800,0.9600,1.1800
10,3,74912,0.6029,0.5700,0.9300,1.1900
10,4,73803,0.6405,0.5800,1.0300,2.3698
11,0,76182,0.6301,0.5900,0.9700,1.6000
11,1,76328,0.6056,0.5800,0.9600,1.2900
11,2,74951,0.6005,0.5800,0.9500,1.2000
11,3,74884,0.6056,0.5800,0.9300,1.1900
11,4,74044,0.6453,0.5800,1.0900,1.9900
12,0,76701,0.6195,0.6000,0.9400,1.3700
12,1,76768,0.6147,0.5900,0.9700,1.2400
12,2,75328,0.6131,0.5900,0.9800,1.1500
12,3,75326,0.6318,0.6100,0.9700,1.3200
12,4,74423,0.6664,0.6000,1.1100,2.0278
13,0,76957,0.6377,0.6000,0.9900,1.5444
13,1,77007,0.6272,0.6000,1.0000,1.3000
13,2,75572,0.6350,0.6100,1.0200,1.2400
13,3,75563,0.6518,0.6200,1.0600,1.4700
13,4,74768,0.6828,0.6200,1.1700,2.3000
14,0,76967,0.6319,0.5900,1.0100,1.4000
14,1,77022,0.6343,0.6000,1.0500,1.3700
14,2,75587,0.6285,0.6000,1.0000,1.2700
14,3,75575,0.6334,0.6000,1.0300,1.2900
14,4,74856,0.6614,0.6200,1.1000,1.6045
15,0,76789,0.6266,0.5800,0.9900,1.3600
15,1,77011,0.6162,0.5800,1.0000,1.3100
15,2,75550,0.6148,0.5800,1.0000,1.3500
15,3,75533,0.6299,0.5800,1.0000,1.5468
15,4,74746,0.6404,0.5900,1.0800,1.4300
16,0,76355,0.6199,0.5800,0.9900,1.2800
16,1,76877,0.6028,0.5800,0.9300,1.1500
16,2,75435,0.6092,0.5800,0.9600,1.2200
16,3,75352,0.6359,0.5800,1.0300,1.7700
16,4,74456,0.6414,0.6000,1.0300,1.4300
17,0,75788,0.6266,0.5900,0.9865,1.2500
17,1,76674,0.6163,0.5800,1.0000,1.2000
17,2,75239,0.6203,0.5800,0.9900,1.2600
17,3,74760,0.6398,0.5900,1.0300,1.3400
17,4,72405,0.6466,0.6000,1.0600,1.5100
18,0,73685,0.6261,0.5900,0.9800,1.2200
18,1,76083,0.6088,0.5700,0.9800,1.1700
18,2,74809,0.6447,0.6100,1.0700,1.3400
18,3,73835,0.6280,0.5800,1.0100,1.2900
18,4,72123,0.6625,0.6000,1.0600,2.1378
19,0,70832,0.6183,0.5700,0.9900,1.2100
19,1,75396,0.6067,0.5700,0.9800,1.1700
19,2,74102,0.6329,0.5900,1.0200,1.3800
19,3,72884,0.6229,0.5800,0.9900,1.2400
19,4,71616,0.6472,0.6000,1.0300,1.4200
20,0,64223,0.6592,0.6300,1.0400,1.2800
20,1,69501,0.6577,0.6300,1.0500,1.2400
20,2,69530,0.6813,0.6300,1.0800,1.4000
20,3,67149,0.6851,0.6400,1.0900,1.5700
20,4,66850,0.7654,0.6800,1.3700,2.5600
21,0,19438,0.7283,0.6800,1.3400,2.0800
21,1,21505,0.7463,0.7000,1.2300,1.5200
21,2,20906,0.7424,0.6900,1.3000,1.6100
21,3,19772,0.8188,0.7600,1.3000,2.5000
21,4,21638,0.9650,0.8400,2.2500,3.6000
22,0,40062,0.7936,0.7500,1.2700,1.7100
22,1,40031,0.8255,0.7500,1.4700,2.1800
22,2,41908,0.8616,0.7900,1.4100,2.1993
22,3,38877,0.8475,0.7500,1.3800,3.4800
22,6,44323,0.9819,0.8400,2.0600,3.5278
23,0,67337,0.7723,0.7100,1.2900,1.9900
23,1,65699,0.7767,0.7100,1.3500,1.8500
23,2,66452,0.7891,0.7200,1.3800,2.0000
23,3,65280,0.8282,0.7200,1.5300,3.5300
23,6,70827,0.9359,0.7600,1.9300,4.1074
