month,n,mean,p50,p95,p99,core_p50,core_p95,price,p50_bp
2024-09,328941,0.3881,0.3900,0.4600,0.5400,0.3800,0.4500,2571.3800,1.5167
2024-10,364692,0.4018,0.4000,0.4800,0.5300,0.3900,0.4600,2674.5600,1.4956
2024-11,333838,0.4108,0.4100,0.4900,0.5400,0.4100,0.4700,2649.3900,1.5475
2024-12,329067,0.5070,0.4700,0.7200,1.0700,0.4600,0.6600,2639.9150,1.7804
2025-01,347768,0.5460,0.5300,0.7400,1.0900,0.5200,0.7000,2705.4350,1.9590
2025-02,318981,0.5553,0.5400,0.7700,1.0400,0.5100,0.6800,2902.5250,1.8604
2025-03,333975,0.5381,0.5400,0.6800,0.7800,0.5100,0.6300,2995.5400,1.8027
2025-04,341412,0.6712,0.6500,0.9200,1.2000,0.6200,0.8400,3231.3750,2.0115
2025-05,353369,0.7873,0.7700,1.0100,1.1900,0.7500,0.9400,3294.5850,2.3372
2025-06,338081,0.6911,0.6800,0.8700,1.0000,0.6700,0.8200,3356.3050,2.0260
2025-07,360774,0.5777,0.5700,0.7400,0.8800,0.5500,0.7000,3337.9050,1.7077
2025-08,328163,0.5842,0.5500,0.7800,1.4500,0.5300,0.7300,3361.5450,1.6362
2025-09,353123,0.5774,0.5800,0.7400,0.9500,0.5600,0.6800,3653.0000,1.5877
2025-10,375512,0.7958,0.7400,1.2400,1.6400,0.7100,1.1200,4034.3350,1.8343
2025-11,320302,0.8178,0.7600,1.0600,2.2600,0.7200,1.0000,4079.9025,1.8628
2025-12,355426,0.8517,0.8000,1.2300,1.5200,0.7600,1.1700,4310.8050,1.8558
2026-01,343168,1.0834,0.9900,1.8400,2.8500,0.9400,1.5800,4628.1950,2.1391
2026-02,324638,0.9877,0.8800,1.8100,2.6000,0.8000,1.6000,5016.8450,1.7541
2026-03,361883,0.9109,0.8700,1.3300,1.8300,0.8000,1.2900,5009.8550,1.7366
2026-04,344025,0.7694,0.7400,1.1600,1.5300,0.6900,1.0200,4727.1100,1.5654
2026-05,342531,0.6652,0.6600,0.9600,1.1300,0.6200,0.8600,4561.0850,1.4470
2026-06,358446,0.6672,0.6600,0.9400,1.1200,0.6200,0.8300,4224.4675,1.5623
2026-07,372695,0.6018,0.6000,0.8300,0.9800,0.5700,0.7600,4065.5750,1.4758
2026-08,345698,0.5696,0.5600,0.7900,0.9200,0.5300,0.7300,4398.1600,1.2733
2026-09,211212,0.5484,0.5400,0.7900,0.9100,0.5300,0.7500,4367.0775,1.2365
