utc,n,p50,p95,p99
22:04,70,1.1650,3.2475,4.3583
22:05,818,1.1550,3.9630,5.0000
22:06,821,1.1400,3.7000,5.0000
22:07,820,1.0900,3.4700,5.0000
22:08,822,1.1000,3.0175,5.0000
22:09,827,1.0700,3.2650,5.0000
22:10,833,1.0400,3.5700,5.0000
22:11,832,0.9900,3.0390,4.2821
22:12,822,0.9700,2.8695,4.1016
22:13,830,0.9200,2.7675,3.3942
22:14,830,0.9750,2.4355,3.2339
22:15,831,0.9600,2.6250,3.3170
22:16,826,0.9300,2.7000,3.8000
22:17,815,0.9100,2.8590,4.0072
22:18,808,0.9000,2.4065,3.9593
22:19,800,0.8700,2.3910,3.6810
22:20,812,0.8200,2.2445,2.9367
22:21,819,0.8400,1.9410,2.3982
22:22,817,0.8600,1.9400,2.7168
22:23,809,0.8600,1.8000,2.7676
22:24,804,0.8400,1.9500,2.6488
22:25,796,0.8250,1.8500,2.7400
22:26,816,0.8600,1.8100,2.9465
22:27,811,0.8300,1.6950,2.5050
22:28,804,0.8200,1.7300,4.9838
22:29,794,0.7900,1.7535,4.3397
22:30,803,0.8900,1.7890,2.5890
22:31,819,0.8400,1.8300,2.6828
22:32,812,0.8200,1.7500,2.6689
22:33,813,0.8400,1.7900,2.4564
22:34,803,0.8300,1.7200,2.8700
22:35,797,0.8100,1.6800,2.4128
22:36,800,0.8400,1.6910,2.5701
22:37,807,0.8300,1.5700,2.4858
22:38,793,0.8000,1.5840,2.5340
22:39,804,0.8050,1.5300,2.3155
22:40,812,0.7800,1.5590,2.2667
22:41,793,0.7800,1.5000,2.5408
22:42,797,0.7800,1.4500,2.4924
22:43,791,0.7900,1.5500,2.9260
22:44,796,0.8000,1.5550,2.7405
22:45,797,0.7800,1.4900,2.3856
22:46,783,0.7800,1.5090,2.3432
22:47,768,0.7900,1.5395,2.6933
22:48,790,0.7800,1.4855,2.6010
22:49,788,0.7650,1.4865,2.6526
22:50,792,0.7500,1.4090,2.6090
22:51,797,0.7300,1.3940,3.0708
22:52,796,0.7350,1.5525,2.8835
22:53,786,0.7300,1.5100,2.0550
22:54,782,0.7400,1.5885,2.2500
22:55,790,0.7500,1.6065,2.4533
22:56,790,0.7600,1.4620,2.3211
22:57,789,0.7500,1.3900,1.7884
22:58,774,0.7700,1.3800,1.8781
22:59,774,0.7550,1.3100,1.7827
23:00,823,0.7700,1.4800,1.9300
23:01,821,0.7800,1.5400,1.9340
23:02,805,0.7800,1.5160,1.9196
23:03,804,0.7800,1.4100,1.8985
23:04,851,0.7800,1.7700,2.8750
23:05,1217,0.8400,4.3460,9.0048
23:06,1209,0.8300,3.7120,6.1516
23:07,1196,0.8500,3.3825,6.0400
23:08,1217,0.8400,3.0400,5.5692
23:09,1219,0.8000,2.9700,5.0000
23:10,1227,0.8000,2.6000,5.0000
23:11,1210,0.8100,2.5900,4.3357
23:12,1202,0.8100,2.3790,3.5194
23:13,1200,0.7900,2.5900,4.8814
23:14,1205,0.8200,2.2260,4.7980
23:15,1204,0.7800,1.9070,4.2993
23:16,1210,0.7800,2.0555,2.8155
23:17,1200,0.8100,1.9900,3.0973
23:18,1204,0.7900,2.0500,3.2643
23:19,1204,0.7800,2.0270,2.9679
23:20,1217,0.7800,1.8700,3.2200
23:21,1198,0.7800,1.9300,2.7949
23:22,1206,0.7800,1.8600,3.2685
23:23,1209,0.7900,1.6800,2.8784
23:24,1204,0.7700,1.7255,2.8434
23:25,1205,0.7900,1.8200,2.9896
23:26,1197,0.7800,1.7940,3.4728
23:27,1186,0.7700,1.9675,4.2915
23:28,1211,0.7700,1.7850,3.3520
23:29,1200,0.7800,1.9010,3.0529
23:30,1213,0.7600,1.6760,2.7652
23:31,1208,0.7600,1.7200,4.1355
23:32,1214,0.7600,1.7635,3.5227
23:33,1197,0.7800,1.8620,2.6124
23:34,1221,0.7600,1.7700,3.0040
23:35,1199,0.7700,1.7610,4.8530
23:36,1196,0.7550,1.7200,4.6160
23:37,1209,0.7600,1.7560,2.6776
23:38,1190,0.7300,1.8655,3.3229
23:39,1202,0.7500,1.7695,2.7888
23:40,1199,0.7200,1.7510,3.9752
23:41,1190,0.7200,1.6100,4.1577
23:42,1205,0.7200,1.6820,4.0624
23:43,1190,0.7400,1.8365,4.0433
23:44,1194,0.7500,1.8735,4.7342
23:45,1242,0.7300,1.6600,5.0000
23:46,1243,0.7300,1.7500,4.0658
23:47,1220,0.7600,1.8805,2.6401
23:48,1236,0.7600,1.8600,2.5450
23:49,1230,0.7450,1.7310,2.3897
23:50,1247,0.7300,1.8400,2.3378
23:51,1243,0.7400,1.7300,2.2858
23:52,1226,0.7250,1.7300,2.0675
23:53,1254,0.6900,1.7170,2.1100
23:54,1224,0.7100,1.7300,2.1177
23:55,1238,0.7300,1.6500,2.1326
23:56,1240,0.7000,1.5600,2.0588
23:57,1227,0.7000,1.6970,2.1574
23:58,1232,0.7100,1.6900,2.2438
23:59,1237,0.7000,1.6340,2.1728
