model,stop_pad,cost,split,n,tp_rate,pf,net
quote_hl,0.2,0.45,TRAIN,9492,0.10040033712600084,0.19285002960207742,-9706.249999998814
quote_hl,0.2,0.45,TEST,7965,0.12768361581920903,0.3582183668745246,-8816.372499999103
quote_hl,0.2,0.8,TRAIN,9492,0.10040033712600084,0.13220533025862446,-13028.449999998818
quote_hl,0.2,0.8,TEST,7965,0.12768361581920903,0.2822979520596906,-11604.122499999106
quote_hl,1.0,0.45,TRAIN,9492,0.21091445427728614,0.39761384927557386,-10072.214499999987
quote_hl,1.0,0.45,TEST,7965,0.20816070307595733,0.4753517389085522,-9378.429999999982
quote_hl,1.0,0.8,TRAIN,9492,0.21091445427728614,0.3074329779620667,-13394.414499999992
quote_hl,1.0,0.8,TEST,7965,0.20816070307595733,0.3941447893350949,-12166.179999999982
quote_c,0.2,0.45,TRAIN,9405,0.09494949494949495,0.1825739213887462,-9808.707499998802
quote_c,0.2,0.45,TEST,7904,0.11424595141700405,0.3270866464321102,-9337.62999999906
quote_c,0.2,0.8,TRAIN,9405,0.09494949494949495,0.12535358516394157,-13100.457499998807
quote_c,0.2,0.8,TEST,7904,0.11424595141700405,0.25860735948587704,-12104.029999999064
quote_c,1.0,0.45,TRAIN,9405,0.20138224348750663,0.37937823334714277,-10390.891499999992
quote_c,1.0,0.45,TEST,7904,0.19142206477732793,0.4341244877376563,-10249.514999999996
quote_c,1.0,0.8,TRAIN,9405,0.20138224348750663,0.29360872352841294,-13682.641499999998
quote_c,1.0,0.8,TEST,7904,0.19142206477732793,0.36031611874086716,-13015.914999999997
mid_hl,0.2,0.45,TRAIN,9672,0.3242349048800662,0.5340519491684954,-4395.112999999944
mid_hl,0.2,0.45,TEST,8070,0.3277571251548947,0.7246302436970135,-3086.73249999999
mid_hl,0.2,0.8,TRAIN,9672,0.3242349048800662,0.33608389479838546,-7780.3129999999455
mid_hl,0.2,0.8,TEST,8070,0.3277571251548947,0.5490176967924802,-5911.232499999991
mid_hl,1.0,0.45,TRAIN,9672,0.331575682382134,0.70645976901976,-4251.486999999997
mid_hl,1.0,0.45,TEST,8070,0.3371747211895911,0.8046103636321265,-3018.277500000001
mid_hl,1.0,0.8,TRAIN,9672,0.331575682382134,0.5438490190067218,-7636.686999999998
mid_hl,1.0,0.8,TEST,8070,0.3371747211895911,0.6626090730029051,-5842.777500000002
