POST-HOC DIAGNOSTIC — A0 entries under alternative exit models (not pre-registered):
   model  stop_pad  cost split    n  tp_rate    pf        net
quote_hl     0.200 0.450 TRAIN 9492    0.100 0.193  -9706.250
quote_hl     0.200 0.450  TEST 7965    0.128 0.358  -8816.372
quote_hl     0.200 0.800 TRAIN 9492    0.100 0.132 -13028.450
quote_hl     0.200 0.800  TEST 7965    0.128 0.282 -11604.122
quote_hl     1.000 0.450 TRAIN 9492    0.211 0.398 -10072.214
quote_hl     1.000 0.450  TEST 7965    0.208 0.475  -9378.430
quote_hl     1.000 0.800 TRAIN 9492    0.211 0.307 -13394.414
quote_hl     1.000 0.800  TEST 7965    0.208 0.394 -12166.180
 quote_c     0.200 0.450 TRAIN 9405    0.095 0.183  -9808.707
 quote_c     0.200 0.450  TEST 7904    0.114 0.327  -9337.630
 quote_c     0.200 0.800 TRAIN 9405    0.095 0.125 -13100.457
 quote_c     0.200 0.800  TEST 7904    0.114 0.259 -12104.030
 quote_c     1.000 0.450 TRAIN 9405    0.201 0.379 -10390.891
 quote_c     1.000 0.450  TEST 7904    0.191 0.434 -10249.515
 quote_c     1.000 0.800 TRAIN 9405    0.201 0.294 -13682.641
 quote_c     1.000 0.800  TEST 7904    0.191 0.360 -13015.915
  mid_hl     0.200 0.450 TRAIN 9672    0.324 0.534  -4395.113
  mid_hl     0.200 0.450  TEST 8070    0.328 0.725  -3086.732
  mid_hl     0.200 0.800 TRAIN 9672    0.324 0.336  -7780.313
  mid_hl     0.200 0.800  TEST 8070    0.328 0.549  -5911.232
  mid_hl     1.000 0.450 TRAIN 9672    0.332 0.706  -4251.487
  mid_hl     1.000 0.450  TEST 8070    0.337 0.805  -3018.278
  mid_hl     1.000 0.800 TRAIN 9672    0.332 0.544  -7636.687
  mid_hl     1.000 0.800  TEST 8070    0.337 0.663  -5842.778
