TRAIN_n,TRAIN_pf,TRAIN_net,TRAIN_wr,TEST_n,TEST_pf,TEST_net,TEST_wr,TEST_months,TEST_months_pos,TEST_max_month_share,up_months_net,down_months_net,gold_corr,bar_n,bar_train,bar_months,bar_regime,arm,cost,bar_pf_both,PASS
9492,0.19285002960207742,-9706.249999998814,0.1006110408765276,7965,0.3582183668745246,-8816.372499999103,0.12793471437539233,10,0.0,,-12541.576999998588,-5981.045499999334,0.09461335264930934,True,False,False,True,A0,0.45,False,False
9492,0.13220533025862446,-13028.449999998818,0.1006110408765276,7965,0.2822979520596906,-11604.122499999106,0.12793471437539233,10,0.0,,-16645.676999998588,-7986.895499999335,0.11038073511782935,True,False,False,True,A0,0.8,False,False
3678,0.23767166758527145,-3596.7919999995866,0.12044589450788472,2830,0.3837093251073055,-3093.677499999681,0.14098939929328622,10,0.0,,-4522.910999999487,-2167.558499999782,0.08777276128207545,True,False,False,True,A1,0.45,False,False
3678,0.1651719155379656,-4884.091999999589,0.12044589450788472,2830,0.3043098888800869,-4084.1774999996824,0.14098939929328622,10,0.0,,-6066.410999999487,-2901.858499999782,0.09126184160446203,True,False,False,True,A1,0.8,False,False
4664,0.2922936674695237,-4797.281499999561,0.15180102915951973,2875,0.5413411787493018,-3220.477499999801,0.208,10,0.0,,-5497.85349999957,-2519.9054999997925,-0.034005214214947656,True,False,False,True,A2,0.45,False,False
4664,0.2123608991682441,-6429.681499999562,0.15180102915951973,2875,0.45939129956538455,-4226.727499999802,0.208,10,0.0,,-7293.0034999995705,-3363.4054999997925,-0.032649347122981696,True,False,False,True,A2,0.8,False,False
1639,0.3802090200476796,-1544.1989999998914,0.19035997559487491,988,0.5686037241475338,-1099.8199999999388,0.2216599190283401,10,0.0,,-1793.7429999998783,-850.2759999999523,-0.03929949303480286,True,False,False,True,A3,0.45,False,False
1639,0.28352616863672336,-2117.848999999892,0.19035997559487491,988,0.4871128054161744,-1445.619999999939,0.2216599190283401,10,0.0,,-2427.242999999878,-1136.2259999999524,-0.061614676975722385,True,False,False,True,A3,0.8,False,False
3248,0.2341111223533967,-3235.970499999635,0.11822660098522167,1692,0.3957032729848537,-2081.6299999998155,0.15070921985815602,10,0.0,,-3688.56899999963,-1629.0314999998218,-0.1274328800825496,True,False,False,True,A4,0.45,False,False
3248,0.16350916089710682,-4372.770499999637,0.11822660098522167,1692,0.32268062259588903,-2673.829999999816,0.15070921985815602,10,0.0,,-4887.668999999631,-2158.9314999998214,-0.1350041383156698,True,False,False,True,A4,0.8,False,False
1225,0.2990188049602578,-1142.7079999998755,0.13795918367346938,593,0.4553690782662621,-686.5099999999302,0.15682967959527824,10,0.0,,-1265.1879999998719,-564.0299999999337,0.04357971894533647,True,False,False,True,A5,0.45,False,False
1225,0.2141747364051959,-1571.4579999998757,0.13795918367346938,593,0.37718085273127405,-894.0599999999304,0.15682967959527824,10,0.0,,-1710.0379999998718,-755.4799999999337,0.009877380032817674,True,False,False,True,A5,0.8,False,False
709,0.4112357039078966,-632.1679999999558,0.18758815232722145,297,0.6005125301707547,-335.1599999999711,0.2255892255892256,10,0.1,,-670.6054999999527,-296.7224999999742,0.009625591613966356,True,False,False,True,A6,0.45,False,False
709,0.309727754602748,-880.3179999999559,0.18758815232722145,297,0.5224339976617148,-439.10999999997114,0.2255892255892256,10,0.0,,-921.5554999999526,-397.8724999999742,-0.025933075874547802,True,False,False,True,A6,0.8,False,False
