TRAIN_n,TRAIN_pf,TRAIN_net,TRAIN_wr,TEST_n,TEST_pf,TEST_net,TEST_wr,TEST_months,TEST_months_pos,TEST_max_month_share,up_months_net,down_months_net,gold_corr,bar_n,bar_train,bar_months,bar_regime,arm,cost
3549,0.18989666703370958,-3494.5629999995563,0.10566356720202874,2715,0.29786661836480127,-3178.6174999996656,0.114548802946593,10,0.0,,-4402.552499999486,-2270.627999999737,0.10916239048731355,True,False,False,True,A0,0.45
3549,0.1268128211627445,-4736.712999999558,0.10566356720202874,2715,0.23090639165425364,-4128.867499999667,0.114548802946593,10,0.0,,-5880.602499999487,-2984.9779999997363,0.10699367951996937,True,False,False,True,A0,0.8
1709,0.2174039991283272,-1648.3889999997987,0.11702750146284377,1321,0.32907243526712454,-1514.7799999998597,0.1271763815291446,10,0.0,,-2069.5314999997736,-1093.6374999998852,0.32412367069246,True,False,False,True,A1,0.45
1709,0.14724844835314127,-2246.5389999997997,0.11702750146284377,1321,0.2570783341913065,-1977.1299999998598,0.1271763815291446,10,0.0,,-2784.2314999997734,-1439.4374999998854,0.30320965235941927,True,False,False,True,A1,0.8
2456,0.28712217800111095,-2506.3304999997627,0.15228013029315962,1577,0.5283638612200168,-1809.5699999998908,0.20672162333544705,10,0.0,,-3009.6434999997605,-1306.256999999894,-0.23575292746491563,True,False,False,True,A2,0.45
2456,0.20698870359647015,-3365.930499999763,0.15228013029315962,1577,0.44755146190587447,-2361.519999999891,0.20672162333544705,10,0.0,,-3966.543499999759,-1760.9069999998937,-0.22615522852049325,True,False,False,True,A2,0.8
1041,0.3474522214982315,-998.9804999999187,0.18059558117195004,669,0.5659107895624435,-730.3474999999651,0.21674140508221226,10,0.1,,-1108.0504999999137,-621.2774999999704,0.12393552260532545,True,False,False,True,A3,0.45
1041,0.2547836294390049,-1363.330499999919,0.18059558117195004,669,0.4830877614211969,-964.4974999999654,0.21674140508221226,10,0.1,,-1516.1504999999136,-811.6774999999705,0.10169412083586425,True,False,False,True,A3,0.8
2111,0.24871807867687043,-2008.4984999997714,0.12742775935575557,1172,0.4604402088992231,-1220.6649999998724,0.16638225255972697,10,0.0,,-2220.1959999997666,-1008.9674999998772,-0.0862639285597751,True,False,False,True,A4,0.45
2111,0.17201865449151915,-2747.348499999772,0.12742775935575557,1172,0.3737762956051305,-1630.864999999873,0.16638225255972697,10,0.0,,-3003.8459999997667,-1374.367499999877,-0.07864466499521115,True,False,False,True,A4,0.8
908,0.30607840960521104,-812.6029999999123,0.14757709251101322,483,0.4831389780574304,-514.0324999999466,0.15734989648033126,10,0.1,,-874.7304999999103,-451.9049999999489,0.2749635730659797,True,False,False,True,A5,0.45
908,0.2160486292677018,-1130.4029999999125,0.14757709251101322,483,0.3992119457069328,-683.0824999999468,0.15734989648033126,10,0.0,,-1211.78049999991,-601.7049999999489,0.2413986142082242,True,False,False,True,A5,0.8
581,0.4441811031990537,-470.6729999999654,0.1962134251290878,260,0.6121151248081453,-274.18999999997783,0.21923076923076923,10,0.1,,-475.7379999999634,-269.12499999997976,0.1520908264654517,True,False,False,True,A6,0.45
581,0.33282224377881103,-674.0229999999656,0.1962134251290878,260,0.5305648929537848,-365.1899999999778,0.21923076923076923,10,0.1,,-682.9379999999634,-356.2749999999798,0.11994578027344034,True,False,False,True,A6,0.8
