split,reopen_excluded,kind,set,window,n_events,clock_share,share,share_dayavg,ratio,null_mean,null_sd,z,p_one_sided,primary,ci_lo,ci_hi
ALL,False,H,killzones,KZ_Asia,522,0.1739,0.1628,0.1628,0.936,,,,,,,
ALL,False,H,killzones,KZ_London,522,0.1304,0.0709,0.0709,0.543,,,,,,,
ALL,False,H,killzones,KZ_NYAM,522,0.1304,0.1341,0.1341,1.028,,,,,,,
ALL,False,H,killzones,KZ_LondonClose,522,0.087,0.1667,0.1667,1.917,,,,,,,
ALL,False,H,killzones,UNION,522,0.5217,0.5345,0.5345,1.024,,,,,,,
ALL,False,H,macros,M_0950,522,0.0145,0.0421,0.0421,2.908,,,,,,,
ALL,False,H,macros,M_1050,522,0.0145,0.0192,0.0192,1.322,,,,,,,
ALL,False,H,macros,M_1310,522,0.0217,0.0153,0.0153,0.705,,,,,,,
ALL,False,H,macros,M_1515,522,0.0217,0.0153,0.0153,0.705,,,,,,,
ALL,False,H,macros,UNION,522,0.0725,0.092,0.092,1.269,,,,,,,
ALL,False,H,silver_bullet,SB_03,522,0.0435,0.0153,0.0153,0.352,,,,,,,
ALL,False,H,silver_bullet,SB_10,522,0.0435,0.0958,0.0958,2.203,,,,,,,
ALL,False,H,silver_bullet,SB_14,522,0.0435,0.0249,0.0249,0.573,,,,,,,
ALL,False,H,silver_bullet,UNION,522,0.1304,0.136,0.136,1.043,,,,,,,
ALL,False,H,calib_0800_1159,CAL_08_12,522,0.1739,0.2759,0.2759,1.586,,,,,,,
ALL,False,H,reopen_15,REOPEN15,522,0.0109,0.0421,0.0421,3.877,,,,,,,
ALL,False,H,reopen_30,REOPEN30,522,0.0217,0.0709,0.0709,3.261,,,,,,,
ALL,False,L,killzones,KZ_Asia,522,0.1739,0.1992,0.1992,1.146,,,,,,,
ALL,False,L,killzones,KZ_London,522,0.1304,0.0747,0.0747,0.573,,,,,,,
ALL,False,L,killzones,KZ_NYAM,522,0.1304,0.1398,0.1398,1.072,,,,,,,
ALL,False,L,killzones,KZ_LondonClose,522,0.087,0.1264,0.1264,1.454,,,,,,,
ALL,False,L,killzones,UNION,522,0.5217,0.5402,0.5402,1.035,,,,,,,
