,BURST,BURSTREL,H,L,X300,X60,HL%,BURST%,X60%
18:00,2648.0,2601.0,37.0,56.0,12.0,11.0,8.9,1.1,2.1
18:30,3631.0,3525.0,17.0,18.0,12.0,12.0,3.4,1.5,2.3
19:00,3779.0,3582.0,11.0,16.0,6.0,7.0,2.6,1.6,1.3
19:30,4261.0,4084.0,5.0,15.0,10.0,5.0,1.9,1.8,1.0
20:00,5969.0,6571.0,25.0,29.0,25.0,25.0,5.2,2.5,4.8
20:30,5893.0,6127.0,15.0,14.0,11.0,12.0,2.8,2.5,2.3
21:00,6102.0,6911.0,17.0,22.0,19.0,18.0,3.7,2.6,3.4
21:30,6388.0,6957.0,7.0,9.0,18.0,13.0,1.5,2.7,2.5
22:00,5726.0,5769.0,10.0,7.0,4.0,5.0,1.6,2.4,1.0
22:30,5330.0,5285.0,7.0,12.0,3.0,6.0,1.8,2.3,1.1
23:00,4749.0,4473.0,3.0,7.0,2.0,2.0,1.0,2.0,0.4
23:30,3558.0,3068.0,1.0,4.0,0.0,0.0,0.5,1.5,0.0
00:00,3652.0,3229.0,2.0,8.0,1.0,0.0,1.0,1.5,0.0
00:30,3876.0,3556.0,4.0,6.0,6.0,7.0,1.0,1.6,1.3
01:00,4853.0,4484.0,10.0,6.0,4.0,2.0,1.5,2.1,0.4
01:30,5801.0,5934.0,5.0,8.0,11.0,7.0,1.2,2.5,1.3
02:00,6012.0,6331.0,8.0,5.0,1.0,6.0,1.2,2.5,1.1
02:30,5643.0,5564.0,8.0,6.0,4.0,1.0,1.3,2.4,0.2
03:00,6252.0,6591.0,3.0,7.0,3.0,3.0,1.0,2.6,0.6
03:30,5701.0,5797.0,5.0,10.0,8.0,4.0,1.4,2.4,0.8
04:00,5660.0,5873.0,9.0,5.0,9.0,7.0,1.3,2.4,1.3
04:30,4676.0,4633.0,4.0,6.0,2.0,2.0,1.0,2.0,0.4
05:00,4913.0,4852.0,3.0,6.0,6.0,8.0,0.9,2.1,1.5
05:30,4636.0,4553.0,9.0,6.0,3.0,1.0,1.4,2.0,0.2
06:00,4484.0,4141.0,5.0,0.0,4.0,4.0,0.5,1.9,0.8
06:30,4307.0,4183.0,4.0,5.0,6.0,4.0,0.9,1.8,0.8
07:00,4844.0,4868.0,7.0,5.0,5.0,7.0,1.1,2.0,1.3
07:30,5118.0,5225.0,6.0,4.0,5.0,8.0,1.0,2.2,1.5
08:00,7402.0,8587.0,8.0,6.0,59.0,68.0,1.3,3.1,13.0
08:30,7889.0,9060.0,15.0,15.0,24.0,26.0,2.9,3.3,5.0
09:00,8091.0,9839.0,8.0,15.0,24.0,23.0,2.2,3.4,4.4
09:30,7113.0,9452.0,26.0,28.0,84.0,59.0,5.2,3.0,11.3
10:00,7322.0,9613.0,29.0,29.0,39.0,45.0,5.6,3.1,8.6
10:30,7434.0,9503.0,21.0,13.0,21.0,30.0,3.3,3.1,5.7
11:00,6854.0,8616.0,22.0,15.0,15.0,17.0,3.5,2.9,3.3
11:30,6365.0,7198.0,15.0,9.0,11.0,10.0,2.3,2.7,1.9
12:00,5670.0,6094.0,17.0,10.0,4.0,5.0,2.6,2.4,1.0
12:30,4965.0,5027.0,10.0,5.0,3.0,4.0,1.4,2.1,0.8
13:00,5094.0,5306.0,12.0,9.0,3.0,4.0,2.0,2.2,0.8
13:30,4171.0,3945.0,7.0,9.0,9.0,10.0,1.5,1.8,1.9
14:00,3999.0,3643.0,9.0,8.0,4.0,10.0,1.6,1.7,1.9
14:30,3510.0,3115.0,4.0,6.0,9.0,9.0,1.0,1.5,1.7
15:00,3711.0,3438.0,11.0,11.0,4.0,6.0,2.1,1.6,1.1
15:30,4048.0,3680.0,15.0,11.0,4.0,2.0,2.5,1.7,0.4
16:00,2393.0,2132.0,11.0,8.0,4.0,4.0,1.8,1.0,0.8
16:30,2049.0,1814.0,35.0,13.0,1.0,3.0,4.6,0.9,0.6
