arm,TRAIN_n,TRAIN_PF_0.45,TRAIN_pts_0.45,TRAIN_meanR_0.45,TRAIN_PF_0.8,TRAIN_pts_0.8,TRAIN_meanR_0.8,TRAIN_WR,TEST_n,TEST_PF_0.45,TEST_pts_0.45,TEST_meanR_0.45,TEST_PF_0.8,TEST_pts_0.8,TEST_meanR_0.8,TEST_WR,TEST_months_pos,TEST_maxmonth_share,pts_goldup,pts_golddown,corr_gold,bars_pass
SB (primary),93,0.242,-126.7,-0.925,0.185,-159.3,-1.168,12.9,142,0.439,-168.5,-0.751,0.362,-218.2,-0.951,16.9,0.0,,-250.4,-127.1,0.24,False
SB |disp|>=ATR (variant),18,0.108,-32.9,-1.129,0.085,-39.2,-1.359,5.6,21,0.236,-47.1,-0.947,0.203,-54.5,-1.128,9.5,12.0,,-58.6,-35.0,0.32,False
CTRL_A adjacent hours,201,0.216,-269.3,-0.938,0.16,-339.7,-1.191,12.9,261,0.606,-211.1,-0.631,0.503,-302.5,-0.835,21.1,0.0,,-465.6,-176.6,-0.09,False
CTRL_B0 shuffled,62,0.152,-92.5,-0.938,0.107,-114.2,-1.19,12.9,116,0.559,-93.7,-0.63,0.451,-134.3,-0.845,21.6,10.0,,-182.6,-65.9,-0.14,False
CTRL_B1 shuffled,69,0.132,-104.1,-1.034,0.095,-128.3,-1.297,10.1,104,0.412,-116.9,-0.772,0.33,-153.3,-0.999,17.3,0.0,,-191.7,-89.9,0.13,False
CTRL_B2 shuffled,77,0.388,-70.7,-0.624,0.283,-97.7,-0.876,23.4,105,0.416,-113.9,-0.818,0.333,-150.7,-1.054,16.2,0.0,,-170.6,-77.8,-0.01,False
CTRL_B3 shuffled,77,0.105,-130.2,-1.017,0.073,-157.2,-1.272,10.4,123,0.347,-168.0,-0.8,0.282,-211.0,-1.005,15.4,0.0,,-271.5,-96.6,-0.01,False
CTRL_B4 shuffled,64,0.326,-73.7,-0.7,0.244,-96.1,-0.941,20.3,111,0.368,-156.5,-0.866,0.306,-195.3,-1.076,13.5,0.0,,-191.9,-99.6,-0.04,False
CTRL_B5 shuffled,71,0.322,-75.8,-0.871,0.242,-100.6,-1.132,15.5,110,0.307,-169.5,-0.744,0.248,-208.0,-0.947,17.3,0.0,,-222.0,-86.6,0.0,False
CTRL_B6 shuffled,65,0.348,-63.1,-0.79,0.256,-85.9,-1.058,18.5,123,0.391,-164.1,-0.813,0.323,-207.1,-1.028,15.4,0.0,,-174.4,-118.6,0.34,False
CTRL_B7 shuffled,66,0.291,-76.3,-0.737,0.212,-99.4,-0.993,19.7,111,0.348,-141.7,-0.799,0.278,-180.5,-1.022,16.2,0.0,,-169.7,-110.2,0.34,False
CTRL_B8 shuffled,69,0.451,-55.2,-0.683,0.336,-79.4,-0.943,21.7,125,0.447,-137.5,-0.713,0.362,-181.3,-0.938,19.2,0.0,,-167.4,-93.3,-0.01,False
CTRL_B9 shuffled,71,0.46,-55.9,-0.621,0.341,-80.8,-0.885,23.9,131,0.174,-256.4,-0.952,0.14,-302.3,-1.165,10.7,0.0,,-228.6,-154.4,0.06,False
