split,macro,n,n_bursts,cont_net,null_net_mean,null_net_sd,z_net,p_net,cont_burst,null_burst_mean,null_burst_sd,z_burst,p_burst,med_range,null_range,range_ratio,range_p,med_absnet,med_net_over_drift
ALL,M_0950,522,4848,0.511,0.493,0.024,0.79,0.4435,0.499,0.498,0.009,0.1,0.9025,11.94,6.39,1.87,0.018,4.73,0.07
ALL,M_1050,522,4765,0.49,0.493,0.023,-0.11,0.9315,0.489,0.497,0.009,-0.99,0.2835,8.47,6.36,1.33,0.141,3.5,-0.04
ALL,M_1310,521,5004,0.495,0.492,0.022,0.13,0.8965,0.498,0.498,0.007,0.12,0.9105,7.33,7.92,0.93,0.504,2.65,-0.01
ALL,M_1515,509,3697,0.507,0.493,0.022,0.64,0.4915,0.51,0.498,0.007,1.76,0.0715,6.03,7.91,0.76,0.811,2.16,0.02
ALL,POOLED,2074,18314,0.501,0.493,0.012,0.69,0.4705,0.498,0.498,0.004,0.23,0.8055,,,,,,
TRAIN,M_0950,320,3321,0.531,0.494,0.03,1.26,0.2225,0.498,0.499,0.016,-0.07,0.9345,8.44,4.49,1.88,0.0245,3.62,0.13
TRAIN,M_1050,320,2379,0.503,0.493,0.031,0.33,0.7545,0.497,0.5,0.015,-0.17,0.843,6.14,4.5,1.37,0.1235,2.67,0.03
TRAIN,M_1310,319,1637,0.505,0.495,0.029,0.35,0.723,0.503,0.5,0.013,0.28,0.763,4.81,5.49,0.88,0.665,1.94,0.01
TRAIN,M_1515,311,1184,0.524,0.494,0.029,1.02,0.2995,0.53,0.499,0.013,2.42,0.0145,3.7,5.48,0.68,0.909,1.52,0.11
TRAIN,POOLED,1270,8521,0.516,0.495,0.015,1.43,0.1545,0.503,0.499,0.006,0.6,0.551,,,,,,
TEST,M_0950,202,1527,0.48,0.491,0.036,-0.3,0.8135,0.499,0.496,0.011,0.27,0.7925,18.64,10.14,1.84,0.0095,7.35,-0.1
TEST,M_1050,202,2386,0.47,0.494,0.035,-0.66,0.5515,0.481,0.497,0.011,-1.42,0.1575,14.2,10.19,1.39,0.1155,7.0,-0.09
TEST,M_1310,202,3367,0.48,0.49,0.036,-0.28,0.783,0.496,0.497,0.009,-0.09,0.9235,11.34,12.52,0.91,0.494,5.42,-0.08
TEST,M_1515,198,2513,0.48,0.49,0.036,-0.29,0.737,0.501,0.497,0.009,0.53,0.596,10.47,12.56,0.83,0.675,4.52,-0.08
TEST,POOLED,804,9793,0.478,0.491,0.018,-0.78,0.44,0.494,0.497,0.005,-0.55,0.589,,,,,,
