label,n,test_n,train_n,mid_train_pf,mid_test_pf,mid_test_pf_s,mid_test_pts_s,mid_all_pf_s,mid_all_pts_s,median_risk,wr,test_pos_months,test_max_month_share,gold_corr,up_pts,dn_pts,bar1,bar2,bar3,bar4,bar5,q_all_pf_b,q_all_pts_b,q_train_pf_b,q_train_pts_b,q_test_pf_b,q_test_pts_b,q_all_pf_s,q_all_pts_s,q_train_pf_s,q_train_pts_s,q_test_pf_s,q_test_pts_s,q_wr_s,q_time_exits,bar7_pf,bar7_pts,bar7,bars1to5
F_H0_base,1997,786,1211,0.885,0.956,0.91,-377.8,0.861,-1042.1,3.9,40.7,0.4,,-0.31,-302.9,-239.9,True,False,False,False,True,0.941,-415.4,0.91,-273.5,0.965,-141.9,0.876,-914.6,0.822,-576.2,0.918,-338.4,38.1,0,False,False,False,False
F_H0_v_default,1997,786,1211,0.885,0.956,0.91,-377.8,0.861,-1042.1,3.9,40.7,0.4,,-0.31,-302.9,-239.9,True,False,False,False,True,0.941,-415.4,0.91,-273.5,0.965,-141.9,0.876,-914.6,0.822,-576.2,0.918,-338.4,38.1,0,False,False,False,False
F_H1_minsl2.0,1841,783,1058,0.911,0.956,0.91,-375.8,0.876,-900.1,4.21,41.3,0.4,,-0.33,-249.5,-190.4,True,False,True,False,True,0.954,-315.0,0.939,-173.5,0.965,-141.5,0.891,-775.2,0.854,-438.0,0.918,-337.2,38.9,0,False,False,False,False
F_H1_minsl2.5,1667,769,898,0.93,0.952,0.908,-386.3,0.886,-799.2,4.63,41.4,0.4,,-0.31,-196.2,-186.2,True,False,True,False,True,0.959,-272.8,0.954,-121.4,0.962,-151.4,0.9,-689.5,0.874,-345.9,0.917,-343.6,39.2,0,False,False,False,False
F_H1_minsl3.0,1475,731,744,0.95,0.954,0.911,-364.7,0.898,-672.7,5.04,41.4,0.4,,-0.31,-135.4,-168.6,True,False,True,False,True,0.969,-196.9,0.974,-61.0,0.965,-135.9,0.913,-565.7,0.9,-247.0,0.921,-318.7,39.3,0,False,False,False,False
F_H1_minsl3.5,1310,701,609,0.973,0.953,0.911,-359.4,0.909,-568.6,5.51,41.5,0.4,,-0.32,-106.1,-135.0,True,False,True,False,True,0.974,-153.0,0.998,-4.8,0.962,-148.3,0.922,-480.5,0.928,-157.0,0.919,-323.5,39.5,0,False,False,False,False
F_H2_slbuf0.0,2121,835,1286,0.858,0.953,0.905,-399.5,0.845,-1185.2,3.63,39.7,0.5,,-0.33,-359.8,-295.2,True,False,False,False,True,0.909,-656.6,0.889,-350.1,0.925,-306.5,0.843,-1186.9,0.8,-671.6,0.877,-515.2,36.7,0,False,False,False,False
F_H2_slbuf0.25,1883,728,1155,0.965,0.929,0.888,-474.5,0.883,-869.6,4.29,42.2,0.5,,-0.25,-229.7,-169.2,True,False,True,False,True,0.917,-597.9,0.959,-124.7,0.886,-473.2,0.857,-1068.7,0.87,-413.5,0.847,-655.2,39.1,0,False,False,False,False
F_H2_slbuf0.5,1680,635,1045,0.995,0.925,0.889,-465.8,0.898,-741.1,4.92,43.4,0.5,,-0.4,-251.2,-69.8,True,False,True,False,True,0.946,-380.5,1.015,44.7,0.897,-425.2,0.89,-800.5,0.929,-216.6,0.861,-584.0,41.1,0,False,False,False,False
F_H5_kz_add12,2176,856,1320,0.85,0.959,0.912,-394.8,0.848,-1245.0,3.88,40.3,0.5,,-0.37,-434.8,-266.2,True,False,False,False,True,0.93,-535.3,0.878,-408.7,0.97,-126.6,0.865,-1079.3,0.793,-738.7,0.923,-340.6,37.8,0,False,False,False,False
F_H5_kz_all,2667,1055,1612,0.837,0.98,0.931,-368.5,0.851,-1455.6,3.72,39.5,0.5,,-0.28,-515.8,-273.0,True,False,False,False,True,0.912,-812.2,0.85,-610.7,0.961,-201.5,0.846,-1478.9,0.765,-1013.7,0.912,-465.3,36.5,0,False,False,False,False
F_H5_kz_narrow,1412,570,842,0.963,0.937,0.893,-329.1,0.885,-621.8,4.08,41.3,0.6,,-0.42,-233.4,-35.4,True,False,True,False,False,0.97,-151.6,0.979,-45.4,0.964,-106.2,0.905,-504.6,0.888,-255.9,0.917,-248.7,38.5,0,False,False,False,False
F_H6_bias_ema15_21,2668,1054,1614,0.817,0.889,0.844,-860.0,0.796,-2013.2,3.87,41.3,0.3,,-0.23,-924.9,-421.3,True,False,False,False,True,0.875,-1154.5,0.839,-641.2,0.903,-513.3,0.812,-1821.5,0.753,-1044.7,0.857,-776.8,38.6,0,False,False,False,False
F_H6_bias_h1_resampled,2138,836,1302,0.867,0.879,0.838,-755.4,0.814,-1527.9,3.9,40.6,0.3,,-0.38,-713.9,-279.6,True,False,False,False,True,0.891,-842.4,0.895,-341.7,0.888,-500.7,0.829,-1376.9,0.807,-667.2,0.845,-709.7,38.0,0,False,False,False,False
F_H6_bias_none,3318,1333,1985,0.861,0.864,0.821,-1274.6,0.802,-2490.4,3.98,40.3,0.2,,-0.41,-1156.2,-504.7,True,False,False,False,False,0.856,-1719.9,0.893,-532.6,0.828,-1187.3,0.795,-2549.4,0.806,-1028.8,0.787,-1520.6,37.6,0,False,False,False,False
F_S14_floor1.5,3644,1338,2306,0.647,0.7,0.62,-1274.1,0.586,-3612.2,2.36,33.5,0.0,,0.32,-1835.2,-865.9,True,False,False,False,True,0.676,-2512.0,0.649,-1666.4,0.717,-845.6,0.591,-3423.0,0.565,-2242.9,0.633,-1180.1,30.2,0,False,False,False,False
F_S14_floor3.0,1499,702,797,0.749,0.76,0.693,-670.4,0.687,-1453.7,3.52,34.0,0.0,,0.27,-743.9,-335.0,True,False,False,False,True,0.749,-1069.6,0.744,-577.1,0.754,-492.5,0.68,-1444.3,0.675,-776.4,0.686,-668.0,31.3,0,False,False,False,False
H0_base,2161,838,1323,1.258,1.474,1.4,1395.7,1.276,1793.7,3.5,48.0,0.9,0.25,-0.37,1453.3,880.6,True,True,True,True,True,1.39,2383.5,1.313,854.1,1.452,1529.4,1.287,1843.3,1.18,523.4,1.377,1319.9,45.1,0,False,False,False,True
H0_v_default,2161,838,1323,1.258,1.474,1.4,1395.7,1.276,1793.7,3.5,48.0,0.9,0.25,-0.37,1453.3,880.6,True,True,True,True,True,1.39,2383.5,1.313,854.1,1.452,1529.4,1.287,1843.3,1.18,523.4,1.377,1319.9,45.1,0,False,False,False,True
H1_minsl2.0,1998,834,1164,1.273,1.449,1.376,1326.9,1.278,1765.9,3.79,48.4,0.9,0.26,-0.36,1425.7,839.8,True,True,True,True,True,1.384,2304.6,1.335,863.8,1.421,1440.8,1.288,1805.1,1.21,572.8,1.348,1232.3,45.9,0,False,False,False,True
L_H0_base,2161,838,1323,1.258,1.474,1.4,1395.7,1.276,1793.7,3.5,48.0,0.9,0.25,-0.37,1453.3,880.6,True,True,True,True,True,1.39,2383.5,1.313,854.1,1.452,1529.4,1.287,1843.3,1.18,523.4,1.377,1319.9,45.1,0,False,False,False,True
