module,gate,model,cost,split,n_total,n_aligned,n_against,n_none,n_missing,admitted_frac,base_n,base_pf,base_pts,base_meanR,base_wr,al_n,al_pf,al_pts,al_meanR,al_wr,ag_n,ag_pf,ag_pts,ag_meanR,ag_wr,dR,p_flip,dR_lo,dR_hi,pf_lo,pf_hi,pts_lo,pts_hi,p_perm,sanity_flag
c03_fvg_fill,B1,mid,0.75,ALL,2161,1079,859,223,0,0.499,2161,1.376,2334.0,0.2258,48.0,1079,1.322,970.8,0.2303,48.3,859,1.43,1070.5,0.2101,47.4,0.0202,0.8125,-0.1794,0.1789,1.19,1.553,533.1,1482.0,,
c03_fvg_fill,B2,mid,0.75,ALL,2161,557,1604,0,0,0.258,2161,1.376,2334.0,0.2258,48.0,557,1.271,443.8,0.1463,44.9,1604,1.413,1890.2,0.2534,49.1,-0.1071,0.205,-0.1591,0.1571,1.218,1.547,677.9,1633.8,,
c03_fvg_fill,B3,mid,0.75,ALL,2161,1907,254,0,0,0.882,2161,1.376,2334.0,0.2258,48.0,1907,1.392,2132.4,0.2276,48.7,254,1.263,201.6,0.212,42.9,0.0156,0.844,-0.1594,0.1708,1.214,1.547,683.0,1640.0,,
c03_fvg_fill,B4,mid,0.75,ALL,2161,1064,921,176,0,0.492,2161,1.376,2334.0,0.2258,48.0,1064,1.311,898.3,0.2272,48.8,921,1.407,1178.0,0.213,47.7,0.0142,0.8595,-0.1648,0.1675,1.197,1.531,573.3,1502.6,,
c03_fvg_fill,B5,mid,0.75,ALL,2161,1128,1033,0,0,0.522,2161,1.376,2334.0,0.2258,48.0,1128,1.44,1297.5,0.2736,50.3,1033,1.318,1036.5,0.1735,45.6,0.1001,0.246,-0.1636,0.1706,1.209,1.554,682.9,1688.0,,
c03_fvg_fill,B6,mid,0.75,ALL,2161,922,1066,173,0,0.427,2161,1.376,2334.0,0.2258,48.0,922,1.348,882.7,0.2388,49.3,1066,1.408,1253.7,0.2092,46.7,0.0295,0.729,-0.1688,0.1626,1.212,1.577,597.8,1548.5,,
c03_fvg_fill,C2,mid,0.75,ALL,2161,1180,961,0,20,0.546,2161,1.376,2334.0,0.2258,48.0,1180,1.427,1334.9,0.3107,50.6,961,1.327,997.3,0.1303,45.1,0.1805,0.035,-0.163,0.1731,1.225,1.551,705.1,1672.9,,
c03_fvg_fill,B1_utc,mid,0.75,ALL,2161,1017,748,396,0,0.471,2161,1.376,2334.0,0.2258,48.0,1017,1.405,1131.4,0.2566,49.0,748,1.228,539.4,0.1206,45.1,0.1359,0.135,-0.1827,0.172,1.162,1.487,429.2,1220.7,,
c03_fvg_fill,B2_lb2,mid,0.75,ALL,2161,465,1696,0,0,0.215,2161,1.376,2334.0,0.2258,48.0,465,1.185,259.2,0.147,44.5,1696,1.432,2074.8,0.2474,49.0,-0.1003,0.229,-0.1642,0.1573,1.214,1.536,690.6,1633.0,,
c03_fvg_fill,B2_lb5,mid,0.75,ALL,2161,653,1508,0,0,0.302,2161,1.376,2334.0,0.2258,48.0,653,1.277,525.6,0.1146,45.0,1508,1.419,1808.3,0.2739,49.3,-0.1593,0.06,-0.1621,0.1666,1.218,1.521,697.6,1609.8,,
