subset,gate,model,cost,split,n_total,n_aligned,n_against,admitted_frac,base_n,base_pf,base_pts,base_meanR,base_wr,al_n,al_pf,al_pts,al_meanR,al_wr,ag_n,ag_pf,ag_pts,ag_meanR,ag_wr,dR,p_flip,dR_lo,dR_hi,pf_lo,pf_hi,pts_lo,pts_hi,dR_in_c2_aligned,p_in_c2_aligned,dR_in_c2_against,p_in_c2_against
all15,B1,mid,0.75,ALL,45537,20790,20161,0.457,45537,0.913,-9146.2,-0.1369,41.4,20790,0.925,-3723.4,-0.1211,42.3,20161,0.884,-5219.0,-0.1536,40.6,0.0325,0.1315,-0.0444,0.0431,0.859,0.951,-6696.4,-2312.6,0.0483,0.085,0.0024,0.917
all15,B2,mid,0.75,ALL,45537,19950,25586,0.438,45537,0.913,-9146.2,-0.1369,41.4,19950,0.829,-7316.9,-0.157,39.7,25586,0.971,-1827.0,-0.1212,42.7,-0.0358,0.0985,-0.0405,0.0439,0.869,0.957,-6904.6,-2240.4,-0.0303,0.246,-0.0245,0.397
all15,B3,mid,0.75,ALL,45537,27489,18044,0.604,45537,0.913,-9146.2,-0.1369,41.4,27489,0.971,-1905.6,-0.1192,42.6,18044,0.813,-7235.3,-0.1641,39.7,0.0449,0.0265,-0.0413,0.0402,0.866,0.958,-7027.9,-2171.6,0.0754,0.004,0.0071,0.788
all15,B4,mid,0.75,ALL,45537,21194,20604,0.465,45537,0.913,-9146.2,-0.1369,41.4,21194,0.932,-3345.5,-0.1137,42.8,20604,0.903,-4677.5,-0.1538,40.4,0.0401,0.065,-0.0412,0.0445,0.869,0.968,-6375.6,-1557.6,0.05,0.064,0.0151,0.592
all15,B5,mid,0.75,ALL,45537,23577,21960,0.518,45537,0.913,-9146.2,-0.1369,41.4,23577,0.921,-4268.9,-0.1364,41.8,21960,0.904,-4877.3,-0.1376,41.0,0.0012,0.9545,-0.0409,0.0407,0.865,0.958,-7107.6,-2233.9,-0.0425,0.104,-0.0359,0.194
all15,B6,mid,0.75,ALL,45537,12423,30399,0.273,45537,0.913,-9146.2,-0.1369,41.4,12423,0.979,-670.3,-0.0925,44.0,30399,0.873,-8474.1,-0.152,40.4,0.0595,0.001,-0.0355,0.0389,0.865,0.951,-6616.8,-2407.1,0.0814,0.0,0.0125,0.636
all15,C2,mid,0.75,ALL,45537,23613,21661,0.519,45537,0.913,-9146.2,-0.1369,41.4,23613,0.932,-3775.4,-0.1211,42.4,21661,0.891,-5378.6,-0.1551,40.2,0.034,0.1355,-0.0434,0.0425,0.864,0.959,-7075.6,-2129.1,,,,
all15,B1,mid,0.75,TRAIN,23694,10851,10355,0.458,23694,0.878,-5510.4,-0.149,42.3,10851,0.923,-1643.8,-0.1253,43.6,10355,0.847,-2917.8,-0.1615,41.3,0.0362,0.246,-0.063,0.06,0.827,0.945,-3545.9,-1075.0,0.0514,0.175,0.0143,0.725
all15,B2,mid,0.75,TRAIN,23694,10066,13628,0.425,23694,0.878,-5510.4,-0.149,42.3,10066,0.809,-3457.0,-0.1723,40.4,13628,0.924,-2053.5,-0.1318,43.7,-0.0405,0.177,-0.0601,0.0572,0.822,0.932,-4030.1,-1508.8,-0.0528,0.137,-0.0247,0.519
all15,B3,mid,0.75,TRAIN,23694,14525,9166,0.613,23694,0.878,-5510.4,-0.149,42.3,14525,0.92,-2320.5,-0.1353,43.3,9166,0.802,-3190.9,-0.1709,40.6,0.0356,0.238,-0.0559,0.0604,0.824,0.937,-4042.9,-1387.2,0.0547,0.115,0.0068,0.859
all15,B4,mid,0.75,TRAIN,23694,11215,10472,0.473,23694,0.878,-5510.4,-0.149,42.3,11215,0.948,-1085.8,-0.1086,44.5,10472,0.828,-3529.0,-0.1794,40.5,0.0708,0.0225,-0.0607,0.0606,0.828,0.949,-3617.7,-1065.5,0.0897,0.014,0.0628,0.104
all15,B5,mid,0.75,TRAIN,23694,12300,11394,0.519,23694,0.878,-5510.4,-0.149,42.3,12300,0.88,-2786.1,-0.1507,42.8,11394,0.875,-2724.4,-0.1471,41.7,-0.0037,0.911,-0.0601,0.0611,0.82,0.936,-4081.1,-1440.1,-0.005,0.905,-0.0712,0.061
all15,B6,mid,0.75,TRAIN,23694,6649,15537,0.281,23694,0.878,-5510.4,-0.149,42.3,6649,0.978,-302.0,-0.0944,45.6,15537,0.844,-4369.4,-0.1612,41.2,0.0668,0.012,-0.0518,0.0529,0.834,0.944,-3504.1,-1172.4,0.082,0.021,0.0422,0.288
all15,C2,mid,0.75,TRAIN,23694,12352,11079,0.521,23694,0.878,-5510.4,-0.149,42.3,12352,0.9,-2371.1,-0.1384,43.3,11079,0.85,-3147.1,-0.1628,41.0,0.0243,0.413,-0.056,0.0583,0.82,0.933,-4038.1,-1498.9,,,,
all15,B1,mid,0.75,TEST,21843,9939,9806,0.455,21843,0.939,-3635.8,-0.1239,40.5,9939,0.927,-2079.6,-0.1165,40.8,9806,0.911,-2301.2,-0.1451,39.9,0.0287,0.365,-0.0613,0.063,0.854,0.991,-3976.4,-255.2,0.0434,0.267,-0.0091,0.826
all15,B2,mid,0.75,TEST,21843,9884,11958,0.453,21843,0.939,-3635.8,-0.1239,40.5,9884,0.844,-3860.0,-0.1415,39.1,11958,1.006,226.4,-0.1092,41.7,-0.0323,0.303,-0.0593,0.0637,0.875,1.005,-3760.5,138.8,-0.0052,0.896,-0.0263,0.542
all15,B3,mid,0.75,TEST,21843,12964,8878,0.594,21843,0.939,-3635.8,-0.1239,40.5,12964,1.011,414.9,-0.1011,41.7,8878,0.82,-4044.4,-0.1571,38.7,0.056,0.069,-0.0631,0.0594,0.87,1.007,-3955.6,222.7,0.0994,0.013,0.008,0.823
all15,B4,mid,0.75,TEST,21843,9979,10132,0.457,21843,0.939,-3635.8,-0.1239,40.5,9979,0.92,-2259.7,-0.1194,41.0,10132,0.958,-1148.5,-0.1272,40.4,0.0078,0.8125,-0.0612,0.0635,0.867,1.01,-3668.1,262.0,0.0143,0.743,-0.0331,0.428
all15,B5,mid,0.75,TEST,21843,11277,10566,0.516,21843,0.939,-3635.8,-0.1239,40.5,11277,0.952,-1482.8,-0.1207,40.8,10566,0.926,-2153.0,-0.1273,40.1,0.0066,0.8275,-0.0613,0.0623,0.872,1.007,-3831.4,217.1,-0.0916,0.018,0.0042,0.909
all15,B6,mid,0.75,TEST,21843,5774,14862,0.264,21843,0.939,-3635.8,-0.1239,40.5,5774,0.98,-368.3,-0.0903,42.2,14862,0.893,-4104.7,-0.1425,39.7,0.0522,0.052,-0.0529,0.0525,0.86,0.982,-3961.2,-492.5,0.0805,0.051,-0.0228,0.556
all15,C2,mid,0.75,TEST,21843,11261,10582,0.516,21843,0.939,-3635.8,-0.1239,40.5,11261,0.955,-1404.3,-0.1021,41.5,10582,0.921,-2231.5,-0.1471,39.5,0.045,0.1605,-0.0614,0.0652,0.869,1.007,-3931.7,198.8,,,,
all15,B1,mid,1.0,ALL,45537,20790,20161,0.457,45537,0.816,-20530.5,-0.235,39.3,20790,0.831,-8920.9,-0.2178,40.1,20161,0.787,-10259.2,-0.2526,38.6,0.0348,0.1195,-0.0448,0.0432,0.77,0.853,-11664.6,-7399.5,0.0524,0.058,0.0011,0.965
all15,B2,mid,1.0,ALL,45537,19950,25586,0.438,45537,0.816,-20530.5,-0.235,39.3,19950,0.732,-12304.4,-0.2592,37.5,25586,0.875,-8223.5,-0.2161,40.6,-0.0431,0.0495,-0.043,0.0428,0.776,0.858,-12547.5,-7905.3,-0.0371,0.175,-0.0323,0.254
all15,B3,mid,1.0,ALL,45537,27489,18044,0.604,45537,0.816,-20530.5,-0.235,39.3,27489,0.875,-8777.8,-0.2143,40.4,18044,0.716,-11746.3,-0.2666,37.6,0.0523,0.0125,-0.0411,0.0418,0.774,0.857,-12708.2,-7947.9,0.0837,0.001,0.0132,0.657
all15,B4,mid,1.0,ALL,45537,21194,20604,0.465,45537,0.816,-20530.5,-0.235,39.3,21194,0.834,-8644.0,-0.2109,40.6,20604,0.808,-9828.5,-0.252,38.4,0.0411,0.0645,-0.0463,0.042,0.779,0.865,-11493.6,-6984.8,0.0498,0.068,0.0147,0.622
all15,B5,mid,1.0,ALL,45537,23577,21960,0.518,45537,0.816,-20530.5,-0.235,39.3,23577,0.824,-10163.1,-0.2336,39.5,21960,0.808,-10367.3,-0.2365,39.0,0.0029,0.8865,-0.0429,0.0431,0.775,0.859,-12616.4,-7912.3,-0.0419,0.106,-0.0361,0.199
all15,B6,mid,1.0,ALL,45537,12423,30399,0.273,45537,0.816,-20530.5,-0.235,39.3,12423,0.887,-3776.0,-0.1858,41.7,30399,0.774,-16073.8,-0.2522,38.4,0.0664,0.0,-0.0368,0.0374,0.773,0.847,-12084.5,-7884.8,0.0902,0.0,0.015,0.613
all15,C2,mid,1.0,ALL,45537,23613,21661,0.519,45537,0.816,-20530.5,-0.235,39.3,23613,0.835,-9678.7,-0.2178,40.1,21661,0.795,-10793.8,-0.2544,38.3,0.0366,0.0975,-0.0427,0.0441,0.773,0.861,-12710.8,-7733.2,,,,
