subset,gate,model,cost,split,n_aligned,n_against,dR_demeaned,p_flip,dR_lo,dR_hi,dR_in_c2_aligned,p_in_c2_aligned,dR_in_c2_against,p_in_c2_against
all15,B1,mid,0.75,ALL,20790,20161,0.0214,0.3155,-0.0404,0.0422,0.0411,0.11,-0.0099,0.742
all15,B2,mid,0.75,ALL,19950,25586,0.0091,0.6605,-0.0395,0.0405,0.0218,0.4,0.0218,0.427
all15,B3,mid,0.75,ALL,27489,18044,-0.0194,0.3455,-0.0388,0.0396,0.0108,0.696,-0.0566,0.03
all15,B4,mid,0.75,ALL,21194,20604,0.0347,0.1055,-0.0424,0.0406,0.0491,0.068,0.013,0.641
all15,B5,mid,0.75,ALL,23577,21960,-0.0003,0.989,-0.0369,0.0383,-0.0325,0.207,-0.031,0.241
all15,B6,mid,0.75,ALL,12423,30399,0.011,0.568,-0.0358,0.0373,0.0337,0.186,-0.039,0.141
all15,C2,mid,0.75,ALL,23613,21661,0.0251,0.2215,-0.0412,0.039,,,,
all15,B1,mid,0.75,TRAIN,10851,10355,0.0227,0.439,-0.0582,0.0595,0.0381,0.27,0.0025,0.952
all15,B2,mid,0.75,TRAIN,10066,13628,0.0019,0.9435,-0.0564,0.0567,0.0016,0.964,0.0138,0.716
all15,B3,mid,0.75,TRAIN,14525,9166,-0.0239,0.4075,-0.0553,0.0525,-0.0086,0.811,-0.0486,0.174
all15,B4,mid,0.75,TRAIN,11215,10472,0.065,0.0255,-0.0571,0.0529,0.0898,0.01,0.0572,0.154
all15,B5,mid,0.75,TRAIN,12300,11394,-0.0055,0.848,-0.0549,0.0543,0.0069,0.835,-0.0717,0.065
all15,B6,mid,0.75,TRAIN,6649,15537,0.0218,0.419,-0.0495,0.0517,0.0355,0.293,-0.0007,0.986
all15,C2,mid,0.75,TRAIN,12352,11079,0.0159,0.564,-0.0527,0.054,,,,
all15,B1,mid,0.75,TEST,9939,9806,0.0208,0.4855,-0.0567,0.0592,0.0406,0.257,-0.0165,0.668
all15,B2,mid,0.75,TEST,9884,11958,0.0149,0.615,-0.0568,0.0595,0.0462,0.219,0.0255,0.551
all15,B3,mid,0.75,TEST,12964,8878,-0.0144,0.626,-0.0549,0.0564,0.031,0.428,-0.0639,0.085
all15,B4,mid,0.75,TEST,9979,10132,0.0042,0.886,-0.0606,0.0573,0.0184,0.639,-0.0345,0.403
all15,B5,mid,0.75,TEST,11277,10566,0.0044,0.868,-0.0576,0.0558,-0.085,0.022,0.0168,0.672
all15,B6,mid,0.75,TEST,5774,14862,-0.0009,0.9665,-0.0511,0.0521,0.0274,0.435,-0.079,0.038
all15,C2,mid,0.75,TEST,11261,10582,0.0341,0.2335,-0.0543,0.0567,,,,
all15,B1,mid,1.0,ALL,20790,20161,0.021,0.3015,-0.04,0.0395,0.0432,0.105,-0.0131,0.68
all15,B2,mid,1.0,ALL,19950,25586,0.0085,0.6645,-0.0375,0.0393,0.0217,0.395,0.0202,0.456
all15,B3,mid,1.0,ALL,27489,18044,-0.0193,0.35,-0.0399,0.0391,0.011,0.695,-0.0566,0.027
all15,B4,mid,1.0,ALL,21194,20604,0.0336,0.104,-0.0392,0.0383,0.0475,0.079,0.0121,0.671
all15,B5,mid,1.0,ALL,23577,21960,-0.0001,0.9965,-0.0382,0.0391,-0.0309,0.227,-0.0311,0.271
all15,B6,mid,1.0,ALL,12423,30399,0.0109,0.551,-0.036,0.0382,0.0355,0.162,-0.0421,0.124
all15,C2,mid,1.0,ALL,23613,21661,0.0247,0.228,-0.0394,0.0393,,,,
all15,B1,mid,1.0,TRAIN,10851,10355,0.0221,0.446,-0.0593,0.0565,0.0361,0.327,0.0035,0.928
all15,B2,mid,1.0,TRAIN,10066,13628,0.0015,0.957,-0.0551,0.0561,0.0042,0.904,0.01,0.811
all15,B3,mid,1.0,TRAIN,14525,9166,-0.0245,0.377,-0.0557,0.0548,-0.0112,0.734,-0.0469,0.182
all15,B4,mid,1.0,TRAIN,11215,10472,0.0645,0.0305,-0.0564,0.0609,0.0908,0.006,0.055,0.181
all15,B5,mid,1.0,TRAIN,12300,11394,-0.0056,0.8345,-0.056,0.0536,0.0115,0.76,-0.0762,0.04
all15,B6,mid,1.0,TRAIN,6649,15537,0.0218,0.3965,-0.0511,0.0513,0.0342,0.335,0.0021,0.954
all15,C2,mid,1.0,TRAIN,12352,11079,0.0155,0.5895,-0.0561,0.055,,,,
all15,B1,mid,1.0,TEST,9939,9806,0.0207,0.467,-0.0536,0.0579,0.0452,0.22,-0.0216,0.578
all15,B2,mid,1.0,TEST,9884,11958,0.0135,0.6505,-0.0594,0.0577,0.044,0.238,0.0242,0.559
all15,B3,mid,1.0,TEST,12964,8878,-0.0134,0.6705,-0.0578,0.0612,0.0342,0.382,-0.0651,0.088
all15,B4,mid,1.0,TEST,9979,10132,0.0032,0.915,-0.0599,0.0568,0.017,0.656,-0.0354,0.393
all15,B5,mid,1.0,TEST,11277,10566,0.0049,0.8665,-0.0582,0.0572,-0.0887,0.026,0.0221,0.566
all15,B6,mid,1.0,TEST,5774,14862,-0.0006,0.9785,-0.0524,0.05,0.0314,0.416,-0.0859,0.031
all15,C2,mid,1.0,TEST,11261,10582,0.0341,0.2565,-0.0571,0.0599,,,,
all15,B1,q,0.45,ALL,20752,20089,0.0225,0.287,-0.0406,0.04,0.0351,0.18,-0.0043,0.875
all15,B2,q,0.45,ALL,19915,25509,0.0073,0.717,-0.0399,0.0413,0.0281,0.271,0.0158,0.583
all15,B3,q,0.45,ALL,27411,18010,-0.0228,0.2525,-0.0399,0.0393,0.0126,0.647,-0.0666,0.011
all15,B4,q,0.45,ALL,21134,20552,0.0446,0.027,-0.0407,0.0385,0.0715,0.006,0.0118,0.671
all15,B5,q,0.45,ALL,23515,21910,0.0071,0.733,-0.0391,0.0394,-0.023,0.355,-0.0226,0.424
all15,B6,q,0.45,ALL,12419,30293,0.0139,0.4605,-0.0356,0.0363,0.0331,0.224,-0.0334,0.215
all15,C2,q,0.45,ALL,23553,21609,0.0289,0.1505,-0.04,0.039,,,,
all15,B1,q,0.45,TRAIN,10851,10355,0.0287,0.3455,-0.0556,0.0641,0.0357,0.309,0.0166,0.702
all15,B2,q,0.45,TRAIN,10066,13628,-0.0017,0.9575,-0.0542,0.0528,-0.0024,0.944,0.0125,0.748
all15,B3,q,0.45,TRAIN,14525,9166,-0.0258,0.3675,-0.0557,0.0565,0.0034,0.918,-0.0675,0.061
all15,B4,q,0.45,TRAIN,11215,10472,0.0814,0.004,-0.0559,0.0562,0.1063,0.007,0.0817,0.041
all15,B5,q,0.45,TRAIN,12300,11394,0.0088,0.7485,-0.0522,0.055,0.0375,0.282,-0.0621,0.094
all15,B6,q,0.45,TRAIN,6649,15537,0.0316,0.2385,-0.0537,0.0517,0.0424,0.226,0.0124,0.761
all15,C2,q,0.45,TRAIN,12352,11079,0.0198,0.4625,-0.0548,0.0562,,,,
all15,B1,q,0.45,TEST,9901,9734,0.0162,0.557,-0.0602,0.0542,0.0276,0.458,-0.0193,0.614
all15,B2,q,0.45,TEST,9849,11881,0.0146,0.6275,-0.0605,0.061,0.0645,0.08,0.0127,0.758
all15,B3,q,0.45,TEST,12886,8844,-0.0189,0.497,-0.0579,0.0555,0.022,0.57,-0.064,0.088
all15,B4,q,0.45,TEST,9919,10080,0.0075,0.811,-0.06,0.0584,0.0482,0.217,-0.0622,0.13
all15,B5,q,0.45,TEST,11215,10516,0.0045,0.877,-0.0555,0.0559,-0.1018,0.012,0.0238,0.56
all15,B6,q,0.45,TEST,5770,14756,-0.0055,0.8255,-0.0536,0.0516,0.0179,0.644,-0.0813,0.031
all15,C2,q,0.45,TEST,11201,10530,0.0384,0.183,-0.0569,0.0566,,,,
all15,B1,q,0.7,ALL,20752,20089,0.022,0.304,-0.042,0.0427,0.0372,0.158,-0.0074,0.8
all15,B2,q,0.7,ALL,19915,25509,0.0068,0.735,-0.0403,0.0409,0.028,0.27,0.0142,0.621
all15,B3,q,0.7,ALL,27411,18010,-0.0227,0.267,-0.0387,0.041,0.0128,0.631,-0.0666,0.014
all15,B4,q,0.7,ALL,21134,20552,0.0434,0.0445,-0.0422,0.0427,0.0698,0.012,0.0109,0.7
all15,B5,q,0.7,ALL,23515,21910,0.0072,0.7185,-0.0401,0.0411,-0.0215,0.4,-0.0227,0.444
all15,B6,q,0.7,ALL,12419,30293,0.0138,0.472,-0.0395,0.0394,0.0349,0.184,-0.0364,0.193
all15,C2,q,0.7,ALL,23553,21609,0.0284,0.166,-0.0392,0.0404,,,,
all15,B1,q,0.7,TRAIN,10851,10355,0.0281,0.3505,-0.058,0.0624,0.0338,0.358,0.0176,0.654
all15,B2,q,0.7,TRAIN,10066,13628,-0.0022,0.939,-0.0551,0.0549,0.0003,0.997,0.0087,0.817
all15,B3,q,0.7,TRAIN,14525,9166,-0.0263,0.357,-0.0559,0.0561,0.0008,0.984,-0.0658,0.09
all15,B4,q,0.7,TRAIN,11215,10472,0.0808,0.0065,-0.0552,0.0571,0.1073,0.001,0.0794,0.059
all15,B5,q,0.7,TRAIN,12300,11394,0.0088,0.7645,-0.0569,0.0555,0.0422,0.217,-0.0666,0.07
all15,B6,q,0.7,TRAIN,6649,15537,0.0316,0.237,-0.0513,0.0546,0.0411,0.27,0.0152,0.7
all15,C2,q,0.7,TRAIN,12352,11079,0.0194,0.495,-0.0507,0.0544,,,,
all15,B1,q,0.7,TEST,9901,9734,0.0161,0.5575,-0.0573,0.0592,0.0322,0.412,-0.0244,0.527
all15,B2,q,0.7,TEST,9849,11881,0.0131,0.6495,-0.0595,0.0569,0.0622,0.103,0.0113,0.809
all15,B3,q,0.7,TEST,12886,8844,-0.0179,0.546,-0.0573,0.0552,0.0253,0.517,-0.0653,0.108
all15,B4,q,0.7,TEST,9919,10080,0.0064,0.8365,-0.0568,0.0561,0.0468,0.241,-0.0631,0.137
all15,B5,q,0.7,TEST,11215,10516,0.0049,0.8695,-0.0563,0.0543,-0.1054,0.003,0.0291,0.468
all15,B6,q,0.7,TEST,5770,14756,-0.0052,0.836,-0.0538,0.0515,0.0218,0.56,-0.0883,0.02
all15,C2,q,0.7,TEST,11201,10530,0.0383,0.1845,-0.0546,0.0549,,,,
