module,gate,model,cost,split,c2_class,n,n_al,n_ag,in_n,in_pf,in_pts,in_meanR,in_wr,al_n,al_pf,al_pts,al_meanR,al_wr,ag_n,ag_pf,ag_pts,ag_meanR,ag_wr,dR,p_flip
c03_fvg_fill,B1,mid,1.0,ALL,aligned,1180,740,316,1180,1.318,1039.9,0.2294,50.6,740,1.258,541.6,0.2382,50.7,316,1.421,355.0,0.2254,50.3,0.0128,0.921
c03_fvg_fill,B1,mid,1.0,ALL,against,961,327,535,961,1.238,757.1,0.0547,45.1,327,1.164,169.3,-0.0287,43.4,535,1.283,494.1,0.0807,45.6,-0.1094,0.412
c03_fvg_fill,B2,mid,1.0,ALL,aligned,1180,133,1047,1180,1.318,1039.9,0.2294,50.6,133,1.444,159.6,0.1742,48.1,1047,1.303,880.3,0.2364,50.9,-0.0622,0.59
c03_fvg_fill,B2,mid,1.0,ALL,against,961,420,541,961,1.238,757.1,0.0547,45.1,420,1.116,155.7,0.0499,44.3,541,1.327,601.4,0.0585,45.7,-0.0086,0.945
c03_fvg_fill,B3,mid,1.0,ALL,aligned,1180,1025,155,1180,1.318,1039.9,0.2294,50.6,1025,1.312,884.1,0.2222,51.2,155,1.357,155.8,0.2772,46.5,-0.055,0.608
c03_fvg_fill,B3,mid,1.0,ALL,against,961,864,97,961,1.238,757.1,0.0547,45.1,864,1.276,779.1,0.0746,45.9,97,0.939,-22.0,-0.1217,37.1,0.1963,0.118
c03_fvg_fill,B4,mid,1.0,ALL,aligned,1180,817,277,1180,1.318,1039.9,0.2294,50.6,817,1.264,583.9,0.1896,50.4,277,1.345,285.4,0.2798,52.3,-0.0902,0.43
c03_fvg_fill,B4,mid,1.0,ALL,against,961,247,644,961,1.238,757.1,0.0547,45.1,247,1.059,48.5,-0.0016,43.3,644,1.303,662.4,0.0781,45.7,-0.0797,0.526
c03_fvg_fill,B5,mid,1.0,ALL,aligned,1180,962,218,1180,1.318,1039.9,0.2294,50.6,962,1.375,962.4,0.2382,51.4,218,1.111,77.5,0.1905,47.2,0.0477,0.645
c03_fvg_fill,B5,mid,1.0,ALL,against,961,160,801,961,1.238,757.1,0.0547,45.1,160,1.123,62.4,-0.0518,44.4,801,1.26,694.7,0.076,45.2,-0.1279,0.295
c03_fvg_fill,B6,mid,1.0,ALL,aligned,1180,627,455,1180,1.318,1039.9,0.2294,50.6,627,1.278,488.0,0.2443,52.0,455,1.413,507.7,0.2442,49.5,0.0001,0.999
c03_fvg_fill,B6,mid,1.0,ALL,against,961,285,601,961,1.238,757.1,0.0547,45.1,285,1.205,178.4,-0.0,44.2,601,1.238,468.6,0.0448,44.6,-0.0448,0.728
c03_fvg_fill,B1,mid,1.0,TRAIN,aligned,700,433,195,700,1.195,281.4,0.1046,51.1,433,1.258,220.2,0.1472,52.4,195,1.182,74.7,0.0817,49.7,0.0655,0.647
c03_fvg_fill,B1,mid,1.0,TRAIN,against,603,216,324,603,1.079,120.0,-0.0637,45.3,216,0.984,-9.8,-0.1663,41.7,324,1.1,78.3,-0.0389,46.3,-0.1275,0.384
