module,arm,model,base_n,base_pf,base_pts,base_train_n,base_train_pf,base_train_pts,base_test_n,base_test_pf,base_test_pts,test_months,test_pos_month_share,test_max_month_share,gold_corr,up_pts,dn_pts,bar5_regime,stress_n,stress_pf,stress_pts,stress_train_n,stress_train_pf,stress_train_pts,stress_test_n,stress_test_pf,stress_test_pts,bar1_n,bar2_base,bar2_stress,bar3_train,bar4_monthly,bar7_pf,bar7_pts,bar7,plateau_seq,bar6_plateau,bars_1_5,verdict
c03_fvg_fill,incumbent,q,2147,1.389,2362.6,1323,1.313,854.1,824,1.451,1508.4,10,1.0,0.31,-0.4,1483.8,878.7,True,2147,1.287,1825.8,1323,1.18,523.4,824,1.377,1302.4,True,True,True,True,True,,,,,,,
c03_fvg_fill,B1,q,1079,1.364,1068.7,661,1.349,463.8,418,1.377,604.9,10,0.6,0.3,-0.42,693.1,375.6,True,1079,1.259,798.9,661,1.211,298.5,418,1.301,500.4,True,True,True,True,True,False,False,False,1.301/1.374,True,6.0,FAIL
c03_fvg_fill,B2,q,557,1.23,373.0,351,1.322,245.6,206,1.149,127.5,10,0.3,1.31,-0.42,261.7,111.4,True,557,1.137,233.8,351,1.194,157.8,206,1.085,76.0,True,True,True,True,False,False,False,False,1.052/1.085/1.205,True,5.0,FAIL
c03_fvg_fill,B3,q,1893,1.407,2163.9,1161,1.323,756.9,732,1.473,1407.0,10,1.0,0.33,-0.34,1302.9,861.0,True,1893,1.303,1690.6,1161,1.187,466.6,732,1.398,1224.0,True,True,True,True,True,True,False,False,1.398/1.370/1.370,True,6.0,quality-up/profit-down
c03_fvg_fill,B4,q,1056,1.325,914.8,661,1.318,415.7,395,1.33,499.1,10,0.7,0.31,-0.18,563.6,351.2,True,1056,1.22,650.8,661,1.18,250.4,395,1.255,400.4,True,True,True,True,True,False,False,False,,,6.0,FAIL
c03_fvg_fill,B5,q,1120,1.45,1296.8,686,1.277,364.6,434,1.595,932.2,10,0.9,0.29,-0.39,757.7,539.1,True,1120,1.335,1016.8,686,1.137,193.1,434,1.508,823.7,True,True,True,True,True,True,False,False,1.508/1.347,False,6.0,quality-up/profit-down
c03_fvg_fill,B6,q,922,1.399,981.7,557,1.353,383.0,365,1.434,598.7,10,0.7,0.36,-0.46,566.1,415.6,True,922,1.291,751.2,557,1.211,243.7,365,1.356,507.5,True,True,True,True,True,False,False,False,,,6.0,FAIL
c03_fvg_fill,C2,q,1172,1.444,1353.9,700,1.369,488.2,472,1.501,865.8,10,0.8,0.27,-0.48,780.7,573.2,True,1172,1.331,1060.9,700,1.222,313.2,472,1.418,747.8,True,True,True,True,True,True,False,False,,,6.0,quality-up/profit-down
c03_fvg_fill,incumbent,mid,2161,1.376,2334.0,1323,1.258,728.8,838,1.474,1605.2,10,0.9,0.25,-0.37,1453.4,880.6,True,2161,1.276,1793.7,1323,1.133,398.0,838,1.4,1395.7,True,True,True,True,True,,,,,,,
c03_fvg_fill,B1,mid,1079,1.322,970.8,661,1.262,365.8,418,1.373,605.0,10,0.7,0.29,-0.27,692.1,278.7,True,1079,1.222,701.0,661,1.136,200.5,418,1.299,500.6,True,True,True,True,True,False,False,False,1.299/1.399,False,6.0,FAIL
c03_fvg_fill,B2,mid,557,1.271,443.8,351,1.232,185.7,206,1.308,258.1,10,0.6,0.62,-0.41,265.0,178.8,True,557,1.178,304.5,351,1.115,97.9,206,1.238,206.6,True,True,True,True,False,False,False,False,1.099/1.238/1.257,True,5.0,FAIL
c03_fvg_fill,B3,mid,1907,1.392,2132.4,1161,1.272,658.9,746,1.487,1473.5,10,0.9,0.28,-0.34,1235.2,897.2,True,1907,1.291,1655.6,1161,1.144,368.6,746,1.412,1287.0,True,True,True,True,True,True,False,False,1.412/1.379/1.373,True,6.0,quality-up/profit-down
c03_fvg_fill,B4,mid,1064,1.311,898.3,661,1.244,331.2,403,1.37,567.1,10,0.8,0.22,-0.11,561.4,336.9,True,1064,1.209,632.3,661,1.115,166.0,403,1.294,466.4,True,True,True,True,True,False,False,False,,,6.0,FAIL
c03_fvg_fill,B5,mid,1128,1.44,1297.5,686,1.232,315.4,442,1.617,982.1,10,1.0,0.22,-0.31,804.2,493.3,True,1128,1.329,1015.5,686,1.1,143.9,442,1.53,871.6,True,True,True,True,True,True,False,False,1.530/1.375,False,6.0,quality-up/profit-down
c03_fvg_fill,B6,mid,922,1.348,882.7,557,1.269,304.5,365,1.413,578.2,10,0.8,0.29,-0.37,529.5,353.2,True,922,1.246,652.2,557,1.137,165.3,365,1.336,486.9,True,True,True,True,True,False,False,False,,,6.0,FAIL
c03_fvg_fill,C2,mid,1180,1.427,1334.9,700,1.337,456.4,480,1.497,878.5,10,0.9,0.23,-0.41,809.7,525.2,True,1180,1.318,1039.9,700,1.195,281.4,480,1.415,758.5,True,True,True,True,True,True,False,False,,,6.0,quality-up/profit-down
