entry_hour,n,fill_vs_nom,fill_vs_quote,nominal_vs_mid
0,11,-0.2859090909091306,-0.2590909090910662,-0.3545454545453801
1,39,-0.3183333333333091,-0.19512820512822004,-0.42871794871793195
2,39,-0.49846153846151653,-0.2526923076923315,-0.6210256410255776
3,31,-0.17338709677425224,-0.29870967741947924,-0.22145161290321877
4,29,-0.1120689655172257,-0.2182758620689787,-0.18310344827582883
5,31,-0.2624193548388927,-0.1409677419355537,-0.4217741935484252
6,49,-0.33693877551021784,-0.22000000000001335,-0.4448979591836215
7,44,-0.020227272727156145,-0.17613636363636365,-0.09409090909080285
8,48,-0.3748958333332932,-0.11124999999995566,-0.5290624999999901
9,26,-0.1101923076922818,-0.12692307692303145,-0.24846153846153987
10,10,-0.43749999999986355,-0.2269999999999527,-0.5264999999999873
11,16,-0.2971874999998363,-0.1425000000000125,-0.3543749999999477
12,27,-0.2716666666666849,-0.08851851851858117,-0.5024074074074094
13,36,-0.7250000000000354,-0.06305555555559295,-0.9386111111111606
14,38,-0.7456578947368909,-0.08105263157892152,-0.9280263157895302
15,26,-0.39038461538465385,-0.15634615384626088,-0.45769230769220626
16,2,-0.15750000000025466,-0.20000000000027285,-0.21250000000031832
18,3,-4.791666666666667,-1.1433333333331273,-4.636666666666922
19,4,-1.5900000000000318,-0.2624999999999318,-1.7999999999999545
20,2,-0.05249999999978172,-0.2450000000003456,-0.16249999999990905
23,3,0.2050000000000788,-0.08999999999999393,-0.1983333333334182
