exit_hour,n,live_mean,live_med,model_S5_overshoot_TEST,model_jump_slip_TEST
0,11,0.2400000000000711,0.0500000000001819,0.734,0.603
1,21,0.22285714285711342,0.07000000000061846,0.538,0.748
2,28,0.14178571428564218,0.055000000000063665,0.54,0.601
3,28,0.09857142857142012,0.009999999999763531,0.311,0.468
4,14,0.1264285714284727,0.05999999999949068,0.311,0.372
5,24,0.16250000000007958,0.03499999999985448,0.511,0.505
6,33,0.09909090909096366,0.020000000000436557,0.405,0.531
7,33,0.30878787878781155,0.06999999999970896,0.393,0.493
8,31,0.30129032258054717,0.03999999999996362,0.371,0.491
9,13,0.2961538461537342,0.13000000000010914,0.484,0.506
10,9,0.20222222222229094,0.10999999999967258,0.41,0.448
11,13,0.5776923076922895,0.17000000000007276,0.396,0.558
12,21,0.38142857142858183,0.030000000000654836,0.474,0.637
13,21,0.11857142857133156,-0.0,0.615,0.68
14,24,0.05333333333332272,2.2737367544323206e-13,0.55,0.696
15,19,0.2315789473682583,0.02999999999974534,0.688,0.823
16,1,0.0,0.0,0.881,0.599
18,3,0.3000000000001819,0.07000000000061846,0.645,0.665
23,3,0.04666666666647264,0.03999999999996362,1.846,0.684
