created_at,action,reason,strategy_name
2026-07-02 19:02:48.399654+00:00,PAUSE,session_live: session_vol: outside windows (19.05h UTC) | d1=bearish h4=long vol=NORMAL trend=MIXED session=NY closed=False,Session Breakout M5 ORB
2026-07-06 11:38:21.124698+00:00,START,trend: always_on: regime-independent | d1=bearish h4=long vol=NORMAL trend=RANGING session=LONDON closed=False,Challenge XAU H4 Trend
2026-07-06 19:14:56.707896+00:00,START,reversal: always_on: regime-independent | d1=bearish h4=long vol=LOW trend=RANGING session=NY closed=False,S99 MSS FVG Reversal
2026-07-06 19:14:56.711814+00:00,START,scalping: always_on: regime-independent | d1=bearish h4=long vol=LOW trend=RANGING session=NY closed=False,S93 FVG Scalp
2026-07-06 21:00:56.128032+00:00,PAUSE,trend: market closed | d1=bearish h4=long vol=LOW trend=MIXED session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-06 21:00:56.132220+00:00,PAUSE,reversal: market closed | d1=bearish h4=long vol=LOW trend=MIXED session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-06 21:00:56.135449+00:00,PAUSE,scalping: market closed | d1=bearish h4=long vol=LOW trend=MIXED session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-06 22:00:55.839415+00:00,START,trend: always_on: regime-independent | d1=bearish h4=long vol=LOW trend=MIXED session=ROLLOVER closed=False,Challenge XAU H4 Trend
2026-07-06 22:00:55.843355+00:00,START,reversal: always_on: regime-independent | d1=bearish h4=long vol=LOW trend=MIXED session=ROLLOVER closed=False,S99 MSS FVG Reversal
2026-07-06 22:00:55.846790+00:00,START,scalping: always_on: regime-independent | d1=bearish h4=long vol=LOW trend=MIXED session=ROLLOVER closed=False,S93 FVG Scalp
2026-07-07 06:35:58.430610+00:00,START,trend: always_on: regime-independent | d1=bearish h4=neutral vol=LOW trend=MIXED session=ASIA closed=False,S94 Sweep Reversal
2026-07-07 14:00:58.781922+00:00,START,"trend: session_vol: in window (14.02h UTC), vol=NORMAL | d1=bearish h4=neutral vol=NORMAL trend=RANGING session=OVERLAP closed=False",
2026-07-07 15:00:58.724299+00:00,PAUSE,trend: session_vol: outside windows (15.02h UTC) | d1=bearish h4=neutral vol=NORMAL trend=RANGING session=OVERLAP closed=False,
2026-07-07 21:00:59.246284+00:00,PAUSE,trend: market closed | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,S94 Sweep Reversal
2026-07-07 21:00:59.250313+00:00,PAUSE,trend: market closed | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-07 21:00:59.254494+00:00,PAUSE,reversal: market closed | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-07 21:00:59.258035+00:00,PAUSE,scalping: market closed | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-07 22:00:58.701974+00:00,START,trend: always_on: regime-independent | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=False,S94 Sweep Reversal
2026-07-07 22:00:58.706185+00:00,START,trend: always_on: regime-independent | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=False,Challenge XAU H4 Trend
2026-07-07 22:00:58.710533+00:00,START,reversal: always_on: regime-independent | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=False,S99 MSS FVG Reversal
2026-07-07 22:00:58.714417+00:00,START,scalping: always_on: regime-independent | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ROLLOVER closed=False,S93 FVG Scalp
2026-07-08 01:00:58.388198+00:00,START,"trend: session_vol: in window (1.02h UTC), vol=NORMAL | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False",
2026-07-08 02:00:58.362995+00:00,PAUSE,trend: session_vol: outside windows (2.02h UTC) | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=ASIA closed=False,
2026-07-08 12:00:58.929756+00:00,START,"trend: session_vol: in window (12.02h UTC), vol=NORMAL | d1=bearish h4=neutral vol=NORMAL trend=MIXED session=LONDON closed=False",
2026-07-08 15:00:58.778397+00:00,PAUSE,trend: session_vol: outside windows (15.02h UTC) | d1=bearish h4=neutral vol=NORMAL trend=TRENDING session=OVERLAP closed=False,
2026-07-08 21:00:59.386126+00:00,PAUSE,trend: market closed | d1=bearish h4=neutral vol=HIGH trend=RANGING session=ROLLOVER closed=True,S94 Sweep Reversal
2026-07-08 21:00:59.389767+00:00,PAUSE,trend: market closed | d1=bearish h4=neutral vol=HIGH trend=RANGING session=ROLLOVER closed=True,Challenge XAU H4 Trend
2026-07-08 21:00:59.393650+00:00,PAUSE,reversal: market closed | d1=bearish h4=neutral vol=HIGH trend=RANGING session=ROLLOVER closed=True,S99 MSS FVG Reversal
2026-07-08 21:00:59.397266+00:00,PAUSE,scalping: market closed | d1=bearish h4=neutral vol=HIGH trend=RANGING session=ROLLOVER closed=True,S93 FVG Scalp
2026-07-08 22:00:58.564013+00:00,START,trend: always_on: regime-independent | d1=bearish h4=neutral vol=HIGH trend=RANGING session=ROLLOVER closed=False,S94 Sweep Reversal
2026-07-08 22:00:58.567607+00:00,START,trend: always_on: regime-independent | d1=bearish h4=neutral vol=HIGH trend=RANGING session=ROLLOVER closed=False,Challenge XAU H4 Trend
2026-07-08 22:00:58.571670+00:00,START,reversal: always_on: regime-independent | d1=bearish h4=neutral vol=HIGH trend=RANGING session=ROLLOVER closed=False,S99 MSS FVG Reversal
2026-07-08 22:00:58.575541+00:00,START,scalping: always_on: regime-independent | d1=bearish h4=neutral vol=HIGH trend=RANGING session=ROLLOVER closed=False,S93 FVG Scalp
2026-07-09 01:00:58.810527+00:00,START,"trend: session_vol: in window (1.02h UTC), vol=NORMAL | d1=bearish h4=long vol=NORMAL trend=MIXED session=ASIA closed=False",
