strategy,side,entry_time,entry_px,sl,tp,exit_time,exit_px,outcome,pts0,risk,r,hour,be_armed,reason,q_outcome,q_pts0,arm,module,q_pts,m_pts,live_idx,live_status,live_signal_id,live_active,after_kill,g_adverse,g_outcome,g_pts,g_raw
s100_m3_combo,SELL,2026-07-23 13:19:00+00:00,4049.56,4053.61,4039.43,2026-07-23 13:23:00+00:00,4053.61,SL,-4.05,4.05,-1.0,13,False,S100_FVG_SHORT,SL,-4.050000000000182,s100,s100_m3_combo,-4.500000000000182,-4.8,0,duplicate_entry,22d14aa6-fb12-4a55-adf7-bdd27fbfaddf,True,False,-0.15000000000009095,SL,-4.160000000000091,-3.900000000000091
s100_m3_combo,SELL,2026-07-23 13:42:00+00:00,4059.28,4063.46,4048.85,2026-07-23 13:57:00+00:00,4048.85,TP,10.43,4.18,2.4952,13,False,S100_FVG_SHORT,TP,10.430000000000293,s100,s100_m3_combo,9.980000000000292,9.68,1,PLACED,95a985f8-3d7f-458e-ac3b-f872454aac15,True,False,-1.2599999999997635,TP,11.690000000000055,11.690000000000055
s100_m3_combo,SELL,2026-07-23 14:09:00+00:00,4045.36,4047.06,4041.11,2026-07-23 14:10:00+00:00,4047.06,SL,-1.7,1.7,-1.0,14,False,S100_OB_SHORT,SL,-1.699999999999818,s100,s100_m3_combo,-2.1499999999998183,-2.45,2,entry_drift,b424406f-bd2f-4f5b-91b0-20cc765f288f,True,False,-1.6599999999998545,SL,-0.29999999999996363,-0.03999999999996362
s100_m3_combo,SELL,2026-07-23 15:36:00+00:00,4048.8,4050.36,4044.91,2026-07-23 15:37:00+00:00,4050.36,SL,-1.56,1.56,-1.0,15,False,S100_OB_SHORT,SL,-1.5599999999999454,s100,s100_m3_combo,-2.0099999999999456,-2.31,3,PLACED,1f182d22-63a5-4c1a-a58b-5ac4361c8de4,True,False,-0.07999999999992724,SL,-1.7400000000000182,-1.4800000000000182
s100_m3_combo,SELL,2026-07-24 01:11:00+00:00,4041.49,4044.38,4034.28,2026-07-24 01:16:00+00:00,4044.38,SL,-2.89,2.89,-1.0,1,False,S100_RSI3_MOMO_SHORT,SL,-2.8900000000003274,s100,s100_m3_combo,-3.3400000000003276,-3.64,4,entry_drift,0c5efae4-73e4-499b-b311-4c31c75a20b1,True,False,0.6299999999996544,REJ,,
s100_m3_combo,SELL,2026-07-24 05:23:00+00:00,4028.16,4030.97,4021.11,2026-07-24 05:34:00+00:00,4030.97,SL,-2.81,2.81,-1.0,5,False,S100_OB_SHORT,SL,-2.8099999999999454,s100,s100_m3_combo,-3.2599999999999456,-3.56,8,PLACED,e1a3177a-27bf-4410-91e3-b2fad8b698d8,True,False,-1.0,SL,-2.069999999999945,-1.8099999999999454
s100_m3_combo,SELL,2026-07-24 06:02:00+00:00,4025.72,4028.18,4019.59,2026-07-24 06:10:00+00:00,4028.18,SL,-2.46,2.46,-1.0,6,False,S100_FVG_SHORT,SL,-2.4600000000000364,s100,s100_m3_combo,-2.910000000000037,-3.21,9,entry_drift,4be16fc0-13c8-41bd-a8e3-ad777771a2b6,True,False,1.5199999999999818,REJ,,
s100_m3_combo,BUY,2026-07-24 07:15:00+00:00,4044.82,4042.91,4049.59,2026-07-24 07:25:00+00:00,4049.59,TP,4.77,1.91,2.4974,7,False,S100_FVG_LONG,TP,4.769999999999982,s100,s100_m3_combo,4.319999999999982,4.02,10,PLACED,67b6ffd4-0d7c-4cfe-855c-793430a09f4d,True,False,0.25999999999976353,TP,4.510000000000218,4.510000000000218
s100_m3_combo,BUY,2026-07-24 07:35:00+00:00,4051.3,4047.78,4060.12,2026-07-24 07:39:00+00:00,4047.78,SL,-3.52,3.52,-1.0,7,False,S100_RSI3_MOMO_LONG,SL,-3.519999999999982,s100,s100_m3_combo,-3.969999999999982,-4.27,11,PLACED,b32955f9-fe4b-4887-81ba-98c73d7d06b5,True,False,0.4499999999998181,SL,-4.2299999999998,-3.9699999999998
s100_m3_combo,BUY,2026-07-24 08:34:00+00:00,4050.43,4048.6,4055.03,2026-07-24 08:43:00+00:00,4055.03,TP,4.6,1.83,2.5137,8,False,S100_FVG_LONG,TP,4.600000000000364,s100,s100_m3_combo,4.150000000000364,3.85,12,PLACED,ac838350-f17c-44e2-807d-8ba3b89b2a95,True,False,0.3000000000001819,TP,4.300000000000182,4.300000000000182
