strategy,side,entry_time,entry_px,sl,tp,exit_time,exit_px,outcome,pts0,risk,r,hour,be_armed,reason,q_outcome,q_pts0,arm,module,q_pts,m_pts,live_idx,live_status,live_signal_id,live_active,after_kill,g_adverse,g_outcome,g_pts,g_raw
s93_fvg_scalp,BUY,2026-07-07 12:20:00+00:00,4165.88,4158.77,4176.55,2026-07-07 13:00:00+00:00,4176.55,TP,10.67,7.11,1.5007,12,False,S93_FVG_SCALP_LONG,TP,10.670000000000073,s93_pre,s93_fvg_scalp,10.220000000000072,9.92,2,PLACED,2dd75fc3-92a3-4889-9ef3-c109ecf1d5e4,True,False,0.8099999999994907,REJ,,
s93_fvg_scalp,SELL,2026-07-08 08:46:00+00:00,4068.12,4080.39,4049.72,2026-07-08 09:43:00+00:00,4049.72,TP,18.4,12.27,1.4996,8,False,S93_FVG_SCALP_SHORT,TP,18.40000000000009,s93_pre,s93_fvg_scalp,17.95000000000009,17.65,4,PLACED,7f74dd42-0c1e-49f2-9d0e-ad2467698f6a,True,False,-1.550000000000182,TP,19.950000000000273,19.950000000000273
s93_fvg_scalp,SELL,2026-07-09 09:18:00+00:00,4111.02,4113.95,4106.63,2026-07-09 09:32:00+00:00,4106.63,TP,4.39,2.93,1.4983,9,False,S93_FVG_SCALP_SHORT,TP,4.390000000000327,s93_pre,s93_fvg_scalp,3.9400000000003272,3.64,7,PLACED,cc50726e-1678-4e7d-a7da-3e6c605f765a,True,False,-0.27999999999974534,TP,4.670000000000073,4.670000000000073
s93_fvg_scalp,BUY,2026-07-09 12:15:00+00:00,4112.365,4109.21,4117.1,2026-07-09 12:19:00+00:00,4109.21,SL,-3.155,3.155,-1.0,12,False,S93_FVG_SCALP_LONG,SL,-3.1549999999997453,s93_pre,s93_fvg_scalp,-3.6049999999997455,-3.905,8,no_add_to_loser,dc85bedd-1057-4847-a602-3cb3cc58aeb6,True,False,-0.625,SL,-2.789999999999745,-2.5299999999997453
s93_fvg_scalp,SELL,2026-07-10 07:50:00+00:00,4107.465,4111.2,4101.86,2026-07-10 08:35:00+00:00,4101.86,TP,5.605,3.735,1.5007,7,False,S93_FVG_SCALP_SHORT,TP,5.605000000000473,s93_pre,s93_fvg_scalp,5.155000000000473,4.855,10,PLACED,d7f0ffdc-4ed1-4bef-96d3-785c6f6b8734,True,False,0.25500000000010914,TP,5.350000000000364,5.350000000000364
s93_fvg_scalp,SELL,2026-07-10 09:00:00+00:00,4098.775,4100.63,4095.99,2026-07-10 09:01:00+00:00,4095.99,TP,2.785,1.855,1.5013,9,False,S93_FVG_SCALP_SHORT,TP,2.7849999999998545,s93_pre,s93_fvg_scalp,2.3349999999998543,2.035,11,PLACED,3119aa3a-2ef6-4a7b-9e6f-9f71b94b5515,True,False,0.8449999999993452,REJ,,
s93_fvg_scalp,SELL,2026-07-10 12:09:00+00:00,4103.925,4106.14,4100.6,2026-07-10 12:13:00+00:00,4106.14,SL,-2.215,2.215,-1.0,12,False,S93_FVG_SCALP_SHORT,SL,-2.2150000000001455,s93_pre,s93_fvg_scalp,-2.6650000000001457,-2.965,12,PLACED,3a7421ed-7213-4b75-9929-d103c4a4199d,True,False,0.8150000000005093,REJ,,
s93_fvg_scalp,BUY,2026-07-13 08:30:00+00:00,4073.595,4070.68,4077.97,2026-07-13 08:53:00+00:00,4077.97,TP,4.375,2.915,1.5009,8,False,S93_FVG_SCALP_LONG,TP,4.375,s93_pre,s93_fvg_scalp,3.925,3.625,14,PLACED,e40e8a7f-43b1-4507-a09d-c3afe5c39af1,True,False,0.06500000000005457,TP,4.309999999999945,4.309999999999945
s93_fvg_scalp,SELL,2026-07-13 14:25:00+00:00,4022.35,4035.93,4001.98,2026-07-13 14:40:00+00:00,4001.98,TP,20.37,13.58,1.5,14,False,S93_FVG_SCALP_SHORT,TP,20.36999999999989,s93_pre,s93_fvg_scalp,19.91999999999989,19.62,16,PLACED,d79befbd-b9a9-4c7e-b69d-283c418767a1,True,False,-3.7400000000002365,TP,24.110000000000127,24.110000000000127
s93_fvg_scalp,BUY,2026-07-14 09:55:00+00:00,4020.54,4017.41,4025.24,2026-07-14 10:13:00+00:00,4017.41,SL,-3.13,3.13,-1.0,9,False,S93_FVG_SCALP_LONG,SL,-3.130000000000109,s93_pre,s93_fvg_scalp,-3.5800000000001093,-3.88,18,PLACED,3cc02e72-d155-41f9-b138-5788f87f00a7,True,False,0.3200000000001637,SL,-3.7100000000002726,-3.450000000000273
