day,usd
2026-07-01 00:00:00+00:00,56.0
2026-07-02 00:00:00+00:00,-61.0
2026-07-03 00:00:00+00:00,-41.0
2026-07-06 00:00:00+00:00,-40.0
2026-07-07 00:00:00+00:00,35.0
2026-07-08 00:00:00+00:00,207.0
2026-07-09 00:00:00+00:00,-168.0
2026-07-10 00:00:00+00:00,-188.0
2026-07-12 00:00:00+00:00,-37.0
2026-07-13 00:00:00+00:00,32.000000000000014
2026-07-14 00:00:00+00:00,-138.0
2026-07-15 00:00:00+00:00,130.0
2026-07-16 00:00:00+00:00,-144.0
2026-07-17 00:00:00+00:00,117.0
2026-07-20 00:00:00+00:00,26.0
2026-07-21 00:00:00+00:00,-132.0
2026-07-22 00:00:00+00:00,34.0
2026-07-23 00:00:00+00:00,114.0
2026-07-24 00:00:00+00:00,-102.0
2026-07-27 00:00:00+00:00,-141.0
2026-07-28 00:00:00+00:00,-98.0
2026-07-29 00:00:00+00:00,147.0
2026-07-30 00:00:00+00:00,-73.0
2026-07-31 00:00:00+00:00,264.0
2026-08-03 00:00:00+00:00,60.0
2026-08-04 00:00:00+00:00,484.0
2026-08-05 00:00:00+00:00,566.0
2026-08-06 00:00:00+00:00,46.0
2026-08-07 00:00:00+00:00,-160.0
2026-08-10 00:00:00+00:00,-109.0
2026-08-11 00:00:00+00:00,-121.0
2026-08-12 00:00:00+00:00,-211.0
2026-08-14 00:00:00+00:00,-15.999999999999996
2026-08-18 00:00:00+00:00,-233.0
2026-08-19 00:00:00+00:00,117.0
2026-08-20 00:00:00+00:00,-114.0
2026-08-21 00:00:00+00:00,65.0
2026-08-24 00:00:00+00:00,222.99999999999997
2026-08-25 00:00:00+00:00,-178.0
2026-08-26 00:00:00+00:00,70.0
2026-08-27 00:00:00+00:00,151.0
2026-08-28 00:00:00+00:00,-369.0
2026-08-31 00:00:00+00:00,356.0
2026-09-01 00:00:00+00:00,161.0
2026-09-02 00:00:00+00:00,0.0
2026-09-03 00:00:00+00:00,-173.0
2026-09-04 00:00:00+00:00,-130.0
2026-09-07 00:00:00+00:00,77.0
2026-09-08 00:00:00+00:00,-122.0
2026-09-09 00:00:00+00:00,-369.0
2026-09-10 00:00:00+00:00,-126.0
2026-09-11 00:00:00+00:00,-81.0
2026-09-14 00:00:00+00:00,197.0
2026-09-15 00:00:00+00:00,-217.0
2026-09-16 00:00:00+00:00,15.000000000000004
2026-09-17 00:00:00+00:00,-163.0
2026-09-18 00:00:00+00:00,121.0
