grid,filt,split,cost,n_real,real_pf,real_pts,ctl_pf_mean,ctl_pf_p5,ctl_pf_p95,ctl_pts_mean,share_ctl_pf_ge_real
H4_UTC,nofilt,TRAIN,0.45,449,0.89,-283.6,0.803,0.614,1.035,-552.8,0.25
H4_UTC,nofilt,TRAIN,0.7,449,0.85,-395.9,0.765,0.585,0.987,-665.1,0.25
H4_UTC,nofilt,TEST,0.45,264,0.74,-1019.7,0.888,0.701,1.142,-419.2,0.9
H4_UTC,nofilt,TEST,0.7,264,0.726,-1085.7,0.871,0.688,1.119,-485.2,0.9
H4_UTC,bias,TRAIN,0.45,220,0.877,-158.6,0.949,0.673,1.305,-88.4,0.6
H4_UTC,bias,TRAIN,0.7,220,0.837,-213.6,0.905,0.641,1.249,-143.4,0.6
H4_UTC,bias,TEST,0.45,133,0.825,-334.0,0.959,0.63,1.252,-105.0,0.75
H4_UTC,bias,TEST,0.7,133,0.81,-367.2,0.94,0.618,1.226,-138.3,0.75
H4_NY,nofilt,TRAIN,0.45,377,0.905,-211.3,0.861,0.697,1.084,-328.1,0.25
H4_NY,nofilt,TRAIN,0.7,377,0.865,-305.5,0.822,0.666,1.034,-422.4,0.2
H4_NY,nofilt,TEST,0.45,256,0.926,-248.1,0.873,0.689,1.085,-440.1,0.3
H4_NY,nofilt,TEST,0.7,256,0.907,-312.1,0.855,0.674,1.063,-504.1,0.3
H4_NY,bias,TRAIN,0.45,198,1.029,33.5,0.944,0.758,1.302,-79.2,0.35
H4_NY,bias,TRAIN,0.7,198,0.986,-16.0,0.899,0.722,1.242,-128.7,0.3
H4_NY,bias,TEST,0.45,121,1.002,2.5,0.978,0.739,1.229,-49.4,0.45
H4_NY,bias,TEST,0.7,121,0.983,-27.8,0.958,0.723,1.203,-79.6,0.45
