label,n,train_n,test_n,median_risk,trades_per_day,m0.75_all_pf,m0.75_all_pts,m0.75_train_pf,m0.75_train_pts,m0.75_test_pf,m0.75_test_pts,m1.00_all_pf,m1.00_all_pts,m1.00_train_pf,m1.00_train_pts,m1.00_test_pf,m1.00_test_pts,q_n,q0.45_all_pf,q0.45_all_pts,q0.45_train_pf,q0.45_train_pts,q0.45_test_pf,q0.45_test_pts,q0.70_all_pf,q0.70_all_pts,q0.70_train_pf,q0.70_train_pts,q0.70_test_pf,q0.70_test_pts,q0.70_wr,test_pos_month_share,test_max_month_share,gold_corr,up_months_pts,dn_months_pts,bar1_n,bar2_base,bar2_stress,bar3_train,bar4_monthly,bar5_regime,bars15,q_bar2_test_both
h1_floor3.5,1005,525,480,3.93,1.89,0.748,-813.1,0.803,-323.1,0.691,-490.1,0.686,-1064.4,0.737,-454.3,0.635,-610.1,1005,0.73,-850.2,0.785,-344.6,0.674,-505.5,0.669,-1101.4,0.719,-475.9,0.617,-625.5,30.2,0.1,,0.21,-517.8,-295.4,True,False,False,False,False,True,2,False
h1_floor4.0,629,317,312,4.32,1.18,0.717,-625.7,0.755,-267.9,0.681,-357.8,0.663,-782.9,0.697,-347.2,0.629,-435.8,629,0.699,-650.8,0.732,-286.6,0.666,-364.2,0.644,-808.1,0.674,-365.9,0.615,-442.2,28.8,0.1,,0.28,-370.4,-255.3,True,False,False,False,False,True,2,False
h1_floor5.0,63,23,40,5.09,0.12,0.646,-93.0,0.705,-27.6,0.614,-65.4,0.604,-108.8,0.658,-33.4,0.573,-75.4,63,0.549,-120.2,0.483,-51.7,0.588,-68.4,0.512,-135.9,0.45,-57.5,0.549,-78.4,23.8,0.3,,0.13,-45.2,-47.8,True,False,False,False,False,True,2,False
h2a_control_random0.254,799,451,348,3.58,1.5,0.743,-610.4,0.76,-317.6,0.722,-292.8,0.677,-810.1,0.692,-430.3,0.658,-379.8,799,0.717,-657.6,0.727,-353.4,0.703,-304.2,0.651,-857.4,0.661,-466.1,0.639,-391.2,30.4,0.2,,0.37,-358.5,-251.9,True,False,False,False,False,True,2,False
h2a_first_touch,381,271,110,3.56,0.72,0.755,-275.0,0.776,-175.1,0.708,-100.0,0.688,-370.3,0.706,-242.8,0.647,-127.5,381,0.756,-266.1,0.775,-169.9,0.711,-96.2,0.687,-361.3,0.704,-237.6,0.648,-123.7,31.5,0.3,,0.13,-152.9,-122.2,True,False,False,False,False,True,2,False
h2b_age12,859,522,337,3.5,1.62,0.752,-625.7,0.766,-352.6,0.73,-273.1,0.684,-840.5,0.697,-483.1,0.665,-357.4,859,0.727,-671.3,0.75,-367.5,0.694,-303.8,0.661,-886.0,0.681,-498.0,0.631,-388.0,30.8,0.2,,0.23,-447.0,-178.7,True,False,False,False,False,True,2,False
h2c_disp2.5,675,395,280,3.53,1.27,0.716,-571.3,0.791,-236.7,0.62,-334.6,0.652,-740.1,0.72,-335.5,0.565,-404.6,675,0.728,-525.9,0.785,-236.5,0.654,-289.4,0.662,-694.7,0.713,-335.2,0.594,-359.4,30.7,0.0,,0.15,-400.2,-171.1,True,False,False,False,False,True,2,False
h2d_body_zone,695,388,307,3.39,1.31,0.696,-611.9,0.744,-281.1,0.638,-330.8,0.631,-785.6,0.675,-378.1,0.578,-407.6,695,0.704,-571.5,0.734,-283.5,0.668,-288.0,0.637,-745.2,0.664,-380.5,0.605,-364.7,30.1,0.0,,0.44,-339.3,-272.6,True,False,False,False,False,False,1,False
h3_swing3,1772,994,778,4.04,3.34,0.747,-1668.1,0.805,-695.5,0.68,-972.5,0.694,-2111.1,0.746,-944.0,0.632,-1167.0,1772,0.739,-1671.3,0.778,-769.4,0.693,-901.9,0.685,-2114.3,0.72,-1017.9,0.643,-1096.4,30.2,0.0,,0.25,-1115.4,-552.7,True,False,False,False,False,True,2,False
h3_swing5,1696,990,706,4.55,3.19,0.784,-1584.4,0.85,-607.3,0.703,-977.0,0.737,-2008.4,0.797,-854.8,0.662,-1153.5,1696,0.783,-1525.9,0.82,-697.2,0.738,-828.6,0.734,-1949.9,0.766,-944.7,0.694,-1005.1,30.3,0.1,,0.15,-1068.6,-515.7,True,False,False,False,False,True,2,False
