conv,bar,side,sl,entry
open,2026-05-19 07:05:00,BUY,4544.05,4548.74
open,2026-05-19 07:14:00,BUY,4544.05,4548.82
closed,2026-05-19 07:14:00,BUY,4544.05,4548.82
closed,2026-05-19 07:15:00,BUY,4544.05,4547.52
closed,2026-05-19 07:16:00,BUY,4544.05,4549.03
closed,2026-05-19 07:19:00,BUY,4544.05,4548.79
closed,2026-05-19 07:20:00,BUY,4544.05,4545.64
closed,2026-05-19 07:21:00,BUY,4544.05,4545.7
closed,2026-05-19 07:22:00,BUY,4544.05,4546.22
closed,2026-05-19 07:23:00,BUY,4544.05,4547.28
closed,2026-05-19 07:24:00,BUY,4544.05,4547.15
closed,2026-05-19 07:25:00,BUY,4544.05,4546.16
closed,2026-05-19 07:26:00,BUY,4544.05,4546.83
closed,2026-05-19 07:27:00,BUY,4544.05,4544.39
closed,2026-05-19 07:28:00,BUY,4544.05,4545.92
closed_lag,2026-05-19 07:29:00,BUY,4544.05,4545.92
closed_lag,2026-05-19 07:30:00,BUY,4544.05,4548.45
closed_lag,2026-05-19 07:31:00,BUY,4544.05,4547.33
closed_lag,2026-05-19 07:32:00,BUY,4544.05,4547.46
closed_lag,2026-05-19 07:33:00,BUY,4544.05,4546.59
closed_lag,2026-05-19 07:34:00,BUY,4544.05,4545.35
closed_lag,2026-05-19 07:36:00,BUY,4544.05,4546.42
closed_lag,2026-05-19 07:37:00,BUY,4544.05,4546.24
closed_lag,2026-05-19 07:38:00,BUY,4544.05,4545.29
open,2026-05-19 07:45:00,BUY,4541.27,4542.9
closed,2026-05-19 08:07:00,BUY,4544.05,4548.77
closed,2026-05-19 08:08:00,BUY,4544.05,4545.31
closed,2026-05-19 08:09:00,BUY,4541.27,4544.47
closed,2026-05-19 08:11:00,BUY,4541.27,4544.48
closed,2026-05-19 08:12:00,BUY,4541.27,4543.27
closed,2026-05-19 08:13:00,BUY,4541.27,4544.8
closed_lag,2026-05-19 08:14:00,BUY,4541.27,4544.8
closed_lag,2026-05-19 08:19:00,BUY,4544.05,4547.32
closed_lag,2026-05-19 08:20:00,BUY,4541.27,4544.32
closed_lag,2026-05-19 08:21:00,BUY,4541.27,4544.83
closed_lag,2026-05-19 08:22:00,BUY,4541.27,4543.34
closed_lag,2026-05-19 08:23:00,BUY,4541.27,4542.19
closed_lag,2026-05-19 08:24:00,BUY,4541.27,4541.81
open,2026-05-19 10:55:00,BUY,4536.1,4537.14
open,2026-05-19 10:56:00,BUY,4536.1,4538.49
open,2026-05-19 10:57:00,BUY,4541.27,4542.1
open,2026-05-19 10:58:00,BUY,4541.27,4541.8
open,2026-05-19 10:59:00,BUY,4541.27,4544.93
closed,2026-05-19 10:59:00,BUY,4541.27,4544.93
closed,2026-05-19 11:00:00,BUY,4541.27,4544.89
closed,2026-05-19 11:01:00,BUY,4541.27,4544.01
closed,2026-05-19 11:04:00,BUY,4541.27,4543.61
closed,2026-05-19 11:05:00,BUY,4541.27,4542.26
closed,2026-05-19 11:06:00,BUY,4541.27,4541.97
closed,2026-05-19 11:07:00,BUY,4541.27,4542.48
closed,2026-05-19 11:08:00,BUY,4541.27,4542.04
closed,2026-05-19 11:10:00,BUY,4536.1,4537.97
closed,2026-05-19 11:11:00,BUY,4541.27,4541.67
closed,2026-05-19 11:12:00,BUY,4536.1,4537.35
closed,2026-05-19 11:13:00,BUY,4536.1,4539.04
closed_lag,2026-05-19 11:14:00,BUY,4536.1,4539.04
closed_lag,2026-05-19 11:15:00,BUY,4536.1,4536.85
closed_lag,2026-05-19 11:16:00,BUY,4536.1,4536.96
closed_lag,2026-05-19 11:17:00,BUY,4536.1,4538.9
closed_lag,2026-05-19 11:18:00,BUY,4536.1,4538.47
closed_lag,2026-05-19 11:19:00,BUY,4536.1,4540.48
closed_lag,2026-05-19 11:21:00,BUY,4536.1,4540.14
closed_lag,2026-05-19 11:23:00,BUY,4536.1,4540.13
closed_lag,2026-05-19 11:24:00,BUY,4536.1,4540.27
closed_lag,2026-05-19 11:26:00,BUY,4536.1,4540.58
closed_lag,2026-05-19 11:27:00,BUY,4536.1,4537.05
closed_lag,2026-05-19 11:28:00,BUY,4536.1,4538.57
open,2026-05-19 12:06:00,BUY,4536.1,4536.82
open,2026-05-19 12:07:00,BUY,4536.1,4538.24
open,2026-05-19 12:08:00,BUY,4541.27,4542.34
open,2026-05-19 12:09:00,BUY,4541.27,4542.33
open,2026-05-19 12:10:00,BUY,4541.27,4543.53
open,2026-05-19 12:12:00,BUY,4541.27,4544.5
open,2026-05-19 12:13:00,BUY,4541.27,4543.1
open,2026-05-19 12:14:00,BUY,4541.27,4542.23
closed,2026-05-19 12:14:00,BUY,4541.27,4542.23
open,2026-05-19 12:15:00,BUY,4541.27,4541.71
closed,2026-05-19 12:15:00,BUY,4541.27,4541.71
open,2026-05-19 12:16:00,BUY,4536.1,4538.02
closed,2026-05-19 12:16:00,BUY,4536.1,4538.02
open,2026-05-19 12:17:00,BUY,4536.1,4539.29
closed,2026-05-19 12:17:00,BUY,4536.1,4539.29
open,2026-05-19 12:18:00,BUY,4536.1,4537.07
closed,2026-05-19 12:18:00,BUY,4536.1,4537.07
open,2026-05-19 12:19:00,BUY,4536.1,4540.04
closed,2026-05-19 12:19:00,BUY,4536.1,4540.04
open,2026-05-19 12:20:00,BUY,4541.27,4542.57
closed,2026-05-19 12:20:00,BUY,4541.27,4542.57
open,2026-05-19 12:21:00,BUY,4536.1,4541.01
closed,2026-05-19 12:21:00,BUY,4536.1,4541.01
open,2026-05-19 12:22:00,BUY,4541.27,4542.94
closed,2026-05-19 12:22:00,BUY,4541.27,4542.94
open,2026-05-19 12:23:00,BUY,4541.27,4542.59
closed,2026-05-19 12:23:00,BUY,4541.27,4542.59
open,2026-05-19 12:24:00,BUY,4541.27,4543.77
closed,2026-05-19 12:24:00,BUY,4541.27,4543.77
open,2026-05-19 12:25:00,BUY,4541.27,4542.31
closed,2026-05-19 12:25:00,BUY,4541.27,4542.31
open,2026-05-19 12:26:00,BUY,4541.27,4542.77
closed,2026-05-19 12:26:00,BUY,4541.27,4542.77
open,2026-05-19 12:28:00,BUY,4541.27,4541.68
closed,2026-05-19 12:28:00,BUY,4541.27,4541.68
open,2026-05-19 12:29:00,BUY,4541.27,4543.15
closed,2026-05-19 12:29:00,BUY,4541.27,4543.15
closed_lag,2026-05-19 12:29:00,BUY,4541.27,4541.68
closed,2026-05-19 12:30:00,BUY,4541.27,4544.58
closed_lag,2026-05-19 12:30:00,BUY,4541.27,4543.15
closed_lag,2026-05-19 12:31:00,BUY,4541.27,4544.58
closed,2026-05-19 12:33:00,BUY,4541.27,4544.27
closed,2026-05-19 12:34:00,BUY,4541.27,4543.82
closed_lag,2026-05-19 12:34:00,BUY,4541.27,4544.27
closed,2026-05-19 12:35:00,BUY,4541.27,4544.05
closed_lag,2026-05-19 12:35:00,BUY,4541.27,4543.82
closed,2026-05-19 12:36:00,BUY,4541.27,4543.93
closed_lag,2026-05-19 12:36:00,BUY,4541.27,4544.05
closed,2026-05-19 12:37:00,BUY,4541.27,4544.91
closed_lag,2026-05-19 12:37:00,BUY,4541.27,4543.93
closed,2026-05-19 12:38:00,BUY,4541.27,4543.97
closed_lag,2026-05-19 12:38:00,BUY,4541.27,4544.91
closed,2026-05-19 12:39:00,BUY,4541.27,4542.47
closed_lag,2026-05-19 12:39:00,BUY,4541.27,4543.97
closed,2026-05-19 12:40:00,BUY,4536.1,4541.12
closed_lag,2026-05-19 12:40:00,BUY,4541.27,4542.47
closed_lag,2026-05-19 12:41:00,BUY,4536.1,4541.12
closed,2026-05-19 12:42:00,BUY,4536.1,4540.2
closed,2026-05-19 12:43:00,BUY,4536.1,4539.59
closed_lag,2026-05-19 12:43:00,BUY,4536.1,4540.2
closed_lag,2026-05-19 12:44:00,BUY,4536.1,4539.59
closed_lag,2026-05-19 12:45:00,BUY,4536.1,4537.48
closed_lag,2026-05-19 12:46:00,BUY,4536.1,4537.51
closed_lag,2026-05-19 12:48:00,BUY,4536.1,4537.55
closed_lag,2026-05-19 12:49:00,BUY,4536.1,4538.47
closed_lag,2026-05-19 12:50:00,BUY,4536.1,4539.52
closed_lag,2026-05-19 12:51:00,BUY,4536.1,4539.6
closed_lag,2026-05-19 12:52:00,BUY,4536.1,4539.11
closed_lag,2026-05-19 12:53:00,BUY,4536.1,4539.32
closed_lag,2026-05-19 12:54:00,BUY,4536.1,4540.44
closed_lag,2026-05-19 12:56:00,BUY,4536.1,4540.59
closed_lag,2026-05-19 12:58:00,BUY,4536.1,4540.23
open,2026-05-20 09:50:00,BUY,4481.66,4482.94
open,2026-05-20 11:51:00,BUY,4491.73,4492.19
open,2026-05-20 11:52:00,BUY,4491.73,4496.0
open,2026-05-20 12:04:00,BUY,4491.73,4496.53
closed,2026-05-20 12:04:00,BUY,4491.73,4496.53
closed_lag,2026-05-20 12:05:00,BUY,4491.73,4496.53
open,2026-05-20 12:11:00,BUY,4491.73,4496.59
closed,2026-05-20 12:11:00,BUY,4491.73,4496.59
closed_lag,2026-05-20 12:12:00,BUY,4491.73,4496.59
open,2026-05-20 12:13:00,BUY,4491.73,4496.62
closed,2026-05-20 12:13:00,BUY,4491.73,4496.62
open,2026-05-20 12:14:00,BUY,4491.73,4496.62
closed,2026-05-20 12:14:00,BUY,4491.73,4496.62
closed_lag,2026-05-20 12:14:00,BUY,4491.73,4496.62
open,2026-05-20 12:15:00,BUY,4491.73,4496.73
closed,2026-05-20 12:15:00,BUY,4491.73,4496.73
closed_lag,2026-05-20 12:15:00,BUY,4491.73,4496.62
open,2026-05-20 12:16:00,BUY,4491.73,4496.63
closed,2026-05-20 12:16:00,BUY,4491.73,4496.63
closed_lag,2026-05-20 12:16:00,BUY,4491.73,4496.73
open,2026-05-20 12:17:00,BUY,4491.73,4496.66
closed,2026-05-20 12:17:00,BUY,4491.73,4496.66
closed_lag,2026-05-20 12:17:00,BUY,4491.73,4496.63
open,2026-05-20 12:18:00,BUY,4491.73,4495.9
closed,2026-05-20 12:18:00,BUY,4491.73,4495.9
closed_lag,2026-05-20 12:18:00,BUY,4491.73,4496.66
open,2026-05-20 12:19:00,BUY,4491.73,4494.51
closed,2026-05-20 12:19:00,BUY,4491.73,4494.51
closed_lag,2026-05-20 12:19:00,BUY,4491.73,4495.9
open,2026-05-20 12:20:00,BUY,4491.73,4494.68
closed,2026-05-20 12:20:00,BUY,4491.73,4494.68
closed_lag,2026-05-20 12:20:00,BUY,4491.73,4494.51
open,2026-05-20 12:21:00,BUY,4491.73,4495.03
closed,2026-05-20 12:21:00,BUY,4491.73,4495.03
closed_lag,2026-05-20 12:21:00,BUY,4491.73,4494.68
open,2026-05-20 12:22:00,BUY,4491.73,4495.1
closed,2026-05-20 12:22:00,BUY,4491.73,4495.1
closed_lag,2026-05-20 12:22:00,BUY,4491.73,4495.03
open,2026-05-20 12:23:00,BUY,4491.73,4494.95
closed,2026-05-20 12:23:00,BUY,4491.73,4494.95
closed_lag,2026-05-20 12:23:00,BUY,4491.73,4495.1
open,2026-05-20 12:24:00,BUY,4491.73,4496.5
closed,2026-05-20 12:24:00,BUY,4491.73,4496.5
closed_lag,2026-05-20 12:24:00,BUY,4491.73,4494.95
closed_lag,2026-05-20 12:25:00,BUY,4491.73,4496.5
open,2026-05-20 12:26:00,BUY,4491.73,4496.63
closed,2026-05-20 12:26:00,BUY,4491.73,4496.63
closed_lag,2026-05-20 12:27:00,BUY,4491.73,4496.63
open,2026-05-20 12:57:00,BUY,4491.73,4496.14
closed,2026-05-20 12:57:00,BUY,4491.73,4496.14
open,2026-05-20 12:58:00,BUY,4491.73,4494.08
closed,2026-05-20 12:58:00,BUY,4491.73,4494.08
closed_lag,2026-05-20 12:58:00,BUY,4491.73,4496.14
open,2026-05-20 12:59:00,BUY,4491.73,4496.24
closed,2026-05-20 12:59:00,BUY,4491.73,4496.24
closed_lag,2026-05-20 12:59:00,BUY,4491.73,4494.08
closed_lag,2026-05-20 13:00:00,BUY,4491.73,4496.24
open,2026-05-20 13:01:00,BUY,4491.73,4495.48
closed,2026-05-20 13:01:00,BUY,4491.73,4495.48
closed_lag,2026-05-20 13:02:00,BUY,4491.73,4495.48
closed,2026-05-20 13:22:00,BUY,4491.73,4496.11
closed,2026-05-20 13:23:00,BUY,4491.73,4496.49
closed_lag,2026-05-20 13:23:00,BUY,4491.73,4496.11
closed,2026-05-20 13:24:00,BUY,4491.73,4494.28
closed_lag,2026-05-20 13:24:00,BUY,4491.73,4496.49
closed,2026-05-20 13:25:00,BUY,4491.73,4494.48
closed_lag,2026-05-20 13:25:00,BUY,4491.73,4494.28
closed,2026-05-20 13:26:00,BUY,4491.73,4492.79
closed_lag,2026-05-20 13:26:00,BUY,4491.73,4494.48
closed,2026-05-20 13:27:00,BUY,4491.73,4492.78
closed_lag,2026-05-20 13:27:00,BUY,4491.73,4492.79
closed_lag,2026-05-20 13:28:00,BUY,4491.73,4492.78
closed_lag,2026-05-20 13:34:00,BUY,4491.73,4492.14
open,2026-05-20 14:15:00,BUY,4481.66,4483.56
open,2026-05-21 08:06:00,BUY,4525.51,4525.93
open,2026-05-21 08:07:00,BUY,4525.51,4525.85
open,2026-05-21 08:08:00,BUY,4525.51,4526.45
open,2026-05-21 08:09:00,BUY,4525.51,4528.81
open,2026-05-21 08:26:00,BUY,4525.51,4529.68
closed,2026-05-21 08:26:00,BUY,4525.51,4529.68
closed,2026-05-21 08:34:00,BUY,4525.51,4529.52
closed,2026-05-21 08:35:00,BUY,4525.51,4527.64
closed_lag,2026-05-21 08:35:00,BUY,4525.51,4529.52
closed,2026-05-21 08:36:00,BUY,4525.51,4527.9
closed_lag,2026-05-21 08:36:00,BUY,4525.51,4527.64
closed_lag,2026-05-21 08:37:00,BUY,4525.51,4527.9
closed,2026-05-21 08:38:00,BUY,4525.51,4528.44
closed,2026-05-21 08:39:00,BUY,4525.51,4528.13
closed_lag,2026-05-21 08:39:00,BUY,4525.51,4528.44
closed_lag,2026-05-21 08:40:00,BUY,4525.51,4528.13
open,2026-05-21 08:45:00,BUY,4525.51,4529.19
closed_lag,2026-05-21 08:45:00,BUY,4525.51,4529.26
closed_lag,2026-05-21 08:46:00,BUY,4525.51,4529.19
closed_lag,2026-05-21 09:46:00,BUY,4525.51,4528.56
open,2026-05-22 07:00:00,SELL,4525.77,4524.9
open,2026-05-22 07:01:00,SELL,4525.77,4524.47
closed_lag,2026-05-22 07:01:00,SELL,4525.77,4524.9
open,2026-05-22 07:02:00,SELL,4525.77,4524.63
closed_lag,2026-05-22 07:02:00,SELL,4525.77,4524.47
closed_lag,2026-05-22 07:03:00,SELL,4525.77,4524.63
open,2026-05-22 07:06:00,SELL,4525.77,4524.47
closed_lag,2026-05-22 07:07:00,SELL,4525.77,4524.47
open,2026-05-22 07:09:00,SELL,4525.77,4525.34
open,2026-05-22 07:10:00,SELL,4525.77,4524.81
closed_lag,2026-05-22 07:10:00,SELL,4525.77,4525.34
closed_lag,2026-05-22 07:11:00,SELL,4525.77,4524.81
open,2026-05-22 07:12:00,SELL,4525.77,4524.28
closed_lag,2026-05-22 07:13:00,SELL,4525.77,4524.28
open,2026-05-22 07:15:00,SELL,4525.77,4524.1
closed,2026-05-22 07:15:00,SELL,4525.77,4524.1
open,2026-05-22 07:16:00,SELL,4525.77,4523.9
closed,2026-05-22 07:16:00,SELL,4525.77,4523.9
open,2026-05-22 07:17:00,SELL,4525.77,4525.22
closed,2026-05-22 07:17:00,SELL,4525.77,4525.22
open,2026-05-22 07:18:00,SELL,4525.77,4524.77
